1027,2020-10-19,A股午盘综述：上证指数冲高回落半日跌0.33%，量子技术指数涨超5%,Wind
1028,2020-10-19,福莱特跌停、隆基股份跌超4%，光伏屋顶板块跌幅加深,Wind
1029,2020-10-16,受益于光伏配件涨价的福斯特、福莱特 股价持续上涨的动力十足？,新浪
1030,2020-10-16,电力设备新能源行业2020年三季报业绩前瞻：新能源发电业绩高增，新能车反转趋势确立,格隆汇
1031,2020-10-15,新能源：光伏设备三季度经营显分化 光伏辅材细分领域表现活跃,金融界
1032,2020-10-14,福斯特关于监事辞职及补选监事的公告 董监高成员变化,新浪
1033,2020-10-14,福斯特：俞竣华因个人原因辞去独立董事职务 董监高成员变化,Wind
1034,2020-10-13,光伏屋顶板块休整，隆基股份、阳光电源、福斯特、锦浪科技、晶澳科技集体下滑,Wind
1035,2020-10-12,电力设备及新能源行业周报：国网展望“十四五”电网投资 塑造能源互联网产业链,新浪
1036,2020-10-12,【兴证化工】周观点：MDI价格涨势延续，玻纤、粘胶短纤、涤纶长丝价格走高，尿素、乙二醇等煤化工产品涨价（10月12日）,兴证化工
1037,2020-10-12,总投资10.2亿！福斯特光伏胶膜及背板项目签约落户嘉兴,北极星电力
1038,2020-10-12,A股早报2020年10月12日星期一,Wind
1039,2020-10-12,福斯特半导体产业园项目一期在10月份将迎来试运营,SEMI
1040,2020-10-10,10月A股开门红 42家公司三季报业绩抢先看,巨丰财经
1041,2020-10-10,A股开门红，北上资金“唱主角”，聪明钱早已暗暗布局,第一财经
1042,2020-10-09,涨停板解密：市场火爆，三板块个股最受大单青睐！（10月9日）,Wind
1043,2020-10-09,开门红！A股进入三季报时间，业绩浪开启,Wind
1044,2020-10-09,【研报掘金】假期海外光伏龙头大涨 板块价值重估或开启新一轮“泡沫化”行情,证券时报网
1045,2020-10-09,A股收盘综述：上证指数收涨1.68%，宁德时代、比亚迪、隆基股份等明星股创新高,Wind
1046,2020-10-09,光伏玻璃价格涨至历史高位，A股相关概念现涨停潮丨牛熊眼,第一财经
1047,2020-10-09,A股午盘综述：上证指数半日涨1.89%，光伏股批量涨停,Wind
1048,2020-10-09,解盘：开门红，超百亿资金流入，光伏、光刻胶、苹果领涨,Wind
1049,2020-10-09,电力设备第41周周报：国产MODEL3再降价 光伏玻璃紧缺价格继续上涨,新浪
1050,2020-10-09,光伏板块涨幅一度达到7.5%，南玻A、太阳能、京运通等13股封住涨停板,Wind
1051,2020-10-09,【电新*曾朵红】海外光伏大涨，新能源革命黄金时代已来,东吴研究所
1052,2020-09-30,电力设备及新能源行业9月行业洞察报告：特斯拉电池日不止于降本 引领新能源汽车加速渗透,新浪
1053,2020-09-27,电力设备新能源行业周观点：光伏龙头强强联合 特斯拉电池日多层次创新降本增效,广发证券
1054,2020-09-27,电气设备新能源行业周报：中欧两国携手倡导绿色发展 光伏电动车双双利好,新浪
1055,2020-09-27,【兴证化工】周观点：万华化学继续上调10月MDI挂牌价，PO及下游聚醚、DMC延续涨势，钛精矿、DMF涨价（9月28日）,兴证化工
1056,2020-09-27,电气设备行业研究：隆基通威加强硅料环节合作 特斯拉电池日召开,新浪
1057,2020-09-25,光伏股反弹，隆基股份涨超4%,Wind
1058,2020-09-22,光伏行业点评：欧盟上调减排目标 新能源革命势不可挡,新浪
1059,2020-09-22,化工行业周报：油价受飓风影响反弹 继续关注低估值顺周期龙头,新浪
1060,2020-09-21,基础化工行业2020年半年报总结：聚氨酯、钛白粉、化肥等板块至暗时刻或已过去 农药、精细化工逆势增长,新浪
1061,2020-09-21,福斯特斥10.2亿元扩产光伏胶膜及背板项目,中国金属网
1062,2020-09-21,2020年电新行业周报9月第3期：新能源汽车景气向上 光伏持续保持高景气,新浪
1063,2020-09-20,电新行业周报：8月光伏新增装机同比增长 充电桩维持快速增长趋势,新浪
1064,2020-09-18,海优新材现金流3年连负流动负债飙虚增营收粉饰业绩? 偿债能力下降,中国经济网
1065,2020-09-17,新能源行业投资策略：新能源 新机会,新浪
1066,2020-09-16,新能源景气度回升，2020年迎业绩拐点,Wind
1067,2020-09-15,光伏装机或较快增长 四季度有望迎来装机潮,中证报
1068,2020-09-15,【中银电新】新能源发电：“十四五”装机或迎广阔空间,老成之见
1069,2020-09-15,电气设备行业周报：长期预期提升 景气度加速向上,新浪
1070,2020-09-15,“十四五”新能源规划目标或上调 光伏行业需求将持续改善,中证报
1071,2020-09-15,“十四五”新能源规划目标或上调，光伏行业需求将持续改善,中证报
1072,2020-09-15,光伏行业需求持续改善 四季度有望迎来装机潮,中证报
1073,2020-09-14,【研报掘金】光伏兼具长期成长性与格局优化 建议关注产业链各环节龙头企业,证券时报网
1074,2020-09-14,福斯特拟投10亿年内二度扩产 光伏市场景气度走高股价普涨,长江商报
1075,2020-09-14,电气设备行业投资策略周报：十四五非化石能源占比或将上调 8月新能源车弱复苏,广发证券
1076,2020-09-14,A股早报2020年9月14日星期一,Wind
1077,2020-09-14,【东吴电新】新能源点评：可再生能源十四五前瞻，国内风+光年化装机有望达100GW+,新兴产业汇
1078,2020-09-11,涨停板解密：电气设备股火热掀涨停潮！（9月11日）,Wind
1079,2020-09-11,阳光电源封住涨停，光伏屋顶板块涨幅接近7%,Wind
1080,2020-09-10,斥资10亿元扩产 光伏胶膜龙头福斯特电子材料业务或成未来看点,21世纪经济报道
1081,2020-09-10,19股获券商买入评级，淮北矿业目标涨幅达53.01%,Wind
1082,2020-09-09,福斯特：Q3胶膜量价齐升致业绩高增，产能扩张巩固龙头地位【安信电新】,电新邓永康团队
1083,2020-09-09,2020年电新行业周报9月第1期：欧洲电动车高增长持续 光伏产业链价格趋稳,新浪
1084,2020-09-08,福斯特：拟10.2亿元投资光伏胶膜和光伏背板项目,e公司
1085,2020-09-08,化工行业周报：油价开启下跌 关注低估值顺周期及近消费端龙头,新浪
1086,2020-09-07,电力设备新能源行业20年中报业绩回顾：工控及新能源发电景气度高 新能源车迎来向上拐点,新浪
1087,2020-09-07,电力电气设备：市场需求持续向好 玻璃价格创新高 硅料价格高位企稳,新浪
1088,2020-09-07,【东吴电新】20H1新能源行业中报总结：光伏逆势高增，龙头强者恒强，风电零部件高增,新兴产业汇
1089,2020-09-06,2020光伏行业中报总结：逆势量利齐升 龙头强者恒强,新浪
1090,2020-09-06,电气设备行业周报：欧洲新能源车销量高增 光伏玻璃需求持续向好,新浪
1091,2020-09-06,2020年新能源板块中报总结：光伏逆势高增 龙头强者恒强 风电零部件高增,新浪
1092,2020-09-05,电新行业周报：光伏市场前景良好 电解液环节盈利有望修复,新浪
1093,2020-09-04,电力设备及新能源行业2020年中报业绩总结：增长韧性凸显 格局加速优化,新浪
1094,2020-09-04,A股中报季900只超预期个股名单,锦缎
1095,2020-09-03,百亿私募二季度调仓路径：冯柳新进34股，淡水泉增持农业股,澎湃新闻
1096,2020-09-03,寻找下一个隆基,索比光伏网
1097,2020-09-01,隆基股份升近5%再创新高，福斯特、福莱特、晶澳科技等光伏股普涨,Wind
1098,2020-09-01,2020年电新行业周报8月第5期：光伏产业链价格趋稳 迎接需求确定性到来,新浪
1099,2020-08-31,A股早报2020年8月31日星期一,Wind
1100,2020-08-29,私募大佬持仓曝光！地产、科技、消费股各有所爱,Wind
1101,2020-08-28,福斯特(603806.SH)：实控人林建华减持1%的股份 减持股份,格隆汇
1102,2020-08-28,福斯特现18笔折价大宗交易 机构买入4.99亿元,e公司
1103,2020-08-28,A股共发生106宗大宗交易成交29.28亿元（8月28日）,Wind
1104,2020-08-28,"福斯特现18笔大宗交易 共成交49,912.36万元",新浪
1105,2020-08-28,福斯特今日大宗交易成交769.54万股，成交价64.86元折价11.16%,Wind
1106,2020-08-28,福斯特：林建华减持比例达总股本1% 减持股份,Wind
1107,2020-08-28,邓晓峰、王亚伟等私募大佬们最新A股持仓来了！,中国基金报
1108,2020-08-24,电力设备及新能源行业周报：光伏涨价不改需求 电网投资回暖,新浪
