,2021-12-31,金地集团(600383)：险资减持压力大量释放 减持股份,广发证券
113,2021-12-08,大家人寿减持金地6.97亿股 占总股本15.43% 减持股份,金融界
114,2021-12-08,自11月13日至今 大家人寿减持金地集团2.26亿股占比5% 减持股份,观点地产网
115,2021-12-08,金地集团：大家人寿累计减持达5%，持股比例降至10.43% 减持股份,乐居财经
116,2021-12-08,金地集团：大家人寿累计减持比例达5% 减持股份,Wind
117,2021-12-08,金地集团：大家人寿累计减持比例达到5% 减持股份,财联社
118,2021-12-08,房地产行业：政治局表态满足合理住房需求 行业进入政策友好期,新浪
119,2021-12-08,A股早报2021年12月8日星期三,Wind
120,2021-12-08,房地产行业2022年投资策略：岁寒 然后知松柏之韧也,广发证券
121,2021-12-08,金地集团12月7日现1笔大宗交易,证券时报网
122,2021-12-08,房企融资分化 房贷个贷加速,广州日报
123,2021-12-08,政策促进房地产业健康发展，房企融资势头向好,Wind
124,2021-12-08,沪市多家房企启动供应链ABS发行,Wind
125,2021-12-07,房地产专题报告：边际维稳正在加码 重申阿尔法的大时代 贝塔的小时代,新浪
126,2021-12-07,"金地集团现1笔大宗交易 共成交148,816.22万元",新浪
127,2021-12-07,金地集团今日大宗交易成交13553.39万股，成交价10.98元折价5.02%,Wind
128,2021-12-07,透视大宗交易：12月7日共成交163笔，金地集团成交14.88亿元,每经网
129,2021-12-07,房地产行业动态点评：融资“糖果”在路上,新浪
130,2021-12-07,对12月6日央行宣布全面降准的点评：全面降准对“杠杆稳健型”民企地产更为利好,光大证券
131,2021-12-07,金秋购房季完美收官 金地集团联合房多多引爆大湾区置业热潮,经济参考报
132,2021-12-07,房地产行业周报：央行等部门回应恒大事件 支持房企合理融资需求,新浪
133,2021-12-07,解盘：降准利好来袭，金融、基建、消费领涨，新能源走低,Wind
134,2021-12-07,A股午盘综述：地产相关产业链风云再起，资金撤离多个热门赛道,Wind
135,2021-12-07,【行情】房地产板块继续冲高，阳光城拉升封板，铁岭新城、新黄浦、中交地产此前涨停，中南建设、金地集团、泰禾集团、新城控股等涨超6%,金十数据
136,2021-12-07,地产全线拉升，金地集团劲升6%！地产ETF（159707）盘中再创新高！,资本邦
137,2021-12-07,A股异动 | 金地集团(600383.SH)5日连涨近20% 11月销售同比上升14.48%,格隆汇
138,2021-12-07,房地产开发板块开盘走强，中交地产涨超7%，金地集团、招商蛇口、金科股份、万,新浪
139,2021-12-07,【行情】地产股开盘强势，中交地产2连板，金地集团、招商蛇口、金科股份、万科A、保利发展等悉数高开,金十数据
140,2021-12-06,房地产行业研究：央行银保监关注恒大事件 融资环境或将改善,新浪
141,2021-12-06,30股获买入评级 最新:晨光文具,中财网
142,2021-12-06,大宗交易揭秘：白马股筹码松动，6股获超溢价买入,Wind
143,2021-12-06,房地产行业2022年年度策略：2022年 五问房地产行业,新浪
144,2021-12-06,11月行业动态报告：销售同、环比均改善 一行两会释放积极信号,新浪
145,2021-12-06,金地集团出资3000万元认购的杭州启明融晶完成私募基金备案,乐居财经
146,2021-12-06,金地集团(600383)11月销售点评：销售正增长 ABS获准发行,新浪
147,2021-12-06,房地产行业销售周报：11月八成房企单月业绩同比降低 信贷融资有所转暖 盈利能力下降,新浪
148,2021-12-06,房地产行业周报(第四十八周)：四部门针对恒大问题密集表态 融资“糖果”在路上,新浪
149,2021-12-06,房地产行业周报：资金面持续改善 推荐高信用优质房企,新浪
150,2021-12-06,金地集团前11月销售同比上升27.93% 行业排名11,中华网
151,2021-12-06,政策暖风频吹 地产行业龙头有望受关注,金融界
152,2021-12-06,天风证券：长期挖掘房地产行业“住房场景价值”,财联社
153,2021-12-06,新房二手房周报：重点满足首套房、改善性住房按揭需求 合理发放房地产开发贷款、并购贷款,新浪
154,2021-12-06,11月房企债券融资持续回暖,广州日报
155,2021-12-06,融资恢复，房地产配置价值渐显,Wind
156,2021-12-05,金地集团“2021年一期2号资产支持专项计划”拟于2022年初发行,乐居财经
157,2021-12-05,金地集团一笔ABS获准发行 拟于2022年初发行,观点地产网
158,2021-12-05,上交所市场民营房企债券融资平稳有序,Wind
159,2021-12-05,金地集团“2021年一期2号资产支持专项计划”获准发行,乐居财经
160,2021-12-03,房地产行业简评报告：百强业绩放缓态势不改 单月销售同环比双降 盈利能力下降,新浪
161,2021-12-03,金地集团前11个月销售2626.5亿，完成年度目标近94%,新京报
162,2021-12-03,晚间重要公告2021年12月3日星期五,Wind
163,2021-12-03,金地集团：2021年11月销售金额174.3亿元,每日经济新闻
164,2021-12-03,金地集团认购的私募基金完成私募基金备案,乐居财经
165,2021-12-03,金地集团最新公告：11月签约金额174.3亿元 同比上升14.48%,证券之星
166,2021-12-03,金地集团(600383.SH)前11月累计实现签约金额2626.5亿元 同比上升27.93%,智通财经
167,2021-12-03,金地集团：11月签约金额174.3亿元 同比上升14.48%,财联社
168,2021-12-03,金地集团(600383.SH)：1-11月实现签约额2626.5亿元 同比上升27.93%,格隆汇
169,2021-12-03,金地集团：11月实现签约金额同比上升14.48%,Wind
170,2021-12-03,A股快报 | 21只重点房企16只收盘上涨 金地集团收涨4%,观点地产网
171,2021-12-02,弘金地成为2021-2023中国花样滑冰协会赛事商务推广合作单位,凤凰网
172,2021-12-01,房地产行业点评：11月单月量减价升 多数房企同比下降-11月百强房企销售点评,新浪
173,2021-12-01,金地集团投资智能机器人生产公司,金融界
174,2021-12-01,11月百强销售点评：基本面持续下行 需要刚需按揭加速变化,新浪
175,2021-12-01,金地出资105.82万元投资达闼机器人,乐居财经
176,2021-12-01,房地产板块早盘拉升，招商蛇口、金地集团涨超4%,乐居财经
177,2021-12-01,金地集团涨4%，“三条红线”仍然保持全绿状态,乐居财经
178,2021-12-01,【东北地产】行业周报：多城开启三批次集中供地，成都广州放松预售资金监管,东北证券研究所
179,2021-12-01,11月百强房企中半数销售滑铁卢，政策向右市场向左,Wind
180,2021-11-30,房地产开发2022年年度策略行业策略：静待行业出清 重塑竞争格局,新浪
181,2021-11-29,金地集团：拟为广州项目公司合计28亿元贷款提供担保 大额借贷担保,中金在线
182,2021-11-29,金地集团：公司对外担保余额为106.01亿元 大额借贷担保,每日经济新闻
183,2021-11-29,金地集团为广州恒越地产提供最高不超6.8亿元担保 大额借贷担保,乐居财经
184,2021-11-29,金地集团为广州项目公司提供不超过6.82亿元银行贷款担保 大额借贷担保,观点地产网
185,2021-11-29,房地产2021年12月投资策略暨三季报总结：行业低迷延续 精选优质龙头,新浪
186,2021-11-29,深度*行业*房地产行业第47周周报：成交同比回正一周后再度转负 土地溢价率持续下行,新浪
187,2021-11-28,5500人保洁队伍也卖？金地收购“西安天天”,腾讯网
188,2021-11-27,11月以来房地产企业债券发行注册齐放量,Wind
189,2021-11-26,金地集团：在三条红线政策下，截止第三季度末，公司仍然保持全绿线的状态,每日经济新闻
190,2021-11-26,金地集团：公司三季报应收账款增加主要是物业管理、楼宇工程等规模增长,Wind
191,2021-11-26,房地产行业：国企“包场” “三限”继续,新浪
192,2021-11-26,结束三连降！11月房企融资环比大增近70%,Wind
193,2021-11-26,金地集团(600383)：销售略微企稳 拿地结构调整,新浪
194,2021-11-26,陆家嘴财经早餐2021年11月26日星期五,Wind
195,2021-11-25,信用债日报：世茂债券大幅下跌，地产公司债务融资工具迎来密集注册,Wind
196,2021-11-25,金融街下午茶2021年11月25日星期四,Wind
197,2021-11-25,"领先级房企销售TOP30:销售增速剧烈分化,头部降速腰部赶上",金融界
198,2021-11-25,金地集团、中交地产、滨江集团合计135.6亿元债务融资工具产品获交易商协会接受注册,乐居财经
199,2021-11-25,交易商协会接受房地产公司135亿元债务融资工具产品注册,Wind
200,2021-11-25,融资成本优势突出 金地集团持续获北向资金增持,证券时报网
201,2021-11-25,房地产开发/房地产服务行业月报：地产基本面存在失速风险,新浪
202,2021-11-25,金地集团、中交房地产、杭州滨江房产集团注册债务融资工具,上证报
203,2021-11-25,成都住建局公告点评：预售资金监管改善 增加房地产贷款投放额度,新浪
204,2021-11-24,市场降准预期渐浓,Wind
205,2021-11-23,A股早报2021年11月23日星期二,Wind
206,2021-11-22,龙虎榜丨3亿资金扫货永太科技，机构和北向共同抢筹这5股（名单）,21世纪经济报道
207,2021-11-22,晚间重要公告2021年11月22日星期一,Wind
208,2021-11-22,房地产行业：银保监会披露信贷投放数据点评：房地产合理贷款需求得到满足 刚需按揭边际改善,新浪
209,2021-11-22,房地产土地周报：土地供应同环比降温 楼市因城施策,新浪
210,2021-11-22,11月22日龙虎榜，机构青睐这17股,证券时报网
211,2021-11-22,房地产行业：三低地产,新浪
212,2021-11-22,A股快报 | 地产板块收跌0.53% 金地集团收跌6.44%,观点地产网
213,2021-11-22,金地集团关联公司注册资本增加至2.5亿,新京报
214,2021-11-22,推动建筑工业化“智造”升级 金地集团率先突破,和讯
215,2021-11-22,产品服务双创新 金地集团专注做地产“科学家”,乐居财经
216,2021-11-22,金地集团腾挪股权，直接持股天津晋辰房地产咨询85.2508%,乐居财经
217,2021-11-20,金地集团罗晓峰：开发商发展 TOD 要有较强的资金实力和开发能力,ZAKER
218,2021-11-20,银行开出房企融资白名单？银行表示“没听说”,Wind
219,2021-11-20,金地集团：9月以来大家人寿减持6%，不涉及公司控制权变化 减持股份,澎湃新闻
220,2021-11-20,上市公司正负面新闻2021年11月20日星期六,Wind
221,2021-11-19,房地产行业：保障性租赁住房加快落地,新浪
222,2021-11-19,大家人寿减持金地集团近4720万股，持股比例降至14.38% 减持股份,新京报
223,2021-11-19,晚间重要公告2021年11月19日星期五,Wind
224,2021-11-19,金地集团：大家人寿再减持4719.6万股 目前持股14.38% 减持股份,观点地产网
225,2021-11-19,金地集团：大家人寿累计减持4719.62万股股份 占总股本1.05% 减持股份,中金在线
226,2021-11-19,大家人寿保险减持金地集团1.05%股份，市值约5.2亿元 减持股份,乐居财经
227,2021-11-19,金地集团：股东大家人寿减持1.05%股份 减持股份,第一财经
228,2021-11-19,金地集团：公司股东大家人寿减持公司股份约4719.62万股 减持股份,每日经济新闻
229,2021-11-19,金地集团：11月18日至19日，股东大家人寿减持1.05%公司股份 减持股份,Wind
230,2021-11-19,金地集团(600383.SH)主要股东大家人寿持股比例降至14.38%,智通财经
231,2021-11-19,金地集团：大家人寿累计减持比例达1.05% 减持股份,Wind
232,2021-11-19,统计局10月数据点评行业点评：单月商品房销售量价延续负增长 新开工面积同比下滑,新浪
233,2021-11-19,A股收盘综述：券商、地产发力，沪指收复半年线；一板块掀涨停潮,Wind
234,2021-11-19,房地产10月月报：信心重建尚需时日 供需存在持续下行风险,新浪
235,2021-11-19,16股获券商买入评级，光迅科技目标涨幅达70.43%,Wind
236,2021-11-18,房地产2022年投资策略：快周转的异化、式微与行业新生,新浪
237,2021-11-18,国内财经媒体头版2021年11月18日星期四,Wind
238,2021-11-18,涉房融资回暖，银行间市场发债先行反弹,Wind
239,2021-11-17,房地产行业：寻找长周期估值修复,新浪
240,2021-11-17,【招商证券·房地产】投资意愿继续下行，资金来源边际改善—房地产行业最新观点及1-10月数据深度解读,降噪房地产
241,2021-11-17,金地集团利润下降33.72%，或存明股实债 盈利能力下降,中金在线
242,2021-11-17,金地集团投资奇瑞关联公司，后者注册资本增加至5000万,贝壳财经
243,2021-11-17,金地商置合作开发引纠纷，母公司金地集团亦有苦难言,中访网
244,2021-11-17,坂田信义君御山居要来了？消息称正在申报预售,南方网
245,2021-11-17,中信建投房地产2022年策略：吹尽狂沙始到金,Wind
246,2021-11-16,地产商花式“自救”：国企融资已松绑，民企打折卖资产等回暖,时代周报
