,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
865,2019-05-05,大智慧风光不再：实控人被拘留、主业连续亏损,投资者网
866,2019-04-28,北洋/航信/石基/纳思达/创业/卫宁/深信服/用友/新大陆详评【申万宏源计算机】,申万宏源S全民全流量计算机话报
867,2019-04-28,计算机行业一季报基金持仓分析：仓位下降集中度下降,中泰证券
868,2019-04-27,【申万宏源计算机】求生存重于求增长！,申万宏源S全民全流量计算机话报
869,2019-04-27,突发！200亿企业出事了，老板已被拘！,和讯
870,2019-04-27,深夜炸雷！大智慧实控人被拘，年内股价翻2倍的牛股要凉？,每日经济新闻
871,2019-04-26,大智慧实控人张长虹被公安机关拘留 早年虚增1.2亿利润被市场禁入5年 其他违规处罚,每日经济新闻
872,2019-04-26,同花顺：19Q1现金流分析,--
873,2019-04-26,机构资金撤退“阴影”下的德邦基金 旗下近七成基金份额缩水,中国网
874,2019-04-26,57家公司销售费用增幅超五成18家广告费过亿元,证券日报
875,2019-04-26,公告点题｜4月25日这些公告有看头,第一财经
876,2019-04-26,太极股份/广联达/同花顺/卫宁等详评【申万宏源计算机】,申万宏源S全民全流量计算机话报
877,2019-04-25,同花顺(300033.SZ)一季度扣非净利增48.02%至9729万元,格隆汇
878,2019-04-25,一季度净利同比增长33.25%，同花顺今年以来股价翻倍,第一财经
879,2019-04-25,同花顺：一季度净利同比增长33.25%,e公司
880,2019-04-25,同花顺：一季度净利润同比增33.25%,Wind
881,2019-04-25,信息科技：持仓更加分散 荐12股,和讯
882,2019-04-25,"2019q1公募基金计算机板块持仓跟踪:持仓比例上升0.72个百分点,集中度明显下降",光大证券
883,2019-04-22,同花顺午后异动重挫5.15%报101.02元 成交10.11亿元,腾讯网
884,2019-04-22,上交所“22问”，能否揭开大智慧扣非连亏7年的原因？ 亏损,第一财经
885,2019-04-22,大智慧多次高买低卖资产遭问询 资产异常,证券时报
886,2019-04-21,连年亏损且多次“高买低卖”非主业资产 大智慧遭上交所22问,e公司
887,2019-04-18,信息科技：拉卡拉独立上市 荐19股,国盛证券
888,2019-04-15,【计算机-同 花 顺(300033)】谢春生：对比：2019 VS 2015,中泰证券研究所
889,2019-04-12,同花顺借力13家券商三连翻 大股东7.76%减持计划直逼股价跌停 减持股份,华夏时报
890,2019-04-12,超千亿元减持计划来袭 A股市场行情受考验,新浪
891,2019-04-11,50余亿元减持股价跌停究竟是谁的错？,中财网
892,2019-04-10,四股东集体抛减持计划 同花顺股价跌停 一机构趁机抄底,大众证券报
893,2019-04-10,清仓式减持又来！这家公司股东拟甩卖15.76%股份，年内减持案例翻倍式上涨，金额超10亿级逾20宗，更有百亿级甩卖,证券时报网
894,2019-04-10,跌停板解密：8只个股遭大单集中抛售！（4月10日）,Wind
895,2019-04-10,同花顺龙虎榜数据（4月10日）,Wind
896,2019-04-10,同花顺今日跌停，四家上海游资卖出超2.2亿元,Wind
897,2019-04-10,凯士奥减持同花顺0.24%股份 股东计划下期减持7.76%股份,中金在线
898,2019-04-10,半年近4倍大牛股跌停！重要股东及部分高管要减持50亿，机构资金刚离场 减持股份,e公司
899,2019-04-10,同花顺遭高管割韭菜：低调“牛股”惨遭跌停,中新经纬
900,2019-04-10,同花顺早盘封跌停 成交额9.39亿元封单1.72万手,腾讯网
901,2019-04-10,减持面前一切牛股都是纸老虎？四股东联袂割韭菜同花顺呜呼跌停,21世纪经济报道
902,2019-04-10,【个股异动】多名股东拟减持 同花顺跌停,每日经济新闻
903,2019-04-10,同花顺低开低走重挫10.0%报115.02元 成交8.74亿元,腾讯网
904,2019-04-10,多名股东拟合计减持不超7.76%股份 同花顺跌9.23%,金融界
905,2019-04-10,同花顺低开逾9% 股东拟减持不超7.76%股份,e公司
906,2019-04-10,【同花顺(300033.SZ)低开9.23% 股东计划减持7.76%股份】,格隆汇
907,2019-04-10,同花顺开盘跌逾9%，多名股东拟合计减持不超7.76%股权,Wind
908,2019-04-10,439股一季度业绩预喜股价亮眼投资者该如何布局？,上游新闻
909,2019-04-09,公告精选：多家券商3月业绩环比大增；吉比特拟10派100元；同花顺多名股东拟合计减持不超7.76%股份,每日经济新闻
910,2019-04-09,同花顺(300033.SZ)：四名股东拟合计减持不超7.76%股份,格隆汇
911,2019-04-09,同花顺：多名股东拟合计减持不超7.76%股权,e公司
912,2019-04-09,同花顺：大股东及部分高管拟合计减持不超7.76% 减持股份,Wind
913,2019-04-08,4月8日A股龙虎榜揭秘，机构抢筹5股,Wind
914,2019-04-08,同花顺今日涨停逼近历史高点，三机构席位卖出1.36亿元,Wind
915,2019-04-05,最新反弹王诞生！这些昔日大熊股一朝翻身 最意外的竟是它,证券时报
916,2019-04-03,上次大牛市，这个板块涨了10倍！,金融界
917,2019-04-03,4月3日A股龙虎榜揭秘，机构抢筹这2股,Wind
918,2019-04-03,同花顺今日涨停 三机构买入1.27亿元,每日经济新闻
919,2019-04-03,同花顺今日涨停再创阶段新高，机构深股通均买入,Wind
920,2019-04-03,涨停板解密：四大板块火爆涨停股不断涌现！（4月3日）,Wind
921,2019-04-01,涨停板解密：行情火爆百股涨停再现！（4月1日）,Wind
922,2019-04-01,连续两日涨停，融资客不停买买买 同花顺再显金融科技龙头威力,第一财经
923,2019-04-01,同花顺延续强势 继续封涨停,e公司
924,2019-03-29,涨停板解密：券商股再现集体火爆！（3月29日）,Wind
925,2019-03-25,同花顺：变化点 买入评级,和讯
926,2019-03-23,【申万宏源计算机】聚焦广深“文化N虎”，基本面领军突出,申万宏源S全民全流量计算机话报
927,2019-03-22,同花顺：顶级BETA领军 买入评级,和讯
928,2019-03-22,券商首次关注6股并给予买入评级（3月22日）,Wind
929,2019-03-13,[中性评级]计算机行业点评：香港虚拟银行牌照将落地 金融科技大趋势加强,中财网
930,2019-03-12,龙虎榜：2019年一季度养殖业光芒四射 可继续关注,巨丰财经
931,2019-03-12,涨停板解密：四大板块火爆，涨停潮继续上演！（3月12日）,Wind
932,2019-03-11,创业板一马当先！个股年后至少涨81%才能挤入TOP20之列,Wind
933,2019-03-09,去年四季度险资持股路线图浮现 绩优股成为布局重点,证券日报
934,2019-03-08,中金报告：股票交易类APP牛股王活跃度最高,北国网
935,2019-03-08,44只股价翻番牛股呈现两大特征，12只非银金融股或走在“翻倍路”上,证券日报
936,2019-03-06,跟着机构买牛股！最新持股名单曝光，扎堆医药非银食品饮料，社保险资外资还重仓这些股,券商中国
937,2019-03-04,融钰集团因“假央企”事件被官方“三连罚”后，或再遭股民维权,和讯
938,2019-03-04,同花顺：拐点已现 买入评级,和讯
939,2019-03-04,6天5个涨停！《西虹市首富》奇葩一幕在A股上演,每经网
940,2019-02-27,【计算机-同花顺(300033)】谢春生、杨亚宇（研究助理）：年报深度分析：拐点已现-20190226,中泰证券研究所
941,2019-02-27,东北证券：上调同花顺评级至买入,Wind
942,2019-02-27,谁最有可能接过东方通信领涨大旗：券商研报最青睐5只龙头股,中财网
943,2019-02-27,上调评级至买入策略选股（2月27日）,Wind
944,2019-02-27,103股获券商买入评级 吴江银行目标涨幅达54.64%,Wind
945,2019-02-26,同花顺去年净利6.34亿元 董事长年薪为67万元,挖贝网
946,2019-02-26,"东北证券：将同花顺评级调高为""买入""",Wind
947,2019-02-26,"财通证券：将同花顺评级调高为""增持""",Wind
948,2019-02-26,周二最新重磅公司传闻集锦(2月26日),证券之星
949,2019-02-26,"计算机行业深度报告:资本市场IT行业,长期成长空间广阔,景气度迎拐点",东北证券
950,2019-02-25,同花顺(300033.SZ)第一季度净利润预增0%–15%,格隆汇
951,2019-02-25,同花顺：2018年净利下滑12.64% 拟10派4.8 盈利能力下降,证券时报网
952,2019-02-25,同花顺(300033.SZ)2018年度净利润降12.64%至6.34亿元 拟每10股派4.8元 盈利能力下降,格隆汇
953,2019-02-25,同花顺：2018年净利润降逾一成，拟10派4.8元,Wind
954,2019-02-25,涨停板解密：券商股再现集体涨停！（2月25日）,Wind
955,2019-02-25,同花顺午后封涨停 成交额10.12亿元封单1.16万手,腾讯网
956,2019-02-25,A股早报2019年2月25日星期一,Wind
957,2019-02-22,2月22日A股龙虎榜揭秘，机构最青睐4股,Wind
958,2019-02-22,涨停板解密：券商股全面爆发！（2月22日）,Wind
959,2019-02-22,同花顺今日涨停，四机构席位卖出1.44亿元,Wind
960,2019-02-22,【A股异动丨同花顺尾盘封板 本月大涨60%】,格隆汇
961,2019-02-22,券商交易系统外接倒计时，马云已准备好，事关千亿增量资金！,e公司
962,2019-02-19,信息科技：积极推动超高清视频产业发展,川财证券
963,2019-02-19,同花顺继续冲高 本月累升40%,格隆汇
964,2019-02-18,抢筹啦，百股业绩超预期！养鸡板块已起爆 这些股望跟上（名单）,证券时报网
965,2019-02-16,59家公司将于月内披露年报 近7亿元大单提前布局9股,证券日报
966,2019-02-14,"同花顺:18Q4净利同比增长负54%至31%,或将迎来边际改善",正点财经
967,2019-02-13,同花顺早盘封涨停 成交额3.75亿元封单2.45万手,腾讯网
968,2019-02-01,【国盛计算机】政策跟踪——金融IT核心因素分析,国盛计算机畅想
969,2019-01-31,[快讯]同花顺公布年度业绩预告,中财网
970,2019-01-31,同花顺股价大涨5.07%,中金在线
971,2019-01-30,同花顺(300033.SZ)2018年度净利润预降10%-40% 盈利能力下降,格隆汇
972,2019-01-30,同花顺：预计2018年净利润同比下降40%-10% 盈利能力下降,金融界
973,2019-01-30,同花顺：2018年净利同比预降10%-40% 盈利能力下降,e公司
974,2019-01-30,信息科技：2019核心为成本控制和管理优化 荐15股,申万宏源
975,2019-01-30,营收与净利双升 银行股成近期护盘主力,证券时报
976,2019-01-22,【广证恒生-计算机行业周报】财政部推税收减免政策，普惠金融力度再增强,广证恒生
977,2019-01-16,"计算机行业2019年度投资策略:产业新阶段,孕育新机会",华融证券
978,2019-01-04,同花顺股价大涨5.18%,中金在线
979,2018-12-27,东方通信月内股价翻倍 屡发提示公告游资仍“穷追不舍”,大众证券报
980,2018-12-03,A股收官行情值得期待，机构扎堆相中三大行业,证券日报
981,2018-11-26,估值处于相对底部区域，医药板块迎来修复行情,证券时报
982,2018-11-12,同花顺：探索智能资管之道 市场寻底之路或临近尾声,天风证券
983,2018-11-07,同花顺：11月6日融资余额为2.82亿元，较前一日骤降5.04%,Wind资讯
984,2018-11-07,"同花顺:交易低迷影响业绩,静观B端业务爆发",申万宏源
985,2018-10-25,同花顺：前三季度净利同比降32%,e公司
986,2018-10-25,同花顺：前三季度净利润同比减32.38% 盈利能力下降,Wind
987,2018-10-19,巨丰热点：软件板块呈现活跃 诚迈科技等个股逆势涨停,巨丰财经
988,2018-10-18,2018计算机三季报前瞻:计算机Q3增速继续较快增长,申万宏源
989,2018-10-12,同花顺：前三季度净利润预计下滑50%至20% 盈利能力下降,e公司
990,2018-10-10,同花顺云软件接监管罚单，事出员工违规提供投顾服务，投顾展业集中六大风险点 其他违规处罚,券商中国
991,2018-09-26,131只个股有望实现中报三季报业绩双翻番,证券日报
992,2018-09-20,平安信用卡携手同花顺发布联名卡 打造高净值客户财富管理品牌,东方网
993,2018-09-11,业绩滑坡 股价暴跌 同花顺四大股东执意“三番减持”,华夏时报
994,2018-09-10,10日晚公告精选丨粤宏远A获第一大股东广东宏远集团三度举牌,21世纪经济报道
995,2018-09-10,多家公司发布减持公告：金域医学等拟遭大举抛售,Wind
996,2018-09-10,同花顺：四大股东拟合计减持不超7.96%股份,金融界
997,2018-09-10,同花顺：董事叶琼玖等多名股东拟6个月内减持不超过7.96%股份,Wind
998,2018-09-10,同花顺：股东拟6个月内减持不超过7.96%,新浪
999,2018-08-23,百度获批！BATJ都有了基金销售牌照，四巨头谁持金融牌最多？基金代销江山重新划定？,和讯
1000,2018-08-22,[中性评级]同花顺(300033)中报点评：短期业绩承压 长期价值不变,中财网
1001,2018-08-22,上市第三方销售平台业绩分化天天基金上半年销量增长九成,证券时报
1002,2018-08-21,申万宏源计算机行业日报：大华股份、同花顺等发布半年报 中科曙光发行可转债,中财网
1003,2018-08-20,同花顺：上半年净利润同比减33.28% 盈利能力下降,Wind
1004,2018-07-25,同花顺：7月24日融资余额为3.74亿元，较前一日骤增8.01%,Wind资讯
1005,2018-07-16,蚂蚁金服投资圈地：雪球完成1.2 亿美元D轮融资,搜狐
1006,2018-07-13,同花顺：上半年净利润预计同比下降20%-50%,Wind
1007,2018-07-10,周涛谈金融信息服务业：加强知识产权保护,中国经济网
1008,2018-07-02,[中性评级]计算机行业2018年半年度投资策略报告：估值仍存调整空间 关注SAAS、工业互联网中优质白马,中财网
1009,2018-06-21,AI版“币圈同花顺”「币智慧」获千万级人民币融资,金融界
1010,2018-06-02,炒股软件接连上线数字货币行情 合规还是打擦边球？,证券日报
1011,2018-05-31,同花顺数字货币行情已下线 知情人透露:是监管所致,新浪
1012,2018-05-25,"继同花顺后,苹果自带股票软件也可添加数字货币行情",砍柴网
1013,2018-05-22,"计算机行业周报:被低估的AI摩尔定律,关注流量可视+AI服务器",申万宏源
1014,2018-05-17,同花顺：5月16日融资余额为4.17亿元，较前一日骤降5.29%,Wind资讯
1015,2018-05-03,同花顺回应券商第三方开户交易征意影响：业务正常,新浪
1016,2018-04-25,同花顺2018年一季度营收和净利润双降,中证网
1017,2018-04-25,同花顺：一季度净利润同比减26.37%,Wind
1018,2018-04-13,2018年4年13日新闻发布会,深交所
1019,2018-04-12,基金销售牌照怪圈:天价玩家难务正业,21世纪经济报道
1020,2018-04-11,同花顺违规欲盖弥彰 交易所发函要求整改,全景网
1021,2018-04-11,万家基金卞勇：把投资决策交给量化模型,证券日报
1022,2018-04-10,超额使用超募资金买理财 同花顺收深交所监管函,中国网
1023,2018-04-09,[增持评级]银行行业周报：互联网资管新规出台 全面打击监管套利,中财网
1024,2018-04-08,[中性评级]计算机行业2018年二季度投资策略报告：走势反弹 人工智能、工业互联网仍为重要主线,中财网
1025,2018-04-02,工业互联网主题趋热 投资遵循两大方向,中证报
1026,2018-03-28,同花顺：3月27日融资余额为4.64亿元，较前一日骤增7.61%,Wind资讯
1027,2018-03-26,互联网基金违规销售乱象：巧立名目送红包、送份额,北青网
1028,2018-03-23,行业竞争白热化 基金电商违规揽客屡禁难止,新浪
1029,2018-03-17,深交所报告揭炒股机密 布局这些股,证券时报
1030,2018-03-16,238份年报揭示三机构投资动向 新进与增持53只个股,证券日报
1031,2018-03-15,"非银金融行业周报:关注金融成长股,科技金融领军",东吴证券
1032,2018-03-13,[推荐评级]计算机行业研究周报：继续看好工业互联网、“独角兽”等新经济、新技术投资机遇,中财网
1033,2018-03-13,同花顺韭菜经济学：业绩连续四季度下滑 股东坚定减持,面包财经
1034,2018-03-12,非银金融行业周报：关注金融成长股 科技金融领军,中财网
1035,2018-03-11,金融：科技金融领军 荐4股,东吴证券
1036,2018-03-08,高送转概念股逆市大涨 建议多关注公司基本面（附股）,长江商报
1037,2018-03-08,高送转概念活跃 智能自控等3股涨停,金融界
1038,2018-03-06,熊市里一枝独秀 这家做炒股软件的公司凭什么？,犀牛之星
1039,2018-03-05,晨会聚焦180305：重点关注蓝思科技、游族网络、TCL集团、三孚股份、木林森、锦江股份,国信研究
1040,2018-03-05,"计算机行业周报:新经济“独角兽”上市获支持,看好新技术投资机遇",证券之星
1041,2018-02-28,同花顺业绩同比下滑 仍获证金公司和险资的增持,股城网
1042,2018-02-28,[推荐评级]同花顺(300033)年报点评：预收账款仍处高位;市场活跃受益标的,中财网
1043,2018-02-28,概念炒作之风再起 股价大涨让这些公司“坐立不安”,中财网
1044,2018-02-27,同花顺：预计一季度净利润同比下降20%-50%,Wind
1045,2018-02-27,同花顺：2017年净利润同比减40.11%,Wind
1046,2018-02-27,同花顺：年报净利降四成 证金公司增持,e公司
1047,2018-02-27,晨会聚焦180227：重点关注海康威视、中国国旅、计算机行业、港股、中兴通讯,国信研究
1048,2018-02-27,计算机行业周报：工业互联网专项工作组设立，看好传感器、软件、IT服务相关企业,国信研究
1049,2018-02-24,巨丰原创：A股持续低量或引发市场间轮动,巨丰财经
1050,2018-02-14,周三上市公司晚间重要公告,顶尖财经网
1051,2018-02-14,[快讯]同花顺净利同比降四成 多家公司公布业绩,中财网
1052,2018-02-14,同花顺：2017年实现净利润7.23亿元，较上年同期下降40.32%,Wind
1053,2018-02-14,同花顺：2017年净利7.23亿元 同比降四成,e公司
1054,2018-02-12,信息科技：NVIDIA公布8-K 荐14股,国信证券
1055,2018-02-08,2月8日A股龙虎榜揭秘，机构抢筹6股,--
1056,2018-02-08,同花顺龙虎榜数据(2月8日),Wind资讯
1057,2018-02-08,机构席位抢筹盈趣科技1.6亿元，卖出金达威华西证券,Wind
1058,2018-02-07,证监会拯救创业板？一重磅消息置蓝筹股于死地！,凤凰网
1059,2018-02-07,干货！2月7日晚间重要公告速读,第一财经
1060,2018-02-07,同花顺：股东及董事拟减持不超7.96%股份,Wind
1061,2018-02-07,晚间重要公告2018年2月7日星期三,--
1062,2018-02-05,计算机:金蝶投资纷享销客 云服务风起云涌,证券之星
1063,2018-02-05,计算机行业周观点：通过业绩预告 我们读到了什么?,中财网
1064,2018-02-01,[谨慎推荐评级]同花顺(300333)：公司全年业绩持续承压 2018年有望出现业绩拐点,中财网
1065,2018-01-30,同花顺：预计2017年净利润同比下降30%-50%,Wind
1066,2018-01-29,信息科技：云服务风起云涌 荐14股,国信证券
1067,2018-01-22,1月22日A股龙虎榜揭秘，机构抢筹2股,--
1068,2018-01-22,机构席位卖出神雾节能上海钢联，深股通买入张家港行,Wind
1069,2018-01-20,无业游民捏造“中纪委指示” 被证监会移送公安机关,每日经济新闻
1070,2018-01-19,证监会：严打编造传播虚假信息行为 有人捏造“中纪委指示” 被移送公安机关,每日经济新闻
1071,2018-01-19,2017年证监稽查20起典型违法案例,证监会
1072,2018-01-19,周五证监会新闻发布会重要消息汇总,证券之星
1073,2018-01-19,2017年证监稽查20起典型违法案例,中证协
1074,2018-01-19,【银行】戴志锋、陆婕：金融科技2018年投资策略报告——科技持续迭代渗透，监管加速行业集中-20180118,中泰证券研究所
1075,2018-01-18,金融：科技持续迭代渗透 荐6股,中泰证券
1076,2018-01-16,银河证券晨会纪要-180116,银河证券
1077,2018-01-15,"计算机行业:当我们在谈论CES时,我们谈论什么?",中国网
1078,2018-01-15,计算机行业周报： 唯有利益永恒：Intel第八代酷睿移动版CPU整合AMD Vega架构GPU,国信研究
1079,2018-01-15,区块链板块的“速食爱情” 下一步是分手还是长久？,重庆商报
1080,2018-01-08,"计算机行业周报:英特尔曝巨大安全漏洞,关注自主可控及信息安全",中国网
1081,2018-01-02,计算机行业周报:NVIDIA新驱动禁止在数据中心部署消费级GeForce显卡用于深度学习,中国网
1082,2018-01-02,"计算机周观点:CES2018开展在即,持续关注人工智能",中国网
