,2021-12-30,700亿巨头同花顺又出事！监管出手,中投网
764,2019-10-21,信息科技：世界互联网大会召开 关注5G技术重大进展,川财证券
765,2019-10-18,创业板10周年记：创业板十年诞生20只10倍股 康泰生物涨37倍最牛！,投资快报
766,2019-10-15,同花顺：2019年前三季度业绩报告预告,深交所
767,2019-10-15,区块链和数字货币炒作要降温？这两家领涨龙头连发风险警示：业务不涉及或不成熟,e公司
768,2019-10-15,同花顺：预计前三季度净利润同比增长20%~50%,Wind
769,2019-10-14,同花顺：行情带动资讯用户付费意愿 增持评级,安信证券
770,2019-10-14,同花顺前三季度净利润预增20%-50%,金融界
771,2019-10-14,同花顺(300033.SZ)第三季度净利润预增30%-60%,格隆汇
772,2019-10-14,同花顺：预计前3季度净利润同比增20%-50%,Wind
773,2019-10-12,【国盛计算机】三季报前瞻：安可、医疗IT进入业绩加速期！,国盛计算机畅想
774,2019-10-09,大智慧被股民“秋后算账”：上市8年更像是一场割韭大戏！,格隆汇
775,2019-10-08,计算机行业板块三季报前瞻,安信证券
776,2019-10-01,千亿增量资金在路上！机构转战绩优科技股 哪些个股获得基金高比例持仓？,中证网
777,2019-09-25,汇丰将同花顺评级下调至减持，目标价88元 投资评级恶化,Wind
778,2019-09-23,同花顺：具备2C端优势的互联网金融信息服务提供商 增持评级,联讯证券
779,2019-09-18,同花顺：流量优势和产品基因驱动高成长,证券时报网
780,2019-09-16,计算机行业周报:关注金融IT和泛在物联网,国海证券
781,2019-09-12,财富趋势携炒股软件冲刺科创板,中证报
782,2019-09-10,535家上市公司股价六连涨 33只个股获主力资金增持逾亿元,中证报
783,2019-09-08,【招商计算机】同花顺深度：洗净铅华又一春,科技晶选
784,2019-09-06,A股早报2019年9月6日星期五,Wind
785,2019-09-05,龙虎榜解密：重庆涪陵广场路9100万杀入中际旭创,新浪
786,2019-09-05,9月5日A股龙虎榜揭秘，机构最青睐4股,Wind
787,2019-09-05,数据复盘｜北向资金单日扫货92亿 主力资金偏爱金融、科技股,证券时报网
788,2019-09-05,同花顺龙虎榜数据（9月5日）,Wind
789,2019-09-05,同花顺今日涨停创下数月新高，两机构席位买入2.31亿元,Wind
790,2019-09-05,四问财富趋势科创板IPO:募投项目临时拼凑利益输送?,中国网
791,2019-09-05,四问财富趋势科创板IPO：募投项目是否临时拼凑 微信荐股是否公司所为？,中国网
792,2019-09-03,指南针：股东超200人难过审 公司核心竞争力从何谈起？,财富动力网
793,2019-08-30,A股共发生53宗大宗交易成交26.22亿元（8月30日）,Wind
794,2019-08-30,同花顺今日大宗交易成交5.50万股，成交价89.06元溢价0.0%,Wind
795,2019-08-29,"同花顺:主业有效推进,现金流净额快速增长",安信证券
796,2019-08-26,金融科技概念股暴涨，毛利率高达97%！三闯IPO的通达信拟登陆科创板,算力智库
797,2019-08-23,同花顺：上半年净利2.65亿元 同比增加38%,e公司
798,2019-08-23,同花顺(300033.SZ)半年度净利润升38.45%至2.65亿元,格隆汇
799,2019-08-23,同花顺：上半年净利润同比增38.45%,Wind
800,2019-08-19,计算机相关概念股大幅走高，诸多红利加持，机构看好投资机会,第一财经
801,2019-08-15,财富趋势科创板IPO：一边理财7200万 一边募资7.78亿,新浪
802,2019-08-07,[快讯]同花顺:关于部分持股5%以上股东、董事股份减持计划实施进展 拟减持股份,中财网
803,2019-08-07,同花顺(300033.SZ)：部分股东及董事合计减持235.46万股 减持股份,格隆汇
804,2019-08-07,今日头条、同花顺开卖保险 流量巨头变现也要警惕“奇葩”是非,21世纪经济报道
805,2019-08-04,IPO屡遭临时叫停，通达信闯关科创板成败几何？ IPO融资异常,全景网
806,2019-07-30,消费拥挤转战科技 谁是基金经理眼中的香饽饽？,上证报
807,2019-07-30,IPO屡遭临时叫停，通达信闯关科创板成败几何？ IPO融资异常,全景网
808,2019-07-29,大打流量牌，东财代销基金一天能卖17亿，BAJT加入，第三方基金销售赶上银行代销还有多远,券商中国
809,2019-07-26,【广证恒生计算机】计算机行业2019年Q2基金持仓分析,广证恒生
