216,2021-04-06,订单、预采购大增 军工行业景气火热依旧,上证报
217,2021-04-06,军工行业景气火热依旧:订单预采购大增 红外北斗等细分行业受关注,上证报
218,2021-04-05,【天风军工】深度-主机厂关联交易分析：甲方大额预付模式或到来&高景气,tf防务深评
219,2021-04-01,中航机电(002013)2021年一季度业绩预告点评：业绩预增或超200% 军工高景气开始兑现,新浪
220,2021-03-31,【军工-冯福章】中航西飞：业绩符合预期，专注主业前景向好,安信证券研究
221,2021-03-30,安信证券维持中航西飞买入评级：业绩符合预期，专注主业前景向好,每日经济新闻
222,2021-03-29,中航西飞(000768.SZ)年度归母净利同比下降27.65%至7.77亿元 拟10派0.85元 盈利能力下降,智通财经
223,2021-03-29,中航西飞(000768.SZ)2020年净利降27.65%至7.77亿元 盈利能力下降,格隆汇
224,2021-03-29,中航西飞：2020年度净利润约7.77亿元，同比下降27.65% 盈利能力下降,每日经济新闻
225,2021-03-29,中航西飞：2020年净利润同比减少27.65% 盈利能力下降,Wind
226,2021-03-29,航空航天与国防行业周报：看好存有市场化改革预期的标的,新浪
227,2021-03-23,航空航天与国防行业周报：看好军工电子和原材料,新浪
228,2021-03-23,基民不能承受之重，个别基金经理押注板块赌明天,Wind
229,2021-03-18,中航西飞：将成为航空工业首家通过新版能源管理体系认证审核的单位,e公司
230,2021-03-17,巷观陕股〡陕煤市值增长最多，兴化股份受主力资金追捧，蓝晓科技迎8家机构调研（3月8日-14日）,每日经济新闻
231,2021-03-17,航天军工板块异动，中航沈飞、中航西飞、中国重工、中航机电等拉升,Wind
232,2021-03-16,机构近期抢筹这33股可关注（附名单）,证券之星
233,2021-03-15,航空航天与国防行业周报：年报披露期 关注业绩高增速标的,新浪
234,2021-03-15,龙虎榜揭秘 近五日机构最青睐37股,证券之星
235,2021-03-12,冷板凳也有春天，碳中和渐入佳境公用事业领涨A股,Wind
236,2021-03-12,中航西飞跌2.71%，创年度新低 连续下跌,中新经纬
237,2021-03-11,机构看中这些股 近五日大手笔净买入,证券之星
238,2021-03-10,A股早报2021年3月10日星期三,Wind
239,2021-03-09,3月9日龙虎榜解析：航发动力净买入2.33亿元，中航西飞、永兴材料等37只个股被机构扫货,每日经济新闻
240,2021-03-09,中航西飞龙虎榜数据（3月9日）,Wind
241,2021-03-09,中航西飞连续第二日跌停，机构尝试抄底,Wind
242,2021-03-09,深V抄底“被埋”：创业板跌3.5%，铁矿石跌停！高善文最新研判,Wind
243,2021-03-09,中航西飞跌停，主力资金净流出28488万元,中新经纬
244,2021-03-09,【异动股】航天航空板块下挫，中航西飞(000768-CN)跌7.33%,财华社
245,2021-03-09,解盘：沪指盘中失守3400点，海运、挖掘机、白酒略涨,Wind
246,2021-03-09,每日理财观察：证监会重磅发声，全面落实退市方案,Wind
247,2021-03-08,中航西飞(000768.SZ)：拟申请使用银行综合授信额度90亿元,格隆汇
248,2021-03-08,策略日报：指数延续回落 抱团板块下行,新浪
249,2021-03-08,跌停板解密：军工股现跌停潮！（3月8日）,Wind
250,2021-03-08,金融街下午茶2021年3月8日星期一,Wind
251,2021-03-08,A股收盘综述：上证指数下滑2.3%，创业板指跌入技术性熊市,Wind
252,2021-03-08,军工板块大幅下挫 航发动力中航西飞等近10股跌停 连续下跌,证券时报网
253,2021-03-08,航发动力、中航重机封住跌停，中航沈飞、中航西飞、洪都航空、航发控制接近跌停,Wind
254,2021-03-08,【行情】国防军工板块走弱，航发动力跌停，中航沈飞、中航西飞跌逾8%，洪都航空、航发控制等跟跌,金十数据
255,2021-03-08,军工板块走低，航发动力跌超8%,Wind
256,2021-03-08,国防装备行业周报：2021年国防预算增长6.8% 增速较上年提升,新浪
257,2021-03-08,券商晨会观点速递,第一财经
258,2021-03-05,国防军工行业：C919首单落地 我国航空产业正发展,新浪
259,2021-03-05,盘前情报丨国际油价涨超4%，券商表示油价上行或有望再持续一年,21世纪经济报道
