276,2021-07-22,基金二季报重仓股调查：仓位稳中有升，增配三大行业,Wind
277,2021-07-22,基金顶流压轴出场！仓位新低、重仓换血，未来咋走？,Wind
278,2021-07-21,指数涨近9%，锂电大爆发！2500亿大白马涨停,Wind
279,2021-07-20,开源晨会0720丨北上南下资金行为画像；从债务付息看地方财政压力；亿联网络、老百姓,开源证券研究所
280,2021-07-19,电子行业周报：多政策支持半导体发展 持续看好国产替代,新浪
281,2021-07-15,上半年业绩暴增股名单 （附股）,证券之星
282,2021-07-14,中国射频芯片产业背后的“贵人”,智通财经
283,2021-07-13,电子行业2021中报前瞻：5G手机、远程需求、汽车电子仍为2021三大主轴,新浪
284,2021-07-13,市场聚焦：雷霆降准增强市场底气,新浪
285,2021-07-13,电子周报：关注半导体公司中报,新浪
286,2021-07-13,A股资金流向（7月13日）：业绩成为市场“试金石”，芯片股“掉队”遭抛售,Wind
287,2021-07-13,半导体行业点评行业点评：封测板块业绩大幅上修 各厂商半年报预期亮眼,新浪
288,2021-07-13,解盘：资金持续流入，网络游戏、光伏、白酒、煤炭领涨,Wind
289,2021-07-13,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
290,2021-07-13,600亿芯片大牛股遭减持，大基金还减持了这些票 减持股份,Wind
291,2021-07-12,长电科技：公司暂无参股或投资芯片设计企业,Wind
292,2021-07-11,股民周末不休！国家大基金出手，抛2100万股减持计划！,Wind
293,2021-07-10,科技巨头被申请破产重整，旗下上市公司股权或生变！业绩持续高增名单出炉，8股净利连续翻倍增长,e公司
294,2021-07-09,晚间公告热点追踪：太极实业被“国家队”大手笔减持,新浪
295,2021-07-09,突发利空！200亿芯片股拟被“国家队”大手笔减持，网友心慌：“今天刚加仓”,每日经济新闻
296,2021-07-09,【银河电子傅楚雄/王恺】行业周报丨持续看好半导体，建议关注封测领域投资机会,中国银河证券研究
297,2021-07-09,三季度超1900亿元定增股解禁，认购者收益分化明显,Wind
298,2021-07-07,长电科技(600584.SH)将于7月16日分红 每股派0.05元,智通财经
299,2021-07-07,长电科技发布 XDFOI 多维先进封装技术：CPU/GPU 芯片等高密度异构集成，2022 下半年完成产品验证并量产,中电网
300,2021-07-07,微观流动性跟踪双周报：融资风格攻守兼备 北上加仓电气设备,新浪
301,2021-07-07,长电科技(600584)：业绩持续高增长 充分受益半导体行业高景气度,新浪
302,2021-07-07,长电发布XDFOI多维先进封装技术 针对高性能计算领域明年量产,上海有色
303,2021-07-07,北向资金动向盘点：医药大跌，未曾“砸盘”,Wind
304,2021-07-07,电子行业周报：Q2业绩确定高增 展望Q3景气有望持续,新浪
305,2021-07-06,电子周报：元器件和半导体中报业绩靓丽 面板盈利周期持续确认,新浪
306,2021-07-06,长城证券：长电科技(600584.SH)业绩持续高增长，维持“买入”评级,智通财经
307,2021-07-06,长电科技发布XDFOI多维先进封装技术，为高密度异构集成提供全系列解决方案,中电网
308,2021-07-06,电子行业周报：缺货持续价格上涨 继续关注缺芯带来的发展机遇,新浪
309,2021-07-06,电子元器件行业2021年7月投资策略：关注中报业绩超预期板块及个股,新浪
310,2021-07-06,A股融资融券日报：两融余额增加81.53亿元（7月5日）,Wind
311,2021-07-05,中国银河维持电子行业推荐评级：持续看好半导体建议关注封测领域投资机会,每日经济新闻
312,2021-07-05,国信证券：长电科技（600584.SH）封测龙头，业绩加速成长，给予“买入”评级,智通财经
313,2021-07-05,通信行业周报：射频前端独角兽加速上市 拥抱国产替代历史机遇,华安证券
