294,2021-08-23,国电电力：2021年半年度净利润约23.2亿元，同比增加272.82%,每日经济新闻
295,2021-08-23,国电电力(600795.SH)半年度归母净利同比增长272.82%至23.2亿元,智通财经
296,2021-08-23,国电电力：上半年净利23.2亿元 同比增长273%,财联社
297,2021-08-23,国电电力：上半年净利润同比增长248.74%,Wind
298,2021-08-23,港股盘前必读：港交所将于10月18日推出MSCI中国A50互联互通指数期货,Wind
299,2021-08-22,下周操盘攻略：调整是长期布局主线机会,Wind
300,2021-08-22,啥情况？千亿大牛股被富时罗素踢出群，原因竟是这个！,Wind
301,2021-08-20,东城区委书记孙新军走访国家能源投资集团有限责任公司,东方网
302,2021-08-20,债市风云|中国交建累计新增借款900亿 中国林业提前赎回债券 大额借贷担保,中新经纬
303,2021-08-20,国电电力山西新能源4万千瓦风电增容项目获核准,国电电力
304,2021-08-19,融资客青睐6股，海亮股份买入占比高达44.49%,Wind
305,2021-08-18,国电电力常规发电资产扩容：控股装机将增至10363.91万千瓦,中国能源报
306,2021-08-17,河北银行十年奋战IPO:被业绩拖累 易主能否扭转颓势 盈利能力下降,每日财报
307,2021-08-17,河北银行大股东易主，能否扭转业绩加速IPO？ 控制人变化,每日财报
308,2021-08-16,申请贷款需先买保险？揭秘河北银行“如意贷”产品模式,经济观察报
309,2021-08-16,国电电力重组 装机容量净增1500万千瓦,煤炭网
310,2021-08-16,河北银行增收减利不良率1.98%超A股同行 国家能源集团成最大股东十年IPO进展缓慢 控制人变化,长江商报
311,2021-08-12,中信证券：将于9月2日召开“20国电02”、“21国电01”、“21国电02”持有人会议,Wind
312,2021-08-12,国电电力：拟注销回购股票相关事项,Wind
313,2021-08-12,华泰联合证券：将于9月2日召开“21国电S1”、“19国电01”、“20国电01”持有人会议,Wind
314,2021-08-12,中信证券：9月2日召开“20国电02”等三只债券2021年第一次债券持有人会议,Wind
315,2021-08-12,国家能源集团将成河北银行第一大股东 9年IPO之旅何时结束？,GPLP犀牛财经
316,2021-08-11,河北最大城商行迎来大股东变更，国家能源集团将入主河北银行 控制人变化,AI财经社
317,2021-08-11,太平洋证券给予国电电力买入评级：聚焦电力主业竞争力增强，装机及盈利水平大幅提升,每日经济新闻
318,2021-08-11,辽宁区域股市周报：鞍钢股份跌出板块市值3强 奥克股份涨42.8%涨幅第一,每日经济新闻
319,2021-08-11,国电电力重组 装机容量净增1500万千瓦,国电电力
320,2021-08-10,两部门：鼓励可再生能源发电企业自建或购买调峰能力增加并网规模,Wind
321,2021-08-09,31期上市辅导后仍在筹备，河北银行大股东“转手”能否带来IPO转机？,北京商报
