198,2021-05-03,顶流私募最新持仓曝光！冯柳、张磊、邓晓峰、葛卫东、杨东等全来了,Wind
199,2021-04-30,开源证券维持三环集团买入评级，公司信息更新报告：筹集了118亿美元,每日经济新闻
200,2021-04-30,艾华集团(603989)：业绩符合预期 产能投放加快工业布局,新浪
201,2021-04-29,国盛证券维持三环集团买入评级：业绩高速增长，加速扩产贡献业绩弹性,每日经济新闻
202,2021-04-29,三环集团：已有生产0201型号MLCC，01005型号尚在研发,Wind
203,2021-04-29,被动元器件国产替代加速 三环集团一季度净利增长165%,上证报
204,2021-04-29,信号？冯柳一季度净卖出超百亿元A股，全买了港股？,Wind
205,2021-04-28,三环集团(300408.SZ)一季度净利升165.25%至4.90亿元,格隆汇
206,2021-04-28,三环集团：一季度净利润同比增长165.25%,Wind
207,2021-04-28,风华高科(000636)2021年一季报点评：业绩符合预期 涨价周期开启量价齐升可期,新浪
208,2021-04-28,69公司获得增持评级-更新中,中财网
209,2021-04-28,三环集团(300408)2020年年报点评：业绩符合预期 三大主业增速强劲,新浪
210,2021-04-28,248股获券商买入评级，王府井目标涨幅达112.90%,Wind
211,2021-04-27,三环集团(300408)年报详解：行业景气上行 资本开支加快 业绩高速增长,新浪
212,2021-04-27,三环集团：2020年净利润14.4亿元 同比增长65.23%,中证网
213,2021-04-27,三环集团：2020年年度净利润14.40亿元，同比增长65.23%,全景网
214,2021-04-27,匠心中有创新 三环集团踏实走好国产替代路,上证报
215,2021-04-27,三环集团(300408.SZ)年度归母净利同比增长65.23%至14.4亿元 每10股派2.5元,智通财经
216,2021-04-27,三环集团：2020年净利润同比增长65.23%,Wind
217,2021-04-25,最新！顶流基金重仓股大洗牌，40张图表全披露,Wind
218,2021-04-23,基金换打法：降仓位、填洼地、抓龙头,Wind
219,2021-04-21,睿远基金28亿买入电信股、一季度冠军重仓股揭晓,Wind
220,2021-04-21,广发稳健增长一季报：股票仓位降至50%以下,Wind
221,2021-04-15,光大证券--通信电子行业周观点第8期：半导体一季报业绩靓丽，MLCC核心关注三环集团【行业研究】,金融界股吧
222,2021-04-14,4月14日晚间重要行业研究汇总(附股),中金在线
223,2021-04-14,35家手机产业链公司一季度业绩预喜,中证报
224,2021-04-12,华安研究行业周观点集萃,华安证券
225,2021-04-11,【中信建投电子|刘双锋&雷鸣团队】周报：存储需求高涨价格上扬；华为发布智能家居解决方案,中信建投电子研究
226,2021-04-06,电子行业周报：半导体厂商Q2再次调价；小米正式立项智能汽车,新浪
227,2021-04-05,【兴证电子】周报：一季报催化，元器件、半导体和面板景气持续上行,兴证电子谢恒团队
228,2021-04-01,今起大幅涨价？芯片股集体疯狂！300亿上市公司董秘转文：芯片荒是照妖镜，好公司差公司一目了然！股价应声涨停,每日经济新闻
229,2021-04-01,光大证券--通信电子行业景气数据跟踪报告之四（2021年3月）：面板和MLCC涨价持续，上游半导体产能紧缺【行业研究】,金融界股吧
230,2021-04-01,电子行业周报：MINILED放量在即 看好LED与被动元件龙头,新浪
231,2021-04-01,芯片缺货潮蔓延，概念股大涨，行业龙头刚刚发布利好,搜狐
232,2021-04-01,芯片股集体飙涨行业龙头刚刚发布利好,证券之星
233,2021-04-01,“业界第一杀猪盘”中源家居崩了 上市3年杀4次猪,新浪
234,2021-03-30,电子行业周报：元器件板块超预期 面板价格持续上涨 物联网时代悄然开启,新浪
235,2021-03-30,电子行业周报：被动元器件量价齐升 行业景气度持续,新浪
236,2021-03-29,科技硬件行业周报：关注英特尔“IDM2.0”愿景,新浪
237,2021-03-29,电子行业周报：即将迈入2Q21 逐渐挥别阴霾,新浪
238,2021-03-29,新材料行业周报：碳中和系列三-PLA引领低碳环保 国内产能大规模布局,新浪
239,2021-03-29,光大证券--三环集团跟踪报告之三：2021Q1业绩大超预期，连续四个季度保持高速增长【公司研究】,金融界股吧
240,2021-03-29,东北证券--三环集团：业绩高增长，电子陶瓷专家腾飞【公司研究】,金融界股吧
241,2021-03-29,【光大研究每日速递】20210329,新浪
242,2021-03-28,水泥迎来“涨价潮”，鸡价格上涨确定性增强丨明日主题前瞻,第一财经
243,2021-03-26,国盛证券维持三环集团买入评级：主业量价齐升，Q1大超预期,每日经济新闻
244,2021-03-26,野村国际(香港)--三环集团2020年业绩快报点评：业绩符合预期，一季度高速增长【公司研究】,金融界股吧
245,2021-03-26,89股获券商买入评级 广联达目标涨幅达95.33%,Wind
246,2021-03-25,三环集团(300408)：2021Q1净利同比130-180％ 全线产品高景气,新浪
247,2021-03-25,一季度净利同比增长155%，三环集团股价涨超7%！,环球老虎财经
248,2021-03-25,三环集团(300408)：一季报超预期 材料龙头持续卓越,新浪
249,2021-03-25,淡水泉概念股普遍走升，三环集团、歌尔股份、新大陆领涨,Wind
250,2021-03-25,A股异动丨三环集团(300408.SZ)涨超7% 一季度净利预增超130%,格隆汇
251,2021-03-24,公告精选：三环集团等一季度净利大幅预增；天赐材料拟10送7派2元,e公司
252,2021-03-24,三环集团：一季度预计净利润同比增长130.0%~180.0%,Wind
253,2021-03-24,喜报！三环集团：2020年度净利润约14.41亿元，同比增加65.41%,每日经济新闻
254,2021-03-24,三环集团：预计一季度净利润同比增长130%至180%,Wind
255,2021-03-24,三环集团：2020年净利润同比增长65.41%（业绩快报）,Wind
256,2021-03-23,电子行业周报：光刻胶供应紧张 看好光刻胶与被动元件龙头,新浪
257,2021-03-22,电子行业周报：芯片持续供不应求 继续看好被动元器件和面板景气,新浪
258,2021-03-17,电子行业周报：被动元件大厂继续涨价 看好被动元件与存储龙头,新浪
259,2021-03-16,牛散葛卫东：开始“收割”盈利？医美股浮盈或缩水80% 盈利能力下降,红周刊
260,2021-03-14,【兴证电子】周报 : 全球经济复苏，上游元器件继续缺货涨价,兴证电子谢恒团队
261,2021-03-09,三环集团：目前公司产品不涉及电子烟相关陶瓷产品,每日经济新闻
262,2021-03-08,三环集团跌8.9%：高毅冯柳持股 华创证券年内高点强推,中国经济网
263,2021-03-08,【牛人重仓】三环集团:日内跌幅超过10%，今日资金流入-4824.88万元，北向资金持股6242.77万股，融资余额47745.87万元；前3个交易日，北向资金增持1.59万股，融资额增加-3389.29万元，主力资金净流入-4084.29万元,每日经济新闻
264,2021-03-05,3月机会｜热点集中在局部，科技与顺周期板块是最大风口,金融投资报
265,2021-03-04,业绩预增但遭遇瓶颈 MLCC能让三环集团跑多远？,新浪
266,2021-03-04,电子行业周报：多家被动元件大厂涨价 看好被动元件与存储龙头,新浪
267,2021-03-03,中泰证券--三环集团：垂直一体化优势尽显，电子陶瓷专家加速成长【公司研究】,金融界股吧
268,2021-03-02,电子行业周报：芯片缺货需要晶圆厂加快扩产 元器件供不应求,新浪
269,2021-03-01,三环集团(300408)重大事项点评：新老交接完成 职业经理人开启公司新征程,新浪
270,2021-03-01,兴业证券：2月金股组合亏损1.32% 3月荐股名单出炉 亏损,新浪
271,2021-02-28,三环集团(300408.SZ)：选举李钢为董事长、聘任刘杰鹏为总经理,格隆汇
272,2021-02-26,张万镇辞任三环集团(300408.SZ)董事长职务 董监高成员变化,智通财经
273,2021-02-26,三环集团：董事长变更,Wind
274,2021-02-25,长城证券--电子元器件行业被动元件行业深度报告：新需求带动顺周期，国产替代正当时【行业研究】,金融界股吧
275,2021-02-24,江海股份(002484)首次覆盖报告：工业级电容平台性公司迎来增长拐点,新浪
276,2021-02-22,电子行业周报：被动元器件需求旺盛 美股半导体公司展望乐观,新浪
277,2021-02-18,三环集团(300408)深度研究报告：五十年积淀铸就电子陶瓷平台 聚焦MLCC黄金赛道打开第二成长曲线,新浪
278,2021-02-10,2月10日晚间重要行业研究汇总(附股),中金在线
279,2021-02-10,电子行业周报：蓝思进军组装业务 看好被动元件与组装龙头,新浪
280,2021-02-09,电子行业2020年报前瞻：龙头业绩高增兑现高景气度,新浪
281,2021-02-07,野村国际(香港)--研究观点每周汇总更新【投资策略】,金融界股吧
282,2021-02-05,三环集团(300408)：厚积薄发 陶瓷材料平台迎新一轮高速成长,新浪
