,2021-12-31,荣盛石化：目前已顺利产出光伏料产品,Wind
1907,2018-06-11,[增持评级]石化行业数据周报20180609,中财网
1908,2018-06-11,每周油记：50美金VS80美金 油价再到十字路口!,中财网
1909,2018-06-10,[增持评级]5月原油成品油进出口数据分析(石油化工行业)：5月原油进口量同比增长5% 维持高位,中财网
1910,2018-06-06,[增持评级]石油化工行业跟踪报告：原油价格对国内炼化盈利性的影响分析,中财网
1911,2018-06-06,基础化工行业:H酸延续上涨 醋酸达到十年高位,光大证券
1912,2018-06-06,"化工行业周报:油价企稳,苯乙烯、醋酸、活性染料等调涨",上海证券
1913,2018-06-04,[强于大市评级]深度*行业*化工行业周报：染料、醋酸价格持续上涨,中财网
1914,2018-06-04,[看好评级]化工行业周报：化工巨头万华化学重组方案利好 有望带动白马及周期板块上行 新材料龙头蓄势反弹,中财网
1915,2018-06-04,石油化工行业周报：油田产能建设实施 服务价格或上涨,中财网
1916,2018-06-04,"化工行业周报:市场风险偏好降低,坚定看好低估化工股",证券之星
1917,2018-05-30,[增持评级]2018年中期石化行业投资策略：中高油价成为常态-油气新时代已经到来,中财网
1918,2018-05-29,"化工行业周报:环保施压导致中间体限产,染料价格大幅上涨",证券之星
1919,2018-05-28,[推荐评级]石化行业周报：沙特、俄罗斯拟增产 国际原油期货价格下行天然气价改推进 定价机制理顺,中财网
1920,2018-05-28,[增持评级]大炼化聚酯产业链周报：PTA迎来检修高峰 涤纶市场景气回归,中财网
1921,2018-05-28,[增持评级]石油化工行业跟踪报告：供给趋紧 聚酯瓶片价格大幅上涨,中财网
1922,2018-05-28,荣盛石化：浙石化将形成群聚效应,证券时报
1923,2018-05-28,荣盛石化：打通炼化一体化 开启新一轮成长,证券时报
1924,2018-05-28,石油化工行业油价波动对石油化工企业盈利能力影响分析:石油石化盈利的高点在哪里?,光大证券
1925,2018-05-28,"基础化工行业周报:草甘膦、己内酰胺上涨,关注全球油价对化工品的影响",光大证券
1926,2018-05-27,特写丨李水荣：企业做到最后都是一张脸,证券时报网
1927,2018-05-27,荣盛石化：机器人现在还没有全方位利用,e公司
1928,2018-05-27,荣盛石化：浙石化的项目投产以后 再造了一个荣盛,e公司
1929,2018-05-27,【高管面对面】荣盛石化：年销售额超700亿的石化化纤龙头,e公司
1930,2018-05-27,每周油记：油价拐点在下半年?细拆33个月29749口页岩油投产井,中财网
1931,2018-05-25,涨价概念行情将深化 重点关注掌握涨价权的公司,深圳商报
1932,2018-05-25,"化工行业:行业盈利大幅改善,高景气有望延续",东北证券
1933,2018-05-24,[优于大势评级]化工行业深度报告：周期风再起 新材料跬步精进,中财网
1934,2018-05-23,化工行业：周期龙头不断崛起 新材料国产化忧中有喜,金融界
1935,2018-05-22,化工：醋酸价格突破历史峰值 荐7股,中信建投
1936,2018-05-22,[增持评级]化工行业2018年中期策略：预期改善、中枢抬升 长短两相宜,中财网
1937,2018-05-22,[强于大市评级]深度*行业*化工行业周报：油价、环保接力催化 醋酸、染料、PTA价格上涨,中财网
1938,2018-05-22,[增持评级]石油化工行业跟踪报告：中美能源合作有望进一步提升,中财网
1939,2018-05-22,[增持评级]基础化工行业周报：原油盘中突破每桶80美元 环保严查下化工产品多数上涨,中财网
1940,2018-05-22,"石油化工行业大炼化聚酯产业链周报第十七期:涤纶长丝如火如荼,PTA景气伊始",光大证券
1941,2018-05-21,化工：石化油服表现坚挺 荐5股,东北证券
1942,2018-05-21,[推荐评级]石化行业周报：OECD国家库存降至5年均值 IEA下调2018年全球原油需求预期 PTA盈利能力继续增强,中财网
1943,2018-05-21,"化工行业:原油价格大幅拉升,石化油服表现坚挺",东北证券
1944,2018-05-20,[增持评级]原油行业周报：油价逼近80美元每桶,中财网
1945,2018-05-18,每周油记：美国能源部翻空油价?EIA 预测库存将大增,中财网
1946,2018-05-18,巨丰热点：化纤行业全线活跃 澳洋科技涨停,巨丰财经
1947,2018-05-18,化纤板块持续火热状态，南京化纤，澳洋科技分获两连板,Wind
1948,2018-05-17,[看好评级]石油化工行业深度报告：盘点伊朗石油和石化产业 及美国退出核协议影响,中财网
1949,2018-05-16,申万宏源：推荐资源储量 受益油价上涨的弹性标的,金融界
1950,2018-05-16,[增持评级]石油化工行业跟踪报告：PTA 价格企稳回升 涤纶长丝价差扩大,中财网
1951,2018-05-16,[看好评级]化工行业点评报告：美国退出伊核协议 总体利好油价 推荐原油及煤化工产业链,中财网
1952,2018-05-16,[中性评级]化工行业投资周报：TDI价格领涨 继续推荐关注纯碱行情,中财网
1953,2018-05-16,布伦特原油创三年半新高 石化产业链将受益(附股),金融界
1954,2018-05-15,[推荐评级]石化行业周报：EIA短期能源展望上调原油价格预测值 国际油价大幅上涨 PTA、涤纶长丝盈利能力增强,中财网
1955,2018-05-15,[买入评级]化工行业动态：原油价格大涨 下游石化、化工顺势传导 化工优质股价值凸显,中财网
1956,2018-05-14,[推荐评级]石油化工行业2017年报及18一季报总结：石化行业景气回升 涤丝产业链、C3C4等表现优异,中财网
1957,2018-05-14,华创证券化工产品价格数据周报201805014,中财网
1958,2018-05-14,[增持评级]石化行业数据周报20180513,中财网
1959,2018-05-14,[领先大市-A评级]基础化工行业周报：油价再创新高 生态环境部启动“清废行动2018”,中财网
1960,2018-05-14,[增持评级]原油行业周报：美国退出伊朗核协议,中财网
1961,2018-05-14,[增持评级]基础化工行业周报：环保严查导致H酸大涨 TDI继续强势反弹,中财网
1962,2018-05-11,每周油记：伊朗百万桶出口要没?细拆41个月3087艘油轮去向!,中财网
1963,2018-05-11,"荣盛石化:利润稳定,浙石化项目有序推进",中证网
1964,2018-05-11,[增持评级]石油化工行业跟踪报告：美国将退出伊核协议 全球原油供给或将趋紧,中财网
1965,2018-05-10,"荣盛石化:1季报符合预期,浙石化全面建设",正点财经
1966,2018-05-10,石油概念股票有哪些 精读石油股票有哪些是龙头？（4只）,南方财富网
1967,2018-05-10,[推荐评级]化工行业周报：聚氨酯下游行业逐步进入旺季 聚合MDI 、TDI、纯碱及环氧丙烷产业链价格上涨,中财网
