561,2021-05-11,突发闪崩！8.6万股东瞬间抓狂，600亿白马股开盘半小时跳水跌停，不到一年暴涨4倍，网友：“不玩了，我要下车”,每日经济新闻
562,2021-05-11,中国巨石跌停，“化茅”大跌3%!化工ETF（516020）跌逾4%盘中持续溢价 连续下跌,资本邦
563,2021-05-11,【东北建筑建材王小勇】建材行业2020年年报和2021年一季报总结：建材龙头之九万里风鹏正举,东北证券研究所
564,2021-05-11,天风研究 | 2020年报·2021一季报总结,天风研究
565,2021-05-10,建筑材料行业年报：玻纤行业景气度大幅上行,新浪
566,2021-05-10,建材行业2020年报2021年1季报总结：全面改善 景气依旧,新浪
567,2021-05-10,建材行业周报：周期品价格大幅上涨 旺季高景气可期,新浪
568,2021-05-10,东北证券--建材行业2020年年报和2021年一季报总结：建材龙头之九万里风鹏正举【行业研究】,金融界股吧
569,2021-05-10,华安证券--建材行业周报：供需偏紧，周期类建材景气持续上行【行业研究】,金融界股吧
570,2021-05-10,5月10日晚间重要行业研究汇总(附股),中金在线
571,2021-05-10,建材行业周观点：浮法玻璃持续上涨创新高，光伏玻璃小幅略降,华创建筑建材研究
572,2021-05-10,建筑材料行业：水泥、平板玻璃、玻纤价格继续上涨,广发证券
573,2021-05-10,【国信建材|月度策略】非金属建材行业5月投资策略：旺季需求良好，积极布局低估值优质企业,微信
574,2021-05-10,通胀无牛市？这份通胀预期下的投资指南请查收,Wind
575,2021-05-10,A／H建材行业龙头2020年年报及2021年一季报总结：压力测试与逻辑攻防转换,新浪
576,2021-05-10,建材行业周报：玻璃极致预期的差距 向超预期演绎,新浪
577,2021-05-10,东吴证券--建筑材料行业跟踪周报：商品普涨周期建材有望走强【行业研究】,金融界股吧
578,2021-05-10,国信证券--非金属建材行业5月投资策略：旺季需求良好，积极布局低估值优质企业【行业研究】,金融界股吧
579,2021-05-07,建筑材料行业20年报及21Q1季报总结：疫情压力下交出优异答卷 供给端是变化主因,广发证券
580,2021-04-29,日评:节前最后一天操作策略（4.30）,新浪
581,2021-04-28,中国巨石2021年一季报点评：量价齐升助力高增长，单季度扣非净利创历史新高,华创建筑建材研究
582,2021-04-28,北向资金连续4日增持A股，贵州茅台逆市遭抛售近10亿元,Wind
583,2021-04-28,中国巨石(600176)：21年开门红 全年高弹性可期,新浪
584,2021-04-28,248股获券商买入评级，王府井目标涨幅达112.90%,Wind
585,2021-04-28,太平洋维持中国巨石买入评级，中国巨石：21年开门红，全年高弹性可期，目标价34.5元,每日经济新闻
586,2021-04-27,中泰证券维持中国巨石增持评级：Q1业绩超预告上限，十四五龙头优势将持续深化,每日经济新闻
587,2021-04-27,中国巨石(600176)：前瞻布局享量价齐升 正站在新一轮成长起点,新浪
588,2021-04-27,大资金抄底被埋！跌掉一个“锂王”市值，芯片巨头砸出深坑！高回撤的成长股最新名单来了,金融界
589,2021-04-27,中国巨石今日大宗交易成交88万股，成交价17.93元溢价0.0%,Wind
590,2021-04-27,中国巨石(600176)2020年一季报点评：量价齐升助力高增长 单季度扣非净利创历史新高,新浪
591,2021-04-27,中国巨石(600176)点评：Q1扣非净利润创历史新高 看好本轮高景气韧性,新浪
592,2021-04-26,中国巨石(600176)：量价齐升+结构性升级，谋篇布局十四五【华西建材建筑戚舒扬团队】20210426,华西工匠
593,2021-04-26,盘后公告集锦|爱美客：一季度净利同比增长297%,财联社
594,2021-04-26,中泰周期·大宗指南：周期品周度运行变化,新浪
595,2021-04-26,建材行业北上资金周报,新浪
596,2021-04-26,中国巨石(600176.SH)一季度归母净利同比增243.56%至10.63亿元,智通财经
597,2021-04-26,中国巨石：一季度净利润10.63亿元 同比增244%,e公司
598,2021-04-26,中国巨石：一季度净利润同比增长243.56%,Wind
599,2021-04-26,长城建材-建材行业周观点：Q1基金建材持仓比例为1.1%，市场关注防水、管材等细分龙头,高材疾足
600,2021-04-23,能源观察 | 中材科技一季度净利翻倍，布局玻纤同业竞争问题待解,财经网
601,2021-04-21,北向资金缘何屡屡踏准节奏？今年已净买入1350亿,Wind
602,2021-04-20,中国巨石(600176.SH)：发行了5亿元的绿色中期票据,格隆汇
603,2021-04-19,【国信建材|周观点】水泥价格稳步上行，玻璃库存大幅下降,微信
604,2021-04-19,华安证券--建材行业周报：看好水泥估值修复和竣工端建材高景气【行业研究】,金融界股吧
605,2021-04-16,0417日报/华鲁恒升一季度净利润约15.76亿元同比增加266.87%【东北基础化工】,东北基础化工
606,2021-04-16,中国巨石(600176.SH)：振石集团解押1.11亿股及再质押7588万股,格隆汇
607,2021-04-16,东北证券--建筑材料行业：“碳中和”影响深远，建筑建材行业望飞龙乘云【行业研究】,金融界股吧
608,2021-04-15,【解读】淡季不淡！多家建材龙头Q1业绩超预期，后市如何看？,财华社
609,2021-04-15,中信证券：碳中和政策目标明确，建材行业供给端迎来中长期催化,Wind
610,2021-04-14,国信证券--非金属建材行业周报（21年第14周）：水泥价格加速上行，玻璃玻纤稳中有涨【行业研究】,金融界股吧
611,2021-04-13,【东北建筑建材王小勇】行业深度：“碳中和”影响深远，建筑建材行业望飞龙乘云,东北证券研究所
612,2021-04-12,【国信建材|周观点】各子板块景气良好，价格保持上行趋势,微信
613,2021-04-12,建筑材料行业周报：看好水泥旺季景气下估值修复机会 继续推荐优质成长消费建材,新浪
614,2021-04-12,建筑材料行业深度报告：“碳中和”影响深远 建筑建材行业望飞龙乘云,新浪
615,2021-04-12,建材行业周观点：一季报预告陆续披露 各细分行业业绩有望持续向好,新浪
616,2021-04-12,建材行业：旺季来临 关注一季报超预期公司,新浪
617,2021-04-12,建筑材料行业周报：旺季涨价持续 关注Q1超预期品种,新浪
618,2021-04-12,过半A股公司发布2020年成绩单：全年稳中有增，多行业逆势爆发,Wind
619,2021-04-11,建材行业周观点：一季报预告整体亮眼，玻璃玻纤涨价带来业绩弹性,华创建筑建材研究
620,2021-04-10,【银河周知】关注碳中和愿景下我国相关行业的投资机会,中国银河证券研究
621,2021-04-09,创新引领高质量发展 中国巨石2020年产量创历史新高,证券日报网
622,2021-04-09,国盛证券--建筑材料行业周报：水泥旺季景气有望超预期，关注消费建材季报业绩弹性【行业研究】,金融界股吧
623,2021-04-08,转向大盘股重点看20只,证券导报
624,2021-04-07,中国银河证券维持建材行业推荐评级：碳中和背景下建材行业展望,每日经济新闻
