286,2020-07-08,国投资本(600061.SH)：6月安信证券净利润5.12亿元 同比增长243.14%,格隆汇
287,2020-07-08,国投资本：安信证券母公司6月净利超5亿元 同比大增,e公司
288,2020-07-08,券商板块收涨6.63%成交金额1664亿元，中信证券、中信建投尾盘炸板,Wind
289,2020-07-08,券商板块午盘涨3.68%半日成交金额998亿元，较上日同期缩量百亿元,Wind
290,2020-07-07,券商板块收跌2.3%成交金额1674亿元，中信证券主力净流出4亿元,Wind
291,2020-07-07,券商板块午盘跌0.44%成交金额1096亿元，上日同期为1082亿元,Wind
292,2020-07-06,券商板块今日成交金额1516亿元，中信证券主力净流入金额达72亿元,Wind
293,2020-07-06,券商板块半日成交金额1082.66亿元，已超7月2日全天,Wind
294,2020-07-03,券商板块半日成交金额884亿元，上日全天为990亿元,Wind
295,2020-06-30,【行情】证券板块拉升，光大证券涨4%，东方财富、华安证券、国投资本等小幅跟涨,金十数据
296,2020-06-25,上市公司正负面新闻2020年6月25日星期四,Wind
297,2020-06-24,晚间重要公告2020年6月24日星期三,Wind
298,2020-06-24,国投资本澄清：国投泰康信对传闻提及的31亿信托通道业务不承担任何担保责任,金融界
299,2020-06-24,国投资本：国投泰康信托“踩雷”报道不实 投资失误,e公司
300,2020-06-24,"国投资本(600061.SH)称“国投泰康信托鸿雁2169号单一资金信托” 为事务管理类信托 受托人国投泰康信托不承担到期兑付风险及也不承担任何担保责任
担保风险",格隆汇
301,2020-06-24,国投资本：有关“国投泰康信托再踩雷31亿风险资产”传闻严重不实 投资失误,Wind
302,2020-06-24,可转债一级市场前瞻系列之二：科技板块走强 关注电子行业拟发券,光大证券
303,2020-06-23,涨停复盘 | 创业板指八连涨，白酒板块表现强势,第一财经
304,2020-06-23,国内商品期市多数品种收跌：油料油脂普遍下跌，豆一跌逾1.4%,Wind
305,2020-06-23,A股收盘综述：市场再现“喝酒吃药”，创业板指8连升,Wind
