,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
178,2021-11-01,华能国际：公司在巴基斯坦萨西瓦尔运营2台660兆瓦燃煤电站，萨希瓦尔项目前三季度完成发电量66.31亿千瓦时,每日经济新闻
179,2021-11-01,华能国际：华能霞浦核电正在开展前期工作,每日经济新闻
180,2021-11-01,"华能国际：截至2021年9月30日，公司可控发电装机容量为115,014兆瓦，其中风电占7.99%，太阳能占2.59%",每日经济新闻
181,2021-11-01,华能国际前三财季净利7.83亿元，同比下降91.42% 盈利能力下降,资本邦
182,2021-10-31,华能国际(600011)2021年三季报点评：火电盈利触底在即 风光规模持续扩张,新浪
183,2021-10-31,碳中和周报：“双碳”顶层政策发布 明确达峰前相关领域细化目标,新浪
184,2021-10-29,华能国际今日大宗交易成交2000万股，成交价7.17元折价7.0%,Wind
185,2021-10-29,华能国际AH齐跌 遭私募大佬裘国根减持1945万股 减持股份,格隆汇
186,2021-10-29,【行情】电力板块走弱，新天绿能跌超7%，上海电力、华能国际、华银电力、大唐发电等跟跌,金十数据
187,2021-10-29,接近腰斩！动力煤报1144元/吨 火电上市公司业绩能浴火重生吗,我的煤炭网
188,2021-10-28,华能国际(600011)：煤电业绩承压符合预期 电价调整有望纾困,新浪
189,2021-10-28,华能国际(600011)点评：向前看 关注煤价回落预期及新能源发展,新浪
190,2021-10-28,北向资金逆市加仓超71亿，贵州茅台获大幅净买入13亿元,Wind
191,2021-10-28,小摩：电力股基本面逐渐改善 看好华能国际及华润电力,新浪
192,2021-10-28,小摩：电力股基本面逐渐改善，看好华能国际及华润电力,Wind
193,2021-10-28,港股异动 | 华能国际(00902)涨超8%领涨电力股 发改委部署各地开展电企代理购电工作,智通财经
194,2021-10-28,A股早报2021年10月28日星期四,Wind
195,2021-10-27,华能国际涨停，机构北向资金合买2.57亿元,证券之星
196,2021-10-27,涨停板解密：政策利好，新能源产业个股逆市爆发！（10月27日）,Wind
197,2021-10-27,华能国际(600011)：高煤价三季度业绩承压 看好火电龙头新能源转型发展 盈利能力下降,新浪
198,2021-10-27,华能国际：火电盈利见底，公司基本面有望改善,郭丽丽的研究札记
199,2021-10-27,10月27日华能国际涨停分析：风电，火电，电改概念热股,证券之星
200,2021-10-27,A股收盘综述：电力、新能源汽车产业链、碳中和逆市走升，宁德时代比亚迪收红,Wind
201,2021-10-27,连续四日新股首日破发！新锐股份中1签亏4000元,Wind
202,2021-10-27,快讯：华能国际涨停 报于7.57元,金融界
203,2021-10-27,安信证券：维持华能国际(600011.SH)“增持”评级 目标价8元,智通财经
204,2021-10-27,华能国际三季度亏损近35亿元 亏损,北极星电力
205,2021-10-27,华能国际2021年第三季度亏损近35亿 亏损,电缆网
206,2021-10-27,华能国际6天2板，电力股炒作,Wind
207,2021-10-27,华能国际冲击涨停，电力板块再度拉升,Wind
208,2021-10-27,【安信环保公用邵琳琳/周喆团队】华能国际三季报点评：三季度火电业绩承压，政策驱动下未来趋势向好 盈利能力下降,安信证券环保公用研究
209,2021-10-27,港股异动丨华能国际(0902.HK)低开逾3% 第三季度净亏损34.99亿元 亏损,格隆汇
210,2021-10-27,10月27日投资避雷针：汉森制药实控人遭立案调查 华能国际第三季度亏损35亿元 董监高成员异常事件,财联社
211,2021-10-27,6000亿蓝筹集体触礁，两大利好显现，主线明确了？,Wind
212,2021-10-27,突发！湖南富豪被立案调查，还是A股公司实控人！6000亿蓝筹集体触礁，两大超级利好却显现，主线明确了？ 董监高成员异常事件,券商中国
213,2021-10-26,公用周报：广东等多省份颁布电价市场改革通知 21Q1-Q3风电光伏分别新增装机16.4、25.7GW,新浪
214,2021-10-26,华能国际公布三季报 前三季净利减少91.42% 盈利能力下降,新浪
215,2021-10-26,图解华能国际三季报：第三季度单季净利润同比减203.05% 盈利能力下降,证券之星
216,2021-10-26,华能国际：第三季度亏损34.99亿元 亏损,e公司
217,2021-10-26,华能国际(600011.SH)：第三季度净亏损34.99亿元 亏损,格隆汇
218,2021-10-26,华能国际：前三季度净利润同比减少91.42% 盈利能力下降,Wind
219,2021-10-26,公用事业点评报告：“双碳”顶层设计重磅出台 行业迎来机制改革共振成长曲线,新浪
220,2021-10-25,华能国际(600011.SH)完成发行30亿元2021年度第十四期超短期融资券,智通财经
221,2021-10-25,多地市场化交易电价上浮触及20%上限,郭丽丽的研究札记
222,2021-10-25,A股融资融券日报：两融余额减少66.73亿元（10月22日）,Wind
