22306,2018-09-21,比亚迪秦Pro正式上市 售价区间7.98-29.99万元,网通社
22307,2018-09-21,汽车工业从来都没有停止过对于降低油耗的追求,盖世汽车
22308,2018-09-21,除了最低7.98万元的售价之外，战略级产品秦Pro刚刚完成基本任务,盖世汽车
22309,2018-09-21,福田、重汽领衔 商用车三大品类全覆盖 盘点本届IAA上的中国元素,第一商用车网
22310,2018-09-21,汽车行业:2018年8月份乘用车市场销量同比下降7.3%;9月份四季度需求有望小幅回升,高盛高华
22311,2018-09-20,开发者大会后的首款产品 比亚迪秦Pro系列上市,TechWeb
22312,2018-09-20,比亚迪秦Pro/秦Pro EV500联袂上市 售价14.99万起,EV视界
22313,2018-09-20,比亚迪秦Pro正式上市 售价7.98万元起,中国网
22314,2018-09-20,三明厦钨和翔丰华入选福建百亿企业培育方案,高工锂电
22315,2018-09-20,电气设备：大势所趋 荐4股,太平洋证券
22316,2018-09-20,高新兴:业绩稳定增长 物联网占比逐渐升高,国元证券
22317,2018-09-20,比亚迪秦Pro今日正式上市 全新设计/10万起预售,网通社
22318,2018-09-20,EV晨报 | 山东低速电动车8月生产5.3万辆；19家充电运营商互联互通；ENOVATE首款车型官图发布,第一电动网
22319,2018-09-20,比亚迪再投100亿元换20GWh电池产能，能怼翻CATL吗？,盖世汽车
22320,2018-09-20,自动挡预售10万起 比亚迪秦Pro今日上市,汽车之家
22321,2018-09-20,"乘用车行业终端景气度深度分析第4期:9月上旬折扣率继续上行,自主品牌竞争愈加激烈",浙商证券
22322,2018-09-19,璞泰来：锂电中游平台新贵再扬帆【中泰电新】,中泰电新研究
22323,2018-09-19,8月三元动力电池装机量TOP10 宁德时代位列榜首,上海有色
22324,2018-09-19,比亚迪财报展示业绩亮点 新能源车销量领先国内外,东方网
22325,2018-09-19,名爵ZS电动版年内上市 竞争比亚迪元,网通社
22326,2018-09-19,2018年8月锂电装机4.22GWh 同比增长43.19%,中国能源网china5e
22327,2018-09-19,港股异动︱比亚迪(01211)宁夏首台电动客车下线 现涨6.76%,智通财经
22328,2018-09-19,第312批新车公示：新能源专用车达124款,第一电动网
22329,2018-09-19,第312批新车公示：新能源客车119款，中车时代电动申报数第一,第一电动网
22330,2018-09-19,银川比亚迪新能源汽车基地首车下线 填补宁夏新能源汽车产业空白,e公司
22331,2018-09-19,【电气设备新能源|张文臣团队太平洋证券】新能源车产销旺季，新能源平价发电加速到来,太平洋证券研究
22332,2018-09-19,"电气设备行业周报:风光平价征求意见公布,重视新能源车龙头反弹机会",国海证券
22333,2018-09-19,"联讯汽车行业周报:乘用车全年销量承压,新能源汽车风景独好",联讯证券
22334,2018-09-18,比亚迪股份(01211)“11亚迪02”将于9月25日付息,智通财经
22335,2018-09-18,政策驱动产业升级 微型纯电动车市场遇冷,红周刊
22336,2018-09-18,大众一亿美元落注的固态电池，能成为三元锂电池的终结者吗？,和讯
22337,2018-09-18,车市下行 自主品牌出现分水岭,北京晨报
22338,2018-09-18,8月动力电池装机量达4.17Gwh 宁德时代毛利率存下行风险,盖世汽车
22339,2018-09-18,BBA新能源汽车大战：奔驰首款电动车被指电池技术落后,时代周报
22340,2018-09-18,"锂电池行业2018年中报总结:分化持续,龙头企业优势显著",上海证券
22341,2018-09-18,"新能源行业周报:数据向好叠加催化剂作用,关注景气度高的环节",信达证券
22342,2018-09-17,【华创有色钢铁任志强团队】南山铝业（600219）深度研究报告：从产业链布局角度看南山铝业步步为营,华创有色
22343,2018-09-17,续航600KM，宝马全新电动概念车型Vision iNEXT亮相北京,新能源观察
22344,2018-09-17,A股“磨底”股票纷纷破净，价值投资的时机到了？巴菲特咋说？,第一财经
22345,2018-09-17,电气设备：风光平价征求意见公布 荐9股,国海证券
22346,2018-09-17,比亚迪30GWh动力电池项目落地西安高新区 总投资约120亿元,维库电子市场
22347,2018-09-17,【总裁时间】王传福回忆比亚迪创业艰辛史,经济观察报
22348,2018-09-17,【G20周刊】宁德时代三元软包开始量产供货,高工锂电
22349,2018-09-17,民生机械行业周报：比亚迪和CATL争相扩产，利好锂电设备行业,东单智造
22350,2018-09-17,一电排行榜 | 新能源乘用车8月销量排行：奇瑞eQ/比亚迪元/帝豪EV比亚迪唐分获细分市场冠军,第一电动网
22351,2018-09-17,e周新鲜事| 蔚来在美上市/比亚迪再签电池项目,网通社
22352,2018-09-17,斯堪尼亚、曼恩、依维柯、雷诺都将展出电动卡车 中国军团再度出击,第一商用车网
22353,2018-09-17,"新能源汽车行业2018年中报总结:新能源汽车销量高速增长,产业链盈利分化",上海证券
22354,2018-09-16,蔚来赴美上市，电动车驶入农村,--
22355,2018-09-16,汽车：汽车板块整体上升0.45% 荐4股,广发证券
22356,2018-09-16,机械制造：继续推荐油服能源装备 荐8股,安信证券
22357,2018-09-15,卖出1602部车的蔚来汽车市值破800亿,浙江在线
22358,2018-09-15,转型与新生：广东打造车轮上的“智能终端”,21世纪经济报道
22359,2018-09-15,动力电池陷竞争红海:原材料价格暴涨 龙头增收不增利,中国经营报
22360,2018-09-14,[观察]电池围城：有人急着甩包袱 有人扎堆建工厂 |汽车产经,中金在线
22361,2018-09-14,CFi收盘揭秘:垃圾股走强 市场感觉有“任务”没完成,中财网
22362,2018-09-14,8月新能源乘用车销售8.4万台 唐/帝豪EV/奇瑞eQ排前三,上海有色
22363,2018-09-14,广东新能源汽车产业发展切入快车道,南方日报
22364,2018-09-14,业绩承压 北汽新能源欲借上市解决资金需求,盖世汽车
22365,2018-09-14,王传福忆比亚迪发展：创业充满艰辛，有几次快急哭了,经济观察网
22366,2018-09-14,巨丰热点：蔚来汽车股价大涨刺激国内新能源汽车板块活跃,巨丰财经
22367,2018-09-14,港股异动︱受美股蔚来汽车大涨影响 恒大健康(00708)比亚迪(01211)均涨逾7%,智通财经
22368,2018-09-14,锂电池板块井喷 宁德时代、比亚迪涨逾5%,证券时报网
22369,2018-09-14,秦Pro自进化，真智能让你触摸未来,和讯
22370,2018-09-14,锂电池板块强势冲高，新宙邦冲击涨停,Wind
22371,2018-09-14,中国车企研发经费对比 上汽投入是吉利的28倍！,盖世汽车
22372,2018-09-14,早安！方正最新观点20180914,方正证券研究
22373,2018-09-14,斑马融资16亿意味着什么？,盖世汽车
22374,2018-09-14,"电气设备行业周报:需求转暖价格依然承压,重视反弹时龙头溢价",国海证券
22375,2018-09-13,奥特佳：期待中长期业绩向上突破,中证网
22376,2018-09-13,8月MPV销量持续下滑，五菱宏光连续三月跌破3万大关丨车业杂谈 盈利能力下降,和讯
22377,2018-09-13,颜值提升续航能力再升级 测试比亚迪元EV360,网通社
