2787,2020-06-30,A股融资融券日报：两融余额增加86.23亿元（6月29日）,Wind
2788,2020-06-29,民生银行股东大会同意选举高迎欣为执行董事,北京商报
2789,2020-06-29,直击民生银行股东大会 董事长候选人高票通过 董秘回应“让利”,和讯
2790,2020-06-29,民生银行(600016.SH)完成发行500亿元二级资本债券,格隆汇
2791,2020-06-29,“内鬼”作祟被骗5.6亿 民生、招商、广发3家银行中招 欺诈造假,新浪
2792,2020-06-29,A股融资融券日报：两融余额减少52.66亿元（6月24日）,Wind
2793,2020-06-29,银行AH两地上市年内“颗粒无收”，热情不减候场阵营持续扩大,Wind
2794,2020-06-28,民生银行(01988.HK)董事会审议通过核销4家公司呆账,格隆汇
2795,2020-06-27,又见惊天骗局！一个人骗了民生、招行、广发行5.6亿，原来有“内鬼”相助 欺诈造假,每日经济新闻
2796,2020-06-26,惊天诈骗案！民生招行广发被骗5.6亿 客户经理被判 欺诈造假,每日经济新闻
2797,2020-06-25,又见惊天诈骗案！民生、招行、广发行合计被骗5.6亿，客户经理也因此坐牢至少3年 欺诈造假,每日经济新闻
2798,2020-06-25,教科书式大骗局！这个人骗了民生、招行等5.6亿元 欺诈造假,中国基金报
2799,2020-06-24,海南自贸区的数字经济蓝图，离数据安全有序流动还有多远？ |算力隐私专栏,算力智库
2800,2020-06-24,以金融科技为抓手 促进中小微经济复苏,钱江晚报
2801,2020-06-24,A股融资融券日报：两融余额增加50.04亿元（6月23日),Wind
2802,2020-06-24,中小银行股权不香了，近1700笔拍卖六成流拍,Wind
2803,2020-06-23,有一家银行的信用卡业务能力，其他银行追一年都未必赶得上 | 愉见财经,和讯
2804,2020-06-23,“薅羊毛”现象屡禁不止 银行即将出手整治,新浪
2805,2020-06-23,民生银行获准发行不超过500亿元二级资本债券,和讯
2806,2020-06-23,A股融资融券日报：两融余额增加113.78亿元（6月22日),Wind
2807,2020-06-23,999元名牌真皮皮带，55元甩卖！信用卡“薅羊毛”太猖狂，银行们急了：最狠的积分缩水10倍,21世纪经济报道
2808,2020-06-23,信用卡积分权益大缩水：重庆银行一刀砍掉90%存量积分,21世纪经济报道
2809,2020-06-22,主承销商：“16中油金鸿MTN001”违约后续 未按时兑付本息,Wind
2810,2020-06-22,A股融资融券日报：两融余额增加0.17亿元（6月19日),Wind
2811,2020-06-21,新金融周报 | 央行将在上海成立金融科技子公司；支付宝上线数十万金融搜索词；民生银行试水先分期后发卡模式,36氪
2812,2020-06-19,民生银行(600016.SH)：东方股份解押4850万股,格隆汇
2813,2020-06-19,银行行长一年能赚多少钱？平安、招商年薪400万，华夏行长只有67万,腾讯网
2814,2020-06-19,A股融资融券日报：两融余额增加57.64亿元（6月18日),Wind
2815,2020-06-18,A股融资融券日报：两融余额增加44.43亿元（6月17日),Wind
2816,2020-06-18,上市公司正负面新闻2020年6月18日星期四,Wind
2817,2020-06-18,股份行试点“先分期后发卡” 突破“三亲见”原则考验银行风控,21世纪经济报道
2818,2020-06-17,6月18日上市公司重要公告集锦：乐视退称未收到贾跃亭方面赔偿安排,证券日报
2819,2020-06-17,晚间重要公告2020年6月17日星期三,Wind
2820,2020-06-17,民生银行：央行批准公司发行不超500亿元二级资本债券,e公司
2821,2020-06-17,民生银行(600016.SH)发行二级资本债券获中国人民银行批准,格隆汇
2822,2020-06-17,民生银行：获准公开发行不超500亿元二级资本债券,Wind
2823,2020-06-17,民生新模式颠覆信用卡，分期给10万额度,凤凰网
2824,2020-06-17,A股融资融券日报：两融余额增加79.14亿元（6月16日),Wind
2825,2020-06-16,中国房地产企业动态监测：5月销售业绩表现较好 万科月销612.8亿,房天下
2826,2020-06-16,A股融资融券日报：两融余额增加44.22亿元（6月15日),Wind
2827,2020-06-16,国内债市盘前2020年6月16日星期二,Wind
2828,2020-06-15,港股公告精选：东方航空拟与携程等意欲共同出资设立三亚国际航空,Wind
2829,2020-06-15,A股融资融券日报：两融余额减少5.93亿元（6月12日),Wind
2830,2020-06-13,同业存单认购率骤降10个百分点，中小行流动性管理难度增大,Wind
2831,2020-06-12,北京城建与民生银行达成战略合作 或涉PPP业务等方面,观点地产网
