7119,2018-10-22,金风科技：销售成绩亮眼 多元化布局发展空间,红周刊
7120,2018-10-21,【国金电新周观点】能源变革论坛召开，关注电网功能升级,新兴产业观察者
7121,2018-10-21,电气设备：三季报陆续披露 关注绩优个股,川财证券
7122,2018-10-19,【中金海外策略】全球资金流向监测：大幅流入日本，回流新兴；但港股依然流出,Kevin策略研究
7123,2018-10-19,"电力设备行业动态跟踪报告:风机价格走低影响盈利,国内景气度优于海外",平安证券
7124,2018-10-18,玻纤、平板显示设备行业持续向好,红周刊
7125,2018-10-18,[申万宏源]中小创2018年三季报业绩前瞻：中小创三季报增速有所放缓，中小板次新股三季报表现突出,资本邦
7126,2018-10-18,【晨会纪要】策略丁文 银河证券晨会纪要—20181018,中国银河证券研究
7127,2018-10-17,【申万宏源中小盘】中小创三季报增速有所放缓，中小板次新股三季报表现突出—中小创2018年三季报业绩前瞻,申万宏源中小盘研究
7128,2018-10-17,金风科技推出国产单机容量最大风电机组,Wind
7129,2018-10-17,电气设备与新能源行业周报：电动车产销旺盛 看好龙头成长行情,中证网
7130,2018-10-17,盘前参考：91亿 反弹节点五浪已结束 只等真金白银,中财网
7131,2018-10-16,【收藏】CWP2018参展必备！12家风电整机商活动、大会详细日程、展位图全览！,北极星电力
7132,2018-10-16,[中性评级]电气设备及新能源行业周报：行业继续边际向好 关注龙头公司机会,中财网
7133,2018-10-16,[强大于市评级]深度*行业*电力设备与新能源行业2018年三季报前瞻：行业景气有所回落 细分板块持续分化,中财网
7134,2018-10-16,【电新】三季报前瞻：行业景气有所回落，细分板块持续分化,中银国际证券研究
7135,2018-10-15,[公告摘要]金风科技(02208.HK)回复中证监反馈意见,金融界
7136,2018-10-15,[领先大市-A评级]电力设备行业动态分析：特高压高歌猛进 电动车不负旺季,中财网
7137,2018-10-15,[增持评级]联讯电新行业周报：风电出现长期机会 新能源车或有三季报行情,中财网
7138,2018-10-15,[超配评级]电气设备及新能源行业周报：9月新能源车销量增长平稳 光伏政策预期逐步筑底,中财网
7139,2018-10-15,[买入评级]电气设备行业周报：九月销量涨势明显 宁德时代扣非业绩增八成,中财网
7140,2018-10-15,[增持评级]新兴能源行业周报：中游崛起 宁德时代三季度业绩超预期,中财网
7141,2018-10-15,广证恒生-顶级策略-低开回升-20181015,广证恒生策略研究
7142,2018-10-15,电力行业周报：9月风企发电量增速加快 煤企升10月长协煤价,中财网
7143,2018-10-15,电新行业周报：电车产销两旺 光伏政策趋好,中财网
7144,2018-10-15,[推荐评级]电力设备与新能源行业周报：锂电龙头超预期 电动车产销高增长,中财网
7145,2018-10-13,玻纤、平板显示设备行业持续向好,红周刊
7146,2018-10-12,全球资金流向监测：债市流出创5年新高，仅日股流入；南下回流，北向大幅流出,Kevin策略研究
7147,2018-10-12,招财日报2018.10.12｜美股再急跌，港股超卖或反弹,招银国际
7148,2018-10-12,金风科技：10月11日融资余额为6.48亿元，较前一日骤降5.18%,Wind资讯
7149,2018-10-12,"电气设备新能源行业三季报前瞻及四季度投资策略:风光看运营,电车精选龙头",国信证券
7150,2018-10-11,行情不振经费收紧 机构调研次数连续4个月创下近三年同期新低,中证网
7151,2018-10-11,【晨会纪要】策略丁文 银河证券晨会纪要—20181011,中国银河证券研究
7152,2018-10-11,东海晨报摘要(20181011),东海通财富
7153,2018-10-11,【数据揭秘】10月10日 融资客最看好的前20只个股,每日经济新闻
7154,2018-10-10,"电力设备行业:追寻变化,把握阶段性机会",安信证券
7155,2018-10-09,"新兴能源行业:电解液价格触底反弹,特高压进度加快",正点财经
7156,2018-10-09,【超级大单】 10月09日 3只个股特大单净流入超亿元,每日经济新闻
7157,2018-10-09,2017年中国风电装机容量统计,中国能源网china5e
7158,2018-10-09,中小板逾七成公司三季报预喜 121家公司预计业绩可翻番,投资快报
7159,2018-10-08,[快讯]金风科技:收到《中国证监会行政许可项目审查一次反馈意见通知书》,中财网
7160,2018-10-08,金风科技：风电场运维有望贡献新增长点 买入评级,渤海证券
7161,2018-10-08,电力设备新能源行业2018年三季报业绩前瞻：光伏政策负面影响逐渐显现，期待特高压投资积极变化,申万宏源研究
7162,2018-10-08,"电新周报:新能源汽车持续向好,看好风电龙头低位反弹",联讯证券
7163,2018-10-07,【国金电新周观点】配额制再次征求意见近落地，关注特高压核准,新兴产业观察者
7164,2018-10-07,电气设备：特斯拉MODEL3成绩优异 荐5股,方正证券
7165,2018-10-05,近200亿跌没了！联想集团一度暴跌逾20% 中兴等多只AH股本周跌超10%！,中国基金报
7166,2018-10-04,金风科技股票分析：风机业务逐步复苏，风电场运营稳步增长,国信证券
7167,2018-09-29,融资客斥资近70亿元净买入189只标的股机构扎堆看好7只三季报预喜股,顶尖财经网
7168,2018-09-29,九月沪指上涨3.53% 三路资金辗转腾挪欲搏金秋行情,证券日报
7169,2018-09-29,"新能源行业周报:继续看好阶段性反弹,布局景气度高的环节",信达证券
7170,2018-09-28,渤海证券：上调金风科技评级至买入,Wind
7171,2018-09-28,金力永磁实现稀土产业链垂直整合,全景网
7172,2018-09-28,银河证券：震荡为主 优选个股,银河证券
7173,2018-09-28,中车永济电机有限公司在德国汉堡发布风电新技术,北极星电力
7174,2018-09-28,【晨会纪要】策略丁文 银河证券晨会纪要—20180928,中国银河证券研究
7175,2018-09-28,上调评级至买入策略选股（9月28日）,Wind
7176,2018-09-28,15股获券商买入评级 锦江股份目标涨幅达56.59%,Wind
7177,2018-09-28,海上风电项目陆续开工 关注相关设备制造企业,证券时报网
7178,2018-09-28,浙商早班车2018.09.28,浙商证券研究所
7179,2018-09-28,张小平离职背后：航天民企“跑步钱进”,新京报
7180,2018-09-27,影响登月的张小平离职将被仲裁 国企们下海会退潮吗,新京报
7181,2018-09-27,体制内的张小平们和那些“想上天”的民营火箭公司,搜狐
7182,2018-09-27,前同事眼中的张小平跳槽民企事件：在新单位他可以独当一面,澎湃新闻
7183,2018-09-27,蓝箭对张小平离职不予置评 今日宣布新项目测试成功,新京报
7184,2018-09-27,电气设备：前八月硅价先扬后抑 荐5股,渤海证券
7185,2018-09-27,【电新苏晨】配额制再次征求意见，保持补贴强度不变,兴证研究
7186,2018-09-27,27日早间行业板块投资机会汇总,证券时报网
7187,2018-09-27,【平安重点】行业快评*电力设备*配额制再征意见，有望缓解消纳和补贴缺口问题*强于大市,平安研究
7188,2018-09-27,浙商早班车2018.09.27,浙商证券研究所
7189,2018-09-27,MSCI拟将A股纳入因子扩大4倍 36只成份股连涨3日,证券日报
7190,2018-09-27,"金风科技深度报告:两海战略进展顺利,风电场运维有望贡献新增长点",渤海证券
7191,2018-09-27,"电气设备行业周报:新能源车中游需求发力,特高压建设提速",国海证券
7192,2018-09-26,浙商·电新 | 配额制征求意见稿再发，新版改了哪些内容？,分析师
7193,2018-09-26,成本下降订单上升 海上风电发展进入加速期,e公司
7194,2018-09-26,新安股份前三季预增405% 多家公司公布业绩-更新中,中财网
7195,2018-09-26,三大期指高位震荡 IF和IH涨逾1%,证券之星
7196,2018-09-26,山西证券：权重发力沪指站上2800 回调可适当加仓,山西证券
7197,2018-09-26,三季报行情倒计时 这些公司高预增且存在低估,证券时报网
7198,2018-09-25,【数据揭秘】09月21日 融资客最看好的前20只个股,每日经济新闻
7199,2018-09-25,25日早间上市公司重要公告汇总,证券时报网
7200,2018-09-24,电气设备：特高压再逢春风 荐2股,长江证券
7201,2018-09-23,电气设备：研发抵扣新规利于新能源汽车产业升级 荐5股,国盛证券
7202,2018-09-22,牧镭激光：完成数千万元B轮融资 华泰证券领投,中证网
7203,2018-09-21,金风科技(02208)参股公司金力永磁于深交所上市,智通财经
7204,2018-09-21,金力永磁 继续巩固细分行业龙头地位,红周刊
7205,2018-09-21,金风科技：金力永磁今日上市，子公司持股逾16%,Wind
7206,2018-09-21,多股被上调评级 业绩增长是重要动力 6股大吸金,证券之星
7207,2018-09-21,【晨会纪要】策略丁文 银河证券晨会纪要—20180921,中国银河证券研究
7208,2018-09-21,机构把脉A股四季度行情 配置思路坚守稳健与成长平衡,证券日报
7209,2018-09-21,"新能源行业周报:特高压启动新一轮建设期,新能源汽车销售旺季到来",华安证券
7210,2018-09-21,"风电行业深度研究报告:海上风电迎来快速发展期,看好相关设备制造商",渤海证券
7211,2018-09-20,【晨会纪要】策略丁文 银河证券晨会纪要—20180920,中国银河证券研究
7212,2018-09-19,金力永磁IPO路演 全面提升公司的盈利能力和行业地位,全景网
7213,2018-09-19,【电气设备新能源|张文臣团队太平洋证券】新能源车产销旺季，新能源平价发电加速到来,太平洋证券研究
7214,2018-09-19,74家上市公司评级被调高101家“降级”,证券日报
7215,2018-09-19,"电力设备行业:新能源车旺季开启,特高压基建提速",安信证券
7216,2018-09-18,"电气设备行业周报:钴及电解液涨价,领跑者支撑单晶PERC后续价稳",正点财经
7217,2018-09-18,【广证恒生】-行业事件点评-电新行业半年报总结：稳健发展，质量为先-20180917,广证恒生
7218,2018-09-18,电气设备：8月天然气产量同比增长9.7%,川财证券
7219,2018-09-18,【晨会纪要】策略丁文 银河证券晨会纪要—20180918,中国银河证券研究
7220,2018-09-18,诚邀您参加2018新能源与电力电工展,工业电器网
7221,2018-09-18,金风科技:风机业务逐步复苏 风电场运营稳步增长,国联证券
7222,2018-09-18,2018年电力设备新能源行业中报总结暨9月份投资策略：风电光伏重点关注运营商，电车龙头经历洗牌静待行业拐点,国信研究
7223,2018-09-18,【电新】邹玲玲、花秀宁（研究助理）：电动车短期反弹有动力，新能源平价时代到来-20180917,中泰证券研究所
7224,2018-09-18,"电气设备及新能源行业周报:平价上网征求意见函下发,新能源汽车8月销量实现环比增长",国信证券
7225,2018-09-17,73只个股受机构集体推荐 5只龙头股吸金逾27亿,证券日报
7226,2018-09-17,【晨会纪要】策略丁文 银河证券晨会纪要—20180917,中国银河证券研究
7227,2018-09-17,风电行业：东风起兮海上风电发展正当时,顶尖财经网
7228,2018-09-17,“风光产业”加速智能转型 仍存在诸多短板,新华网
7229,2018-09-17,【电新*曾朵红】新能源行业2018年度中报总结：光伏延续增长，风电复苏明显,东吴研究所
7230,2018-09-16,上周机构走访105家公司 48只个股商誉占净资产比较低,证券日报
7231,2018-09-16,蔚来赴美上市，电动车驶入农村,--
7232,2018-09-16,【国君电新|周观点】蔚来上市催化，行业预期积极转好,国君电新深度观察
7233,2018-09-16,电气设备：新能源汽车景气度逐月提升 荐3股,国盛证券
7234,2018-09-16,机构调研瞄准蓝筹价值标的 6只个股被机构联袂推荐,证券日报
7235,2018-09-14,金力永磁:新股询价报告,正点财经
7236,2018-09-14,【晨会纪要】策略丁文 银河证券晨会纪要—20180914,中国银河证券研究
7237,2018-09-14,【浙商新能源】电力过剩与紧张矛盾吗？——电力行业系列报告（8）,浙商证券研究所
7238,2018-09-14,浙商早班车2018.09.14,浙商证券研究所
7239,2018-09-14,"电气设备行业周报:需求转暖价格依然承压,重视反弹时龙头溢价",国海证券
7240,2018-09-13,金风科技：维持“推荐评级”,中证网
7241,2018-09-13,广发基金主动权益类产品七成亏损，多位资深老将业绩不佳,和讯
7242,2018-09-12,【川财研究所*深度报告】产业链盈利分化，关注风电整机与零部件环节,川财研究
7243,2018-09-12,“风光产业”加速智能转型,中国经济网
7244,2018-09-12,"新能源行业周报:景气度仍在低谷,行业差异化明显",信达证券
7245,2018-09-11,"金风科技:业绩高增长,运营毛利率提升显着",正点财经
7246,2018-09-11,新能源装机下滑 海上风电却一枝独秀,中国能源网china5e
7247,2018-09-11,【晨会纪要】策略丁文 银河证券晨会纪要—20180911,中国银河证券研究
7248,2018-09-11,电新行业：国家推进输变电工程建设持续看好风电板块,顶尖财经网
7249,2018-09-11,发电量提升5%！是什么让服役10年的老牌风场焕发活力？,北极星电力
7250,2018-09-11,海外机构调研75家公司 三季报业绩预喜是主要特征,证券日报
7251,2018-09-11,"电力设备行业周报:国家电网深化中非合作,推动“一带一路”建设",渤海证券
7252,2018-09-10,电气设备：工信部发布第9批新能源汽车推荐目录 荐5股,国信证券
7253,2018-09-10,电气设备：需求转暖价格依然承压 荐4股,国海证券
7254,2018-09-10,【平安重点】行业专题报告*电力设备*中报业绩整体尚可，存量升级态势延续*强于大市,平安研究
7255,2018-09-10,【国君电新|周观点】电解液与特高压的周期轮回,国君电新深度观察
7256,2018-09-10,136只绩优白马股遭错杀社保基金与险资共同持有8只个股,顶尖财经网
7257,2018-09-10,“非洲猪瘟”持续发酵 三只概念股受关注,证券时报
7258,2018-09-09,非洲猪瘟流窜作案机构探访温氏股份等三家热点公司,新浪
7259,2018-09-09,电气设备：电动车稳步前行 荐3股,方正证券
7260,2018-09-09,鸿绎智库｜跨界融合正成为中国青年科学家的“新常态”，材料创新有望来得更猛烈一些,搜狐
