279,2021-10-28,中国电建(601669.SH)：第三季度净利降7.39%至18.38亿元,格隆汇
280,2021-10-28,中国电建(601669.SH)前三季度归母净利润同比增长8.40%至63.56亿元,智通财经
281,2021-10-28,中国电建：2021年前三季度净利润约63.56亿元，同比增加8.4%,每日经济新闻
282,2021-10-28,图解中国电建三季报：第三季度单季净利润同比减7.34%,证券之星
283,2021-10-28,中国电建：2021年第三季度净利18.38亿元 同比下降7.39% 盈利能力下降,新浪
284,2021-10-28,中国电建：前三季度净利润同比增长8.4%,Wind
285,2021-10-28,信达澳银基金旗下48只基金披露最新三季报，冯明远依旧看好新能源产业,资本邦
286,2021-10-28,A股融资融券日报：两融余额减少19.89亿元（10月27日）,Wind
287,2021-10-28,天津褐石地产转让50%股权，底价为3871.32万元,乐居财经
288,2021-10-27,焦点分析 | 拿下全球最大储能项目，华为进入万亿新战场,36氪
289,2021-10-27,融资客青睐11股，未来股份买入占比高达47.90%,Wind
290,2021-10-27,A股融资融券日报：两融余额增加17.51亿元（10月26日）,Wind
291,2021-10-27,盘前情报丨新能源、电商再迎重磅利好；明星基金经理最新重仓股出炉,21世纪经济报道
292,2021-10-27,北向资金逆势净买入8.45亿，增持汽车减持房地产，这些个股遭甩卖 减持股份,21世纪经济报道
293,2021-10-27,北向资金动向盘点：这一波净流入结束了吗？,Wind
294,2021-10-27,新能源交通工具比例达到40%！国务院发布2030前碳达峰行动方案,Wind
295,2021-10-27,北向资金连续6日净买入，消费电子板块涨幅居前,Wind
296,2021-10-26,顶流基金经理三季度持仓出炉，他们重仓这些股！,国际金融报
297,2021-10-26,建筑装饰周观点：中央推动城乡绿色发展 重点推荐光储钢结构等绿色低碳赛道,新浪
298,2021-10-26,顶流基金经理们正拥抱什么？董承非低仓位低换手应对波动，周蔚文大手笔增持宁波银行，冯明远半数重仓股被换,财联社
299,2021-10-26,明星基金三季度调仓观察：冯明远减仓宁德时代，葛兰加仓爱尔眼科,第一财经
300,2021-10-26,果然超级风口！兄弟公司和华为曝重磅利好，千亿巨头两天大涨19%,中国基金报
301,2021-10-26,沪港通十大成交活跃股排名（10月26日）,Wind
302,2021-10-26,北向资金今日净流入逾8亿元，宁德时代获净买入7.53亿元,第一财经
303,2021-10-26,北向资金再度净买入超8亿，连续9日抢筹宁德时代累计加仓超55亿,Wind
304,2021-10-26,看得让人心颤！9000亿巨头放大招，股价再创历史新高！明星基金经理持仓曝光，刘格菘：高端制造可能迎来“黄金成长期”,雪球
305,2021-10-26,傅鹏博、赵诣、冯明远、林英睿、赵枫持仓思路各有不同,Wind
306,2021-10-26,锂电又爆发！宁王再创新高，2500亿白马却跳水,Wind
307,2021-10-26,解盘：百亿资金流入，锂电池、大基建、稀土、特斯拉领涨,Wind
308,2021-10-26,与华为消息属实！中国电建两连板,证券之星
309,2021-10-26,中国电建：限电措施对公司业务产生的影响正进行评估,每日经济新闻
310,2021-10-26,中国电建涨停，公司称山东电建与华为一起签署全球最大储能项目属实,金融界
311,2021-10-26,中国电建：水储能电站作为调节电源目前主要由电网企业投资运营,每日经济新闻
312,2021-10-26,快讯：中国电建涨停 报于8.36元,金融界
313,2021-10-26,永福股份、中国电建涨停，基建ETF（516950）上涨超2%,资本邦
