,2021-12-30,华西证券：给予百隆东方买入评级,证券之星
266,2020-10-15,涨停板复盘：指数全天震荡走弱 纺织制造板块逆市大涨,新浪
267,2020-10-15,涨停板复盘：指数全天震荡下行 纺织、染料股午后冲高,新浪
268,2020-10-15,【行情】纺织板块持续拉升，华纺股份、新野纺织、百隆东方集体涨停，金春股份、孚日股份、华茂股份走高,金十数据
269,2020-10-15,【行情】纺织制造板块拉升，聚杰微纤涨停，新野纺织涨6%，稳健医疗、百隆东方、金春股份、孚日股份等跟涨,金十数据
270,2020-10-14,百隆东方龙虎榜数据（10月14日）,Wind
271,2020-10-14,外资半日流出33亿：风电概念爆发 纺织板块获主力青睐,新浪
272,2020-10-14,【行情】纺织制造板块拉升，聚杰微纤、百隆东方、新野纺织等个股封板，众望布艺、鲁泰A等跟涨,金十数据
273,2020-10-12,纺织服装行业周报：国庆假期服装高增 海外制造订单转移 关注三季报有望迎来拐点标的,新浪
274,2020-10-09,百隆东方(601339.SH)：9月大秦线货物运输量增3.84%至3513万吨,格隆汇
275,2020-10-09,百隆东方(601339.SH)截至9月末累计斥资8827.45万元回购1.57%股份,格隆汇
276,2020-09-29,耐克最新财季强劲复苏，业绩大超预期，运动龙头先声夺人,中信建投证券研究
277,2020-09-22,纺织服装行业：国际环境好转 单月服装出口额年内首次实现增长,新浪
278,2020-09-22,融资客青睐5股，瑞茂通买入占比高达42.69%,Wind
279,2020-09-21,纺织服装行业周观点报告：纺服零售额增速年内首次转正 继续关注优质运动鞋服企业,新浪
280,2020-09-18,百隆东方(601339.SH)：累计耗资5840.08万元回购1.03%股份,格隆汇
281,2020-09-15,纺织服装行业周报：国际体育赛事启动 持续刺激终端消费,新浪
282,2020-09-14,纺织服装9月第一周周报：Q2营收、净利润降幅收窄 现金流改善明显,新浪
283,2020-09-08,纺服零售行业2020中报综述：电商唱主角 数字化升级变革影响深远 必选消费持续稳健,新浪
284,2020-09-07,纺织服装行业动态报告：优衣库日本8月同店增长强劲 龙头复苏大幕开启,新浪
285,2020-09-02,百隆东方(601339.SH)截至8月末累计斥资2224.86万元回购585.91万股,格隆汇
286,2020-08-28,百隆东方：公司独立董事辞职 董监高成员变化,Wind
287,2020-08-26,百隆东方(601339)：Q2收入降幅收窄 疫情负面影响逐步消化,新浪
288,2020-08-24,百隆东方(601339.SH)半年度净利润降39.31%至1.36亿元 盈利能力下降,格隆汇
289,2020-08-24,百隆东方：上半年净利润同比减少39.31% 盈利能力下降,Wind
290,2020-08-10,纺织服装周度观点：阿迪达斯Q2电商收入大增93% 大中华区恢复至同比持平,新浪
291,2020-08-06,中小盘增发并购双周报：定价定增严监管 市场化的竞价定增受益,新浪
292,2020-08-03,百隆东方(601339.SH)截至7月底累计回购406.09万元的股份,格隆汇
293,2020-08-03,纺织服装业：LVMH亚洲复苏 服装新零售蓬勃发展,新浪
294,2020-08-03,纺织服装行业：国内外金价创历史新高 继续推荐黄金珠宝板块与高景气赛道龙头,新浪
295,2020-07-29,百隆东方(601339.SH)首次回购90.27万股涉资333.70万元,格隆汇
