,2021-12-31,"建业地产与中国铁建地产签约,将在代建、装配式建筑等领域合作",金融界
219,2021-10-25,中国铁建：第三季度新签约合同额合计5117.88亿元,中金在线
220,2021-10-25,中国铁建第三季度房地产业务新签合同额212.79亿元,乐居财经
221,2021-10-25,中国铁建：公司对主要材料价格有调价机制，限电影响不大,我的钢铁
222,2021-10-23,细数二轮土拍的5个特征,债券池
223,2021-10-22,咸亨国际：公司目前跟华为未有深度合作,Wind
224,2021-10-21,“从智造看未来” 中国铁建、铁建重工举办2021年投资者反向路演活动,中证网
225,2021-10-20,中国铁建、铁建重工举办2021年投资者反向路演活动,上证报
226,2021-10-19,领先指数 | 2021年1-9月房企货值榜,中金在线
227,2021-10-18,建筑与工程行业周报：淡化短期波动 中长期钢结构景气依旧,新浪
228,2021-10-18,财面儿丨中国铁建拟为长沙杉木村项目增资 对应股权60%,财经网
229,2021-10-17,庄尚标：企业是可持续交通的建设者和贡献者,中国经济网
230,2021-10-17,建筑装饰周观点：鸿路钢构Q3订单大幅增长 第二批REITS上报有望带动建企运营资产重估,新浪
231,2021-10-17,建筑钢铁行业周报：建筑、钢铁行业的估值调整可能暂时告一段落,新浪
232,2021-10-16,中国铁建控股子公司环境违法被罚10万元 环保处罚,每日经济新闻
233,2021-10-15,中国建筑行业2021年上半年业绩概览,第一财经
234,2021-10-15,中国铁建(01186.HK)10月29日举行董事会会议审批三季度业绩,格隆汇
235,2021-10-15,中国铁建：董事会将于2021年10月29日（星期五）举行,Wind
236,2021-10-14,【铁建投资小公募】不超20亿/3年（21铁投01，188883，2.8-3.8%）/中诚信AAA/AAA/上交所/今日簿记,中信建投固定收益部
237,2021-10-13,中国铁建：第四届董事会第六十八次会议决议,Wind
238,2021-10-13,中国铁建：董事会会议审议通过《关于修订中国铁建俄罗斯有限公司章程部分条款的议案》,Wind
239,2021-10-12,中国铁建200亿元小公募项目状态更新为“已反馈”,乐居财经
240,2021-10-12,建筑行业跟踪报告：建筑高景气延续 屋顶分布式光伏、抽水蓄能迎机遇,新浪
241,2021-10-11,【中金固收·信用】拿地热度下滑，区域分化仍存：苏州、成都、南京、广州、深圳二轮集中供地点评,中金固定收益研究
242,2021-10-11,中国铁建间接控股子公司环境违法被罚10万元 环保处罚,每日经济新闻
243,2021-10-11,中国铁建控股子公司环境违法被罚5万元 环保处罚,每日经济新闻
244,2021-10-11,中国铁建成立投资建设公司，注册资本30亿,新京报
245,2021-10-11,建筑装饰行业周报：BIPV前景广阔 关注产业链投资机会,新浪
246,2021-10-11,中国铁建紧急驰援！南同蒲铁路上行线恢复通车－国务院国有资产监督管理委员会,国资委
247,2021-10-10,【安信建筑】行业周报1010：专项债发行提速有望助力基建投资提升，粤港澳区域交通建设获大力推进,勇往直前
248,2021-10-08,中国铁建：公司近几年参与的储能项目主要有国家电网水电施工项目、国家电网输水发电系统施工项目、国家电网抽水蓄能电站施工项目等,每日经济新闻
249,2021-10-08,中国铁建：目前，公司签署的施工合同对主要材料价格都有调价机制，因此限电令对公司业绩影响不大,每日经济新闻
250,2021-10-08,中国铁建：目前公司没有自营的电力及光伏项目,每日经济新闻
251,2021-10-06,智通每日大行研报丨中国铁建(01186)获花旗看高至7港元 交银国际维持华润电力(00836)“买入”评级,智通财经
252,2021-09-30,中国铁建200亿元小公募项目获上交所受理,乐居财经
253,2021-09-28,建筑装饰行业点评：能建回A在即 重视建筑央企变革升级前景,新浪
254,2021-09-27,建筑与工程行业周报：央企中为何给予中化、电建和中冶高估值,新浪
255,2021-09-27,晚间重要公告2021年9月27日星期一,Wind
256,2021-09-27,中国铁建：近期中标6个重大项目,Wind
257,2021-09-27,晚间公告｜9月27日这些公告有看头,第一财经
258,2021-09-27,中国铁建(601186.SH)：近期中标6个重大项目 项目金额合计632.76亿元,格隆汇
259,2021-09-27,中国铁建：近期中标632.76亿元项目,Wind
260,2021-09-27,集中供地｜广州、南京底价成交占主导 杭州再度爆冷流拍,财经网
261,2021-09-26,中国铁建底价16.8亿元摘得南京1宗商住用地,中国网
262,2021-09-26,兴证建筑每周观点：国常会再提跨周期调节 重视地方国企的轮动补涨机会,新浪
263,2021-09-26,中国铁建6.66亿元竞得南京1宗商住用地 溢价率1.52%,新浪
264,2021-09-26,中国铁建6.66亿元斩获南京溧水46158.76㎡商住地，溢价率1.52%,乐居财经
265,2021-09-24,小铁播报 | 李兴龙率队到龙湖集团进行调研交流,搜狐
266,2021-09-24,中国铁建地产华东公司南京片区：为业主美好生活服务,中房网
267,2021-09-24,瑞信、大和下调中国铁建（1186.HK）目标价 企业上半年经营性现金流负325亿元 机构下调估值,36氪
268,2021-09-23,中国铁建200亿元ABS项目状态更新为“已受理”,Wind
269,2021-09-23,中国铁建地产华东公司南京片区：南京花语熙岸项目组织“质量月”启动会,凤凰网
270,2021-09-23,瑞信：维持中国铁建(01186)“跑赢大市”评级 目标价降2.59%至9港元 机构下调估值,智通财经
271,2021-09-22,中国铁建200亿元ABS项目获上交所受理,乐居财经
272,2021-09-22,建筑装饰行业周报：8月投资数据公布 竣工持续亮眼表现 基建形成一定拖累,新浪
273,2021-09-21,建筑行业专题报告：基建托底预期强化 持续看好建筑央企、装配式板块,新浪
274,2021-09-21,建筑装饰周观点：基建投资回落、整县试点落地 继续关注大建筑股和“新能源+”主线机会,新浪
275,2021-09-18,中铁建商业保理200亿元的中国铁建第1-8期资产支持专项计划获上交所受理,中华网
276,2021-09-18,中国铁建青岛新设康养产业发展公司，注册资本2000万元,乐居财经
277,2021-09-17,中国铁建：股东大会审议通过关于开展应收款项资产证券化业务的议案,Wind
278,2021-09-16,建筑行业2021年半年报总结：建筑央企迎来强劲反弹 钢结构下游需求有望回暖,光大证券
279,2021-09-16,太原中铁房地产开发有限公司因越证被行政处罚,中国网
280,2021-09-16,苏州“两集中”首日揽金177.23亿元 中国铁建、龙湖、中建一局均有斩获,中国网
281,2021-09-16,中国铁建第1-8期资产支持专项计划200亿元ABS项目获上交所受理,乐居财经
282,2021-09-16,中国铁建拟于9月27日对22亿元债券付息，每手派44.3元,乐居财经
283,2021-09-16,中国铁建(01186)：每手“20铁建Y1”将于9月27日派息44.3元,智通财经
284,2021-09-16,中国铁建(01186.HK)2020年公司债券第一期将于9月27日付息,格隆汇
285,2021-09-16,建筑和工程2021年8月固定资产投资数据点评：竣工景气仍高 基建负增长受制于资金面因素,光大证券
286,2021-09-16,8月投资数据点评：投资数据持续下滑 逆周期调节需求仍存,新浪
287,2021-09-16,土拍｜中国铁建以底价55.81亿元获得苏州相城一宗宅地,财经网
288,2021-09-15,中国铁建中标援多哥总统府维修扩建项目,微信
289,2021-09-14,中国铁建：9月23日将参加“2021年北京辖区上市公司投资者集体接待日”活动,Wind
290,2021-09-14,【异动股】中国铁建(01186.HK)跌3.47%,财华社
