217,2021-09-02,8月销量不佳，工程机械股却迎来大涨！业内人士：行业最低迷的时刻即将过去,Wind
218,2021-09-01,民生证券维持徐工机械推荐评级，徐工机械21年中报点评：净利润增速亮眼，混改提升核心竞争力,每日经济新闻
219,2021-09-01,徐工机械龙虎榜数据（9月1日）,Wind
220,2021-09-01,涨停板解密：资金抢筹，机械设备股掀涨停潮！（9月1日）,Wind
221,2021-09-01,A股收盘综述：风格切换凶猛来袭，市场资金大举吃进低估值蓝筹,Wind
222,2021-09-01,三一重工尾盘封住涨停板，成交金额超120亿元创历史新高,Wind
223,2021-09-01,徐工机械(000425)：混改释放业绩弹性 Q2增速大幅高于行业,新浪
224,2021-09-01,ETF严选|今日徐工机械再度封涨停！基建ETF(516950)已上涨4.34%,资本邦
225,2021-09-01,徐工机械：上半年创历史最佳业绩，国际化战略与技术创新成绩亮眼,和讯
226,2021-09-01,【异动股】工程机械板块拉升，徐工机械(000425.CN)涨9.97%,财华社
227,2021-09-01,工程机械板块走高 徐工机械涨超8%,e公司
228,2021-08-31,东吴证券维持徐工机械买入评级，2021年中报点评：混改释放业绩弹性，Q2增速大幅高于行业,每日经济新闻
229,2021-08-31,8月收官！A股走势分化沪指本月累涨4.2% 周期资源成最大赢家,财华社
230,2021-08-31,徐工机械今日大宗交易成交500万股，成交价6.13元折价5.98%,Wind
231,2021-08-31,20家工程机械企业半年报净利315亿，最高增长近140%,西本
232,2021-08-31,远东宏信(03360.HK)上半年溢利扩大25.16%至人民币25.73亿元,财华社
233,2021-08-31,上半年机械工业增加值同比增长22.3% 实现净利315亿元,我的钢铁
234,2021-08-31,工程机械走强 全市场首只基建ETF（516950）一揽子覆盖传统基建最牛标的,金融界
235,2021-08-31,干货！2021年中国商用车行业龙头企业分析——一汽解放：重卡龙头开启新时代,前瞻研究院
236,2021-08-31,军工股再爆发，天风证券：国防军工将持续成为机构偏好板块,证券之星
237,2021-08-31,A股午盘综述：创业板指跌2.51%，稀土、锂、钢、水泥走强不敌大盘股抛压,Wind
238,2021-08-31,8月31日午盘两市机构大单抢筹40股(名单),金融界
239,2021-08-31,8月31日午盘两市净流入前20股(名单),金融界
240,2021-08-31,8月31日早盘两市净流入前20股(名单),金融界
241,2021-08-31,8月31日早盘两市机构大单抢筹40股(名单),金融界
242,2021-08-31,海希通讯答精选首轮问询，市场竞争力、核心技术独立性被关注,资本邦
243,2021-08-31,ETF严选|徐工机械封涨停！基建ETF(516950)今日上涨1.37%,资本邦
244,2021-08-31,20家工程机械企业上半年实现净利315亿，最高增长近140%,我的钢铁
245,2021-08-31,官方网站 证监会指定信息披露媒体,上证报
246,2021-08-31,工程机械板块走强 天地科技、徐工机械涨停,e公司
247,2021-08-31,工程机械板块走强 徐工机械(000425.SZ)封涨停,格隆汇
248,2021-08-31,徐工机械封住涨停，中联重科、郑煤机、柳工、潍柴重机、三一重工跟风上行,Wind
