,2021-12-28,诺泰生物创上市新低 IPO募8亿南京证券赚0.7亿,中国经济网
254,2021-02-02,【行情】券商板块午后异动，南京证券大涨7%，国金证券、国信证券、华创阳安、东方财富等跟涨,金十数据
255,2021-02-02,大金融板块尾盘异动，南京证券涨逾5%,Wind
256,2021-02-02,快讯：证券板块反弹拉升 南京证券涨幅逾6%,新浪
257,2021-02-02,【行情】证券板块反弹拉升，南京证券涨超7%，浙商证券、光大证券、华安证券、红塔证券等纷纷跟涨,金十数据
258,2021-02-02,券商股反弹拉升 南京证券领涨,e公司
259,2021-02-01,南京证券去年净利8亿计提减值准备9164万 股价跌2.17% 资产异常,中国经济网
260,2021-01-31,下周操盘攻略：春节前最后一周，调仓最后良机？,Wind
261,2021-01-30,24家上市券商计提减值218亿元，股票质押风险缓释,Wind
262,2021-01-29,南京证券2020年实现净利8.1亿元 同比增长14.14%,证券日报网
263,2021-01-29,南京证券：2020年实现净利润8.10亿元 同比增长14.14%,中证网
264,2021-01-29,南京证券业绩快报：2020年度净利润8.1亿元，同比增长14.14%,Wind
265,2021-01-28,南京证券(601990.SH)：凤凰置业减持期届满未实施减持,格隆汇
266,2021-01-25,南京证券现1笔大宗交易 共成交486.20万元,新浪
267,2021-01-19,券商互投为哪般，短期套利还是并购整合？,环球老虎财经
268,2021-01-19,12家券商近一年斥资55.4亿元参与“同行”定增，4家头部券商“买”成前十大股东,Wind
269,2021-01-19,12家券商近一年斥资55.4亿元参与“同行”定增 4家头部券商“买”成前十大股东,证券日报
270,2021-01-19,12券商近1年斥资55.4亿参与同行定增 4家成大股东,证券日报网
271,2021-01-06,3000亿“牛市旗手”爆发，“春季躁动”提前启动？,中证报
272,2020-12-30,中证协公布2020年度证券公司从事上市公司并购重组财务顾问执业能力专业评价结果,Wind
273,2020-12-30,南京证券(601990.SH)：南京市食品公司向金谷商贸无偿划转0.02%股份完成过户登记 资产异常,格隆汇
274,2020-12-29,解盘：顺周期全面回调，网络游戏、5G、第三代半导体略涨,Wind
275,2020-12-21,南京证券：2021年投资机会可关注三条主线,大众证券报
276,2020-12-20,南京证券：新发展格局下 权益市场投资需关注“三条主线”,证券日报网
277,2020-12-17,南京证券(601990.SH)：宁夏股权交易中心的董事长暨法定代表人由李剑锋变更为金国斌 董监高成员变化,格隆汇
278,2020-12-17,南京证券：子公司宁夏股权托管交易中心董事长暨法定代表人变更 董监高成员变化,Wind
279,2020-12-16,南京证券现1笔大宗交易 共成交483.67万元,新浪
280,2020-12-16,南京证券今日大宗交易成交38.88万股，成交价12.44元溢价0.0%,Wind
281,2020-12-15,14连跌终结，仁东控股“地天板”，撬板的21亿神秘资金来自何方？ 连续下跌,第一财经
282,2020-12-14,仁东控股为18家券商两融标的，14个跌停影响几何？,第一财经
283,2020-12-11,【行情】证券板块异动拉升，南京证券直线拉升涨5%，湘财股份、中银证券、国联证券等跟涨,金十数据
284,2020-12-11,券商板块拉升，南京证券直线冲高,Wind
285,2020-12-11,A股融资融券日报：两融余额增加1.54亿元（12月10日）,Wind
286,2020-12-09,A股融资融券日报：两融余额减少2.95亿元（12月8日）,Wind
287,2020-12-02,A股融资融券日报：两融余额增加72.93亿元（12月1日）,Wind
288,2020-12-01,A股融资融券日报：两融余额增加44.55亿元（11月30日）,Wind
289,2020-11-30,限售股解禁冲击，跌不新鲜，涨才罕见，南京证券有效避过“一劫”，下周仍有券商股面临大考 解禁,财联社
290,2020-11-26,南京证券：更换保荐代表人,Wind
291,2020-11-23,券商“换帅”潮再起，年内10余家券商迎新掌门人 董监高成员变化,第一财经
292,2020-11-23,南京证券(601990.SH)：就宁证期货挂牌征集投资方由建邺高投最终成功摘牌 退市,格隆汇
293,2020-11-19,诺泰生物3改会计差错曾瞒关联交易 董事长背2监管函,中国经济网
294,2020-11-19,券商年内千亿元再融资“补血”，抢占融资融券业务“地盘”,Wind
295,2020-11-17,三成上市券商年内遭重要股东减持，已“落地”1.72亿股 减持股份,Wind
296,2020-11-16,游资情报 | “小鳄鱼”打板化工有色标的；“方新侠”连封三板，有色、涨价、汽车股一个不少！,每日经济新闻
297,2020-11-13,A股融资融券日报：两融余额增加3.35亿元（11月12日）,Wind
298,2020-11-12,游资情报｜“章盟主”连续两天扫货有机硅牛股；“小鳄鱼”封板人工智能龙头！,每日经济新闻
299,2020-11-12,券商股遭密集减持，机构仍看好后市 减持股份,Wind
300,2020-11-11,又见券商股遭清仓减持！年内已有11家预告减持 减持股份,券商中国
301,2020-11-11,双十一到了，上市券商股东还在“卖卖卖”,Wind
302,2020-11-08,券商行业涌现高管变动潮，发生了什么？,中国基金报
303,2020-11-05,各大指数样本股即将调整，有一个套利机会请查收,上证报
304,2020-11-04,A股30年跟蚂蚁一样被暂缓上市公司，最终命运如何,每日经济新闻
305,2020-11-04,A股融资融券日报：两融余额增加58.37亿元（11月3日）,Wind
306,2020-11-03,南京证券(601990.SH)：公开发行总额不超74亿元公司债券获中证监注册批复,格隆汇
307,2020-11-03,A股融资融券日报：两融余额增加32.03亿元（11月2日）,Wind
