648,2020-12-14,【银河电子】2021年度策略：新时代、新格局、电子投资新机遇,中国银河证券研究
649,2020-12-13,【中信建投电子|刘双锋&雷鸣团队】周报：立讯通过收购高伟进军光学赛道；8寸晶圆代工吃紧带动上下游涨价,中信建投电子研究
650,2020-12-10,领益智造：前实控人汪南东被深交所谴责与公司无关,Wind
651,2020-12-06,电子行业周报：软板双雄引领IPHONE产业链新一轮成长周期 功率半导体有望迎来涨价潮,新浪
652,2020-12-05,32股本周股价创出新高，超半数获北向资金增持,证券时报
653,2020-12-05,【兴证电子】周报：iPhone链企业订单饱满，鹏鼎11月营收大超预期,兴证电子谢恒团队
654,2020-12-04,深交所：对连续多日涨幅异常的“中水渔业”持续进行重点监控,Wind
655,2020-12-04,领益智造原实控人汪南东被谴责 未履行限售承诺等违规 其他违规处罚,中国经济网
656,2020-12-03,"两融透析：大盘冲高震荡, 领益智造融资盘小幅流入",财富动力网
657,2020-12-03,北向资金显著回流科技股，两面板龙头股价水涨船高,Wind
658,2020-12-02,千亿市值股票冲上涨停，幕后推手是谁？,上证报
659,2020-12-01,11月金股组合盈利1.33% 12月荐股名单出炉,新浪
660,2020-12-01,兴业证券：11月金股组合盈利2.69% 12月荐股名单出炉,新浪
661,2020-12-01,天风证券：电子制造未来三年谁会胜出？,新浪
662,2020-12-01,电子行业周报：IPHONE供应链迎来新一轮成长周期 功率半导体有望迎来涨价潮,新浪
663,2020-12-01,【兴业证券晨会聚焦1201】宏观-11月PMI数据点评；策略-12月A股金股组合；海外-12月港股金股组合,兴证研究
664,2020-12-01,“魔咒”再现，北向资金最后一分钟净流入超200亿元！增持个股一览,21世纪经济报道
665,2020-11-30,消费电子行业研究：苹果强周期延续 重申看好产业链投资机会,新浪
666,2020-11-30,主力资金今日延续金融股偏好 白酒股遭大幅净卖出,第一财经
667,2020-11-30,A股收盘综述：上证指数冲高回落跌0.49%，当月仍录升超5%,Wind
668,2020-11-30,A股午盘综述：上证指数半日涨超1%，金融股推升大盘,Wind
669,2020-11-30,苹果板块拉升，领益智造、鹏鼎控股接近涨停,Wind
670,2020-11-27,电子制造行业专题研究：未来三年谁会胜出？,新浪
671,2020-11-22,电子元件行业周报：从M1芯片读苹果生态的野望,新浪
672,2020-11-20,苹果隐瞒真相曝光！赔付7.4亿，承认iPhone12有缺陷,证券时报网
673,2020-11-18,华泰证券：“数字+科技”的化学变化正发生 2021年看好四条主线（附股）,证券时报网
674,2020-11-16,外资私募加速布局中国市场，年内调研聚焦三行业,Wind
675,2020-11-16,TMT一周谈之电子行业：LCD缺货依旧 家庭教育数字化加速,新浪
676,2020-11-14,四季度以来机构密集调研，13家苹果产业链公司,Wind
677,2020-11-14,四季度以来机构密集调研 13家苹果产业链公司,中证报
678,2020-11-12,科技产业2021年投资策略：科技进步与中美再平衡下的新机遇,新浪
679,2020-11-12,中信证券：A股科技板块估值回调后配置价值进一步凸显,证券时报网
680,2020-11-12,电子行业2021年度策略报告：深练内功 厚积薄发,新浪
681,2020-11-11,2020年年末主要宽基指数样本股调整预测：电子和医药行业个股升档较多,新浪
682,2020-11-11,量化｜电子和医药行业个股升档较多：2020年年末主要宽基指数样本股调整预测,中信证券研究
683,2020-11-11,“抢筹”A股定增，外资机构投资路线图浮现,Wind
684,2020-11-10,最新股东户数揭秘：这46股股东户数连降三期,证券时报网
685,2020-11-09,45股股东户数连降 筹码持续集中,证券时报
686,2020-11-08,【兴证电子】周报：Mini和pro max预售火爆，面板涨价再超预期,兴证电子谢恒团队
687,2020-11-06,电子行业研究：电子行业景气度上行 看好苹果产业链Q4 业绩,国金证券股份有限公司
688,2020-11-06,电子行业：苹果季报及产业链跟踪：正向解读CQ3 把握苹果链大趋势,新浪
689,2020-11-06,44股获券商买入评级，胜宏科技目标涨幅达57.06%,Wind
690,2020-11-06,【国金电子】Q3总结：电子行业景气度上行，看好苹果产业链Q4业绩,国金电子研究
691,2020-11-05,销售靠中介 研发靠大专?,金融投资报
692,2020-11-04,苹果概念股继续活跃，立讯精密、歌尔股份、蓝思科技、领益智造、长电科技普涨,Wind
693,2020-11-04,电子行业周报：IPHONE销量继续火爆 半导体基本面改善,新浪
694,2020-11-03,2020年11月金股组合：兴证策略&多行业,新浪
695,2020-11-02,苹果板块午后拉升，立讯精密、京东方A、歌尔股份、蓝思科技、鹏鼎控股普涨,Wind
696,2020-11-02,北上资金调仓！抢筹回购王，连续八个月加仓3股,证券时报网
697,2020-11-01,【中信建投电子|刘双锋&雷鸣团队】周报：苹果产业链四季度迎较强出货动能，华为入股昂瑞威加速扶持本土半导体产业链,中信建投电子研究
698,2020-11-01,领益智造(002600)：经营性业绩快速成长 各板块业务进展顺利,广发证券
699,2020-10-29,领益智造：李晓青合计减持0.0053%公司股份 减持股份,Wind
700,2020-10-29,领益智造(002600.SZ)股东李晓青已减持合计37.5万股 减持计划已完成 拟减持股份,智通财经
701,2020-10-29,三季度五大机构持仓路径曝光！,Wind
702,2020-10-29,43股股东户数连续下降（附股）,证券时报网
703,2020-10-29,光弘科技携手华勤技术、领益智造布局越南 推进全球化战略,凤凰网
704,2020-10-29,苹果概念股走势分化，立讯精密、蓝思科技、鹏鼎控股、领益智造逆市下跌,Wind
705,2020-10-29,【财报智读】领益智造：第三季度归母净利润同比下降17.73% 盈利能力下降,面包财经
706,2020-10-29,融资客青睐15股，冠豪高新买入占比高达48.47%,Wind
707,2020-10-29,领益智造：受让光弘投资24.5%股权各方共同出资设立越南子公司,格隆汇
708,2020-10-29,领益智造：拟通过光弘投资共同出资12000万美元设立越南子公司,上证报
709,2020-10-29,领益智造(002600.SZ)：携手光弘、华勤在越南投资拓展组装制程及深化海外业务,格隆汇
710,2020-10-29,光弘科技等三方拟共同出资1.2亿美元设立越南子公司,中证网
711,2020-10-29,北向资金回流，积极加仓银行板块，超12亿资金杀入特斯拉概念股（附名单）,21世纪经济报道
712,2020-10-28,光弘科技(300735.SZ)为子公司光弘投资引进新投资者领益智造,智通财经
713,2020-10-28,【安信电子|季报点评】领益智造：业绩符合预期，发挥协同效应长期成长可期,晓说电子
714,2020-10-28,【天风电子】领益智造：毛利新高，成品业务开始发力,科技伊甸园
715,2020-10-28,领益智造(002600)：三季度扣非高增长 结构件、充电器业务扭亏为盈,光大证券
716,2020-10-28,领益智造Q3业绩超市场预期 公司市值正式突破千亿,凤凰网
717,2020-10-28,领益智造：2020年前三季度归母净利同比减少31.34% 业务垂直整合加速 盈利能力下降,金融界
718,2020-10-28,39股筹码连续3期集中,证券时报网
719,2020-10-28,A股收盘综述：上证指数录升0.46%收复五日线未果，创业板、中小板连涨三日,Wind
720,2020-10-28,快讯：消费电子板块午后持续走强 领益智造触及涨停,新浪
721,2020-10-28,消费电子板块持续拉升 领益智造触及涨停,e公司
722,2020-10-28,【行情】消费电子板块午后持续走强，领益智造触及涨停，蓝思科技涨超8%，歌尔股份、奥海科技、漫步者等个股全线大涨,金十数据
723,2020-10-28,苹果板块涨幅继续扩大，领益智造、歌尔股份均创新高,Wind
724,2020-10-28,苹果概念大涨！多只龙头业绩超预期 重磅消息不断,科创板日报
725,2020-10-28,【行情】苹果产业链午后持续拉升，蓝思科技、领益智造大涨超7%，电子ETF上涨1.65%，成交近亿元,金十数据
726,2020-10-28,苹果概念股全线拉升，电子ETF涨1.65%,Wind
727,2020-10-28,【财报智读】领益智造：第三季度归母净利润8.11亿元，同比下降17.71% 盈利能力下降,面包财经
728,2020-10-28,【面包财报】领益智造：第三季度归母净利润8.11亿元，同比下降17.71% 盈利能力下降,面包财经
729,2020-10-28,明星基金经理最新持仓大曝光！,Wind
730,2020-10-28,领益智造：前三季度净利润同比减少31.34%,Wind
731,2020-10-28,【行情】苹果概念大涨，蓝思科技涨6%，欧菲光、歌尔股份、横店东磁、领益智造、环旭电子纷纷拉升,金十数据
732,2020-10-28,苹果概念股逆市活跃，蓝思科技升超5%,Wind
733,2020-10-28,筹码连续集中股名单 领益智造较上期降20%,证券时报网
734,2020-10-28,领益智造：跻身千亿俱乐部，长期布局初见成效,览富财经
735,2020-10-27,【国金电子】领益智造：领益科技稳健增长，赛尔康整合超预期,国金电子研究
736,2020-10-27,领益智造(002600.SZ)拟发行不超20亿元中期票据及不超20亿元超短期融资券,智通财经
737,2020-10-27,领益智造：第三季度净利润8.11亿元同比减少17.73% 盈利能力下降,格隆汇
738,2020-10-27,领益智造(002600.SZ)第三季度归母净利润同比下降17.73%至8.11亿元 盈利能力下降,智通财经
