278,2021-04-13,下滑12%！深南电路Q1盈利低于预期 后续业绩或仍承压 盈利能力下降,财联社
279,2021-04-13,A股异动|深南电路(002916.SZ)大跌6.65%一季度净利润降12.01%至2.44亿元 盈利能力下降,格隆汇
280,2021-04-13,东吴证券--通信行业本周专题：三大运营商乘“云”而上，华为或将重点发力云计算【行业研究】,金融界股吧
281,2021-04-13,瑞信：将深南电路评级下调至落后大盘，目标价76.50元,Wind
282,2021-04-12,深南电路：一季度净利润2.44亿元同比下降12% 盈利能力下降,格隆汇
283,2021-04-12,深南电路(002916.SZ)一季度净利润降12.01%至2.44亿元 盈利能力下降,格隆汇
284,2021-04-12,深南电路(002916.SZ)第一季度归母净利润同比下降12.01%至2.44亿元 盈利能力下降,智通财经
285,2021-04-12,深南电路：一季度净利润同比减少12.01% 盈利能力下降,Wind
286,2021-04-08,深南电路：公司已积极投入汽车电子相关技术研发，积累生产能力，并已与国内外部分知名厂商开展合作,每日经济新闻
287,2021-04-06,通信行业跟踪周报：本周专题 从华为年报看数字化转型的投资机会,新浪
288,2021-04-01,深南电路：已向深圳证券交易所预约4月13日披露一季度报告,每日经济新闻
289,2021-03-30,通信行业一周谈：三大运营商21年投资将平稳增长 中移动5G传输集采中兴份额提升显着,新浪
290,2021-03-29,通信行业跟踪周报：中国移动年报业绩向好 政策支持下智慧交通持续发力,新浪
291,2021-03-26,福斯特(603806)：胶膜龙头份额稳固 感光干膜盈利提升,国金证券股份有限公司
292,2021-03-25,迅捷兴员工学历低，产能利用率常年不足仍翻番扩能,云掌财经
293,2021-03-23,化工行业新材料板块周观点：市场供应紧缺 有机硅、电石价格强劲上涨,新浪
294,2021-03-23,深南电路：春节后PCB通信需求回暖，综合产能利用率在85-90%期间,Wind
295,2021-03-22,监管趋严，高送转成凤毛麟角，后市如何玩？,Wind
296,2021-03-22,电子元器件周报：关注电子行业创新驱动、龙头扩张的景气周期,新浪
