680,2021-01-03,【民生研究】周观点汇总：经济复苏的大方向没有改变，疫苗接种率明显提高前，风格仍将较为均衡,MS研究
681,2020-12-31,中泰证券：5G投资需关注结构性机会 重视AIOT应用与终端创新驱动的市场机遇,证券时报网
682,2020-12-29,沪指震荡向上可能性较大布局6大股春季行情,证券时报
683,2020-12-29,通信周报2020第38期：十年期5G中低频段许可证获颁 运营商5G建设稳步推进,新浪
684,2020-12-29,通信行业周报：稳中有增 云网融合,华安证券
685,2020-12-29,通信行业周报：4G用户加速向5G迁移 中兴光模块招标落地,新浪
686,2020-12-28,通信行业研究周报：电信运营商 资金层面影响 关注估值修复机会,新浪
687,2020-12-28,本周观点：与个股集萃,华安证券
688,2020-12-28,通信行业周报2020年12月第3期：通信行业2021年将迎乐观投资机会,新浪
689,2020-12-27,通信行业周报：B端应用何以落地？5G专网先行指引,新浪
690,2020-12-27,计算机行业周报：下游溢价充分体现后计算机周期料将来临,新浪
691,2020-12-25,紫光股份旗下新华三集团推出自主研发的工业边缘计算一体机,慧聪电子网
692,2020-12-24,紫光股份：旗下新华三集团iMC持续领跑中国网络管理软件市场,e公司
693,2020-12-23,通信行业周报2020第37期：5.5G开启万物智联时代 WIFI 6规模集采加速启动,新浪
694,2020-12-22,通信行业研究周报：智能汽车算力平台方案解析,新浪
695,2020-12-21,紫光股份：旗下新华三集团全线产品入围中央国家机关集采项目,Wind
696,2020-12-21,计算机行业投资周报：智慧城市订单放量 标杆示范驱动成长,新浪
697,2020-12-20,【招商通信余俊团队】400G时代全面来临，头部光模块厂商核心受益——招商通信周周谈（2020年第51周）,俊Sir通信研究
698,2020-12-20,石油化工新材料行业北上资金周报,新浪
699,2020-12-18,紫光股份旗下新华三连续八年荣列浙江省高新技术企业创新能力百强榜首,慧聪电子网
700,2020-12-16,通信周报2020第36期：中国交换机市场领先恢复 中国电信核心路由交换设备中标公布,新浪
701,2020-12-16,32股今日获机构买入评级7股上涨空间超20%,证券时报网
702,2020-12-16,再签上汽大众 紫光股份旗下紫光软件汽车行业又添新客户,e公司
703,2020-12-15,电脑硬件板块走高，中国长城涨停,Wind
704,2020-12-15,紫光股份溢价4.7倍收购加码云计算 营收净利连续双增,新浪
705,2020-12-15,紫光股份溢价4.7倍收购加码云计算 5年超200亿并购资产劲增近10倍,长江商报
706,2020-12-14,通信设备行业周报：光纤光缆集采价格发生边际改善,新浪
707,2020-12-14,通信行业周报：博通发布新一代网络芯片 800G时代谁能抢占先机？,华安证券
708,2020-12-14,34股今日获机构买入评级,证券时报网
709,2020-12-14,【机会挖掘】湖北省国企全面推进数字产业化 打造工业互联网平台（附股）,证券时报网
710,2020-12-14,紫光股份(000938)：份额提升与新业务再造一个新华三,新浪
711,2020-12-12,华为、紫光计算机进军商用PC市场 新势力如何PK行业大佬？,IT时代网
712,2020-12-12,上市公司正负面新闻2020年12月12日星期六,Wind
713,2020-12-11,紫光股份(000938.SZ)拟收购暨控股紫光云完善云计算产业链,智通财经
714,2020-12-11,紫光股份(000938.SZ)拟为两子公司提供担保 大额借贷担保,智通财经
715,2020-12-11,紫光股份(000938.SZ)：拟使用额度不超40亿元自有闲置资金进行委托理财,格隆汇
716,2020-12-11,紫光股份：拟19.09亿元收购紫光云46.67%股权,中证网
717,2020-12-11,紫光股份：拟超19亿元收购紫光云控股权,e公司
718,2020-12-11,紫光股份(000938.SZ)：拟使用开展总额不超45亿元或等值外币的外汇套期保值业务,格隆汇
719,2020-12-11,紫光股份(000938.SZ)：拟以19.1亿元收购紫光云46.67%股权,格隆汇
720,2020-12-11,紫光股份：拟收购紫光云技术有限公司控股权 交易价格19亿,新浪
721,2020-12-11,紫光股份：拟19亿元收购紫光云46.67%股权,Wind
722,2020-12-11,华为、紫光计算机组团出击 中国商用PC市场“三国鼎立”格局要结束了？,北国网
723,2020-12-11,紫光股份旗下新华三全份额中标山西省财政一体化项目,慧聪电子网
724,2020-12-10,紫光股份：旗下新华三中标呼和浩特智慧城市项目,e公司
725,2020-12-07,通信行业周报：电信设备营收保持增长 智能手机销量降幅收窄,新浪
726,2020-12-07,通信行业IAAS研究专题：投资IAAS硬件市场的短期指引与长期趋势,新浪
727,2020-12-07,【招商通信余俊团队】R17标准冻结延迟，不改5G产业快速发展趋势——招商通信周周谈（2020年第50周）,俊Sir通信研究
728,2020-12-07,【华西通信】周专题：车载毫米波雷达解析：海外主导，国产替代空间较大,香农圆桌沙龙
729,2020-12-01,【新时代计算机】周报：“PK”体系进展超预期，2021年政策驱动明显,新时代计算机
730,2020-12-01,紫光股份：全资子公司与天津市和平区教育局签订战略合作协议,e公司
731,2020-11-30,通信行业周报：智能控制器景气度提升 世界5G大会聚焦应用,新浪
732,2020-11-30,通信行业研究周报：智能座舱跨界融合趋势下 国内企业有望弯道超车,新浪
733,2020-11-30,石油化工新材料行业北上资金周报,新浪
734,2020-11-29,【招商通信余俊团队】智能网联汽车发展提速，科技巨头跑步入场，有望成为新一代超级终端——招商通信周周谈（2020年第48周）,俊Sir通信研究
735,2020-11-29,通信行业周报：从世界5G大会看5G行业应用效能,新浪
736,2020-11-27,紫光股份(000938.SZ)控股股东西藏紫光通信向屹唐同舟转让的1.62亿股已完成过户登记 减持股份,智通财经
737,2020-11-27,紫光股份：控股股东协议转让公司5.68%股份完成过户登记 减持股份,Wind
738,2020-11-27,中证指数公司将发布中证高端制造100指数等两只指数,Wind
739,2020-11-26,通信行业-物联网系列报告一：5G与WI-FI 6协同发展 高质量网络与物联网驱动,新浪
740,2020-11-26,紫光股份(000938.SZ)：将为紫光融资租赁向平安银行北京分行申请的3亿元综合授信额度提供质押担保 大额借贷担保,格隆汇
741,2020-11-26,计算机行业2020年三季报综述：景气度逐步回升 工业互联网领衔业绩增长,新浪
742,2020-11-24,【中金科技】通信设备周报：光纤光缆集采价格发生边际改善,乐平科技视角
743,2020-11-24,世界5G大会26日召开，8成公司盈利，资金悄然买入,Wind
