,2021-12-31,煤炭坐上“过山车”：价格疯涨后企稳回落,中国经营网
286,2021-06-07,来水偏枯是用电紧张的主要因素吗？,郭丽丽的研究札记
287,2021-06-07,公用事业行业周报：一季度能源双控结果出炉 低碳发展仍任重道远,新浪
288,2021-06-05,3477亿元！上交所去年股票融资额居全球首位,Wind
289,2021-06-01,公用事业行业周报：缺电加速电改 电企估值或重塑,新浪
290,2021-06-01,国投电力(600886)：未来已来 雅中潜力释放中,新浪
291,2021-06-01,平安证券维持国投电力推荐评级：未来已来，雅中潜力释放中，目标价11.70元,每日经济新闻
292,2021-05-31,国投电力(600886.SH)股东长江电力及其一致行动人累计增持比例达1%,智通财经
293,2021-05-31,国投电力：长江电力增持约6966万股，比例达到1%,每日经济新闻
294,2021-05-31,国投电力(600886.SH)：长江电力方面2月8日以来累计增持1%股份,格隆汇
295,2021-05-31,绿色能源与大宗商品周报：(2021年第4期),新浪
296,2021-05-31,公用事业行业周报：全国碳市场即将启动 新能源发电有望受益,新浪
297,2021-05-29,太突然！4500亿电茅又对同行“下手”了,中国基金报
298,2021-05-29,7年暴涨近18倍 4500亿电茅又对同行“下手” 将成这家公司第二大股东！,e公司
299,2021-05-29,4500亿电茅又对同行“下手”，将成这家公司第二大股东！7年暴涨近18倍，超级长牛何时能歇歇？,e公司
300,2021-05-29,环保公用行业周报：可再生能源电力消纳责任权重政策发布 绿色金融保驾护航,新浪
301,2021-05-28,晨会0528｜主题策略/通信下半年投资策略,中信证券研究
302,2021-05-27,5月27日晚间重要行业研究汇总(附股),中金在线
303,2021-05-26,平安证券--电力行业电力篇：原材料涨价影响系列研究-火电拐点已至，市场化电价如期上行【行业研究】,金融界股吧
