,2021-12-31,OpenHarmony 项目群 12 月新增捐赠人美的集团、深圳开鸿,IT之家
7084,2019-01-15,美的集团预计2018年盈利198至208亿元 同比增长15%至20%,TechWeb
7085,2019-01-15,家用电器：上一轮家电补贴鉴往知今 增值税税率下调雪中送炭,申万宏源
7086,2019-01-15,美的集团：业绩预告符合预期 看好长期价值,华泰证券
7087,2019-01-15,美的集团 | 盈利能力持续提升，业绩表现符合预期,长江家电研究团队
7088,2019-01-15,美的集团预计去年盈利约200亿元,北京商报
7089,2019-01-15,"家电行业周报2019第1期:发改委发声刺激家电消费,GEA版海尔食联网亮相北美CES",长城证券
7090,2019-01-15,"家电行业周报:美的集团发布华凌品牌,瞄准年轻市场",爱建证券
7091,2019-01-14,美的集团2018年净利208亿 比上年同期增长20%,挖贝网
7092,2019-01-14,公告精选：新疆交建称未开展燃料电池业务 美的集团去年净利预增15%-20%,e公司
7093,2019-01-14,美的集团：2018年预计实现净利润198亿元 同比增15%,中国网
7094,2019-01-14,美的集团：2018年度净利预增15%-20%,e公司
7095,2019-01-14,美的集团：预计2018年净利198亿元-208亿元，同比增15%-20%,Wind
7096,2019-01-14,家用电器业2018年第53周:弱周期下优选白电龙头,正点财经
7097,2019-01-14,美的集团：业绩表现符合预期 买入评级,长江证券
7098,2019-01-14,广证恒生-沪深港通月报-港股通月流入创2年新高，北上成交额创新高-20200303,广证恒生策略研究
7099,2019-01-14,节前A股有望震荡上扬 新基建、次新股可关注,钱江晚报
7100,2019-01-13,家用电器：短期利好家电板块 荐5股,广发证券
7101,2019-01-13,周末要闻2019年1月13日星期日,Wind
7102,2019-01-12,制造业产业链综合竞争力不强 专家建议利用新一轮技术革命成果,每日经济新闻
7103,2019-01-12,美的集团董事长兼总裁专题方洪波：制造业增量红利要向存量裂变的方向转变,财经网
7104,2019-01-12,美的集团方洪波：预计2018年税前利润超过260亿元,Wind
7105,2019-01-12,美的集团董事长兼总裁方洪波演讲,新浪
7106,2019-01-12,两大重磅利好或为春节红包行情保驾护航,巨丰财经
7107,2019-01-12,新一轮家电补贴即将启动 行业龙头即将绽放,巨丰财经
7108,2019-01-11,A股早报2019年1月11日星期五,Wind
7109,2019-01-11,家电行业事件点评:发改委酝酿出台促进家电消费政策,东莞证券
7110,2019-01-10,多股抱团涨停——白色家电巨头受资金青睐,大众证券报
7111,2019-01-10,A股早报2019年1月10日星期四,Wind
7112,2019-01-10,抢购家电汽车，北上资金净买入创今年新高,证券时报
7113,2019-01-10,近70亿元北上资金入场布局 A股“红包”行情仍可期,证券日报
7114,2019-01-10,发改委促消费措施激活人气 逾31亿元大单抢筹三板块,证券日报
7115,2019-01-10,"家电行业周报:美的T+3变革部分区域效果有待提升,行业渠道库存压力趋缓还需时日",浙商证券
7116,2019-01-10,"家用电器行业:发改委出台稳消费措施,家电升级成看点",山西证券
7117,2019-01-09,内地香港家电汽车股集体暴涨 大A汽车股迎机会,证券时报
7118,2019-01-09,美的集团：耗资约40亿元完成回购计划，回购的9510万股已注销,Wind
7119,2019-01-09,10年前家电下乡全面推广，10年后或又有新政来袭，家电行业要起飞？,Wind
7120,2019-01-09,美的集团旗下美的创投参与设立产业投资基金,中国家电网
7121,2019-01-09,巨丰热点：家电下乡政策点燃市场热情 春兰股份等多股盘中涨停,巨丰财经
7122,2019-01-09,曹中铭：花费40亿真金白银 美的集团回购股份值得推广,中财网
7123,2019-01-09,千只个股掀起回购潮，机构关注企业回购意愿与能力,中证报
7124,2019-01-09,"家电行业事件点评:数据告诉你,上轮家电补贴那些事",光大证券
7125,2019-01-09,"家电行业周报:变频冰箱保持良好增长,占冰箱整行业达22%",爱建证券
7126,2019-01-08,1%增长预警 美的变阵奔向数字化,第一财经
7127,2019-01-08,1月8日晚间上市公司十大重磅公告,巨丰财经
7128,2019-01-08,[公司]美的集团子公司参与设立产业投资基金,全景网
7129,2019-01-08,美的集团：子公司出资3亿元投资产业投资基金,Wind
7130,2019-01-08,巨额商誉是“白马”还是“黑天鹅”关键看公司质量 财政部：同意商誉进行摊销 资产异常,财富动力网
7131,2019-01-07,"家电行业12月报:2018年收官,高端化家电产品尽显优势",山西证券
7132,2019-01-05,巨丰访谈：央行降准有何意义？迎春牛值得期待,巨丰财经
7133,2019-01-05,股东大会前夕，TCL管理层详解“战略腾挪”,经济观察网
7134,2019-01-05,美的40亿回购给A股带来了什么,红周刊
7135,2019-01-04,美的实施40亿元巨额回购后股价仍阴跌不止 市场究竟担心什么？,中金在线
7136,2019-01-04,A股回购热潮新年更澎湃 机构全力备战,证券之星
