,2021-12-31,正泰电器：以集中竞价交易方式回购公司股份,资本邦
436,2021-04-09,安信证券：继续重点推荐光伏和风电产业链投资机会 光伏建议把握4条主线,证券时报网
437,2021-04-09,新能源上网政策 利好相关产业链,财富动力网
438,2021-04-08,电力设备行业：发改委发布2021年新能源上网电价征求意见稿 继续重点推荐,新浪
439,2021-04-08,自动化系列（8）：自动化行业再现复苏，进入新的品牌塑造期,电新产业研究
440,2021-04-06,电气设备行业周报：新势力3月销量数据亮眼 再证电动车消费力,新浪
441,2021-04-06,电力设备及新能源行业周报：电气龙头向好 光伏边际改善,新浪
442,2021-04-06,电力电气设备、公用事业行业光伏周报：玻璃降价带来组件开工回暖预期,新浪
443,2021-04-05,【方正电新丨周观点】造车新势力销量继续高增，光伏玻璃4月价格下调,申建国电新团队
444,2021-03-29,电力设备及新能源行业周报：工业利润增长利好工控 风光产业发展长期向好,新浪
445,2021-03-29,电气设备行业周报：价格博弈期产业链利润流动分析,新浪
446,2021-03-24,这一行业彻底火爆，5巨头460亿紧急杀入！,Wind
447,2021-03-22,电气设备专题报告：解密低压龙头应对大宗原料涨价之法-“预见低压”系列专题之四,新浪
448,2021-03-22,电气设备行业周报：大众POWERDAY都说了些什么？,新浪
449,2021-03-22,山东省市场监督管理局：2批次断路器产品不符合相关标准的要求 产品问题,质量新闻网
450,2021-03-21,电力电气设备、公用事业行业：光伏周报：硅片控价能力凸显,新浪
451,2021-03-19,新型电力系统构建下 碳中和概念有哪些股票？,至诚财经
452,2021-03-19,电力电气设备、公用事业行业：碳交易市场落地在即 存量CCER具备稀缺价值,新浪
453,2021-03-19,八大券商主题策略：水、火、核价值重估！新型电力系统构建下 关注哪些标的？,中金在线
454,2021-03-18,电力股再获主力资金抢筹，南网能源等多股涨停,第一财经
455,2021-03-16,新能源与电力设备行业周报：电动车中游基本面强劲依然 关注自动化与电力设备,新浪
456,2021-03-15,电气设备行业周报：新势力2020大放异彩 2021更值得期待,新浪
457,2021-03-15,电力设备及新能源行业周报：碳中和与十四五规划指引行业发展,新浪
458,2021-03-11,东吴证券--电气设备行业工控月报：工控需求高增、进口替代加速【行业研究】,金融界股吧
459,2021-03-11,光伏股复苏，隆基股份、通威股份、阳光电源、正泰电器、福莱特普涨,Wind
460,2021-03-11,新能源与电力设备行业周报2021年3月第2周：电动车中游与光伏超跌 部分公司进入合理估值区间,新浪
461,2021-03-10,中泰证券--电力设备新能源行业周观察：碳中和推动产业发展，行情景气持续向上【行业研究】,金融界股吧
462,2021-03-09,光伏这一细分领域火了，龙头加码布局，潜在市场空间达千亿,第一财经
463,2021-03-09,电力设备及新能源行业周报：光伏进入涨价博弈期 龙头企业有望夯实优势,新浪
464,2021-03-08,电力设备：“碳中和”各项规划加速落地 欧洲电车2月同比再高增,新浪
465,2021-03-08,电力设备及新能源行业周报：光伏涨价博弈后可能的三个方向,新浪
466,2021-03-08,电气设备行业周报：对于电动车 市场在担心什么？,新浪
467,2021-03-08,两部门推进电力源网荷储一体化，储能地位明显提升,Wind
468,2021-03-07,电力电气设备、公用事业行业光伏周报：产业链涨价此起彼伏 能源局平价政策陆续落子,新浪
469,2021-03-05,全国政协委员、正泰电器董事长南存辉：拥抱能源转型新时代紧抓绿色发展新机遇,证券时报网
470,2021-03-05,代表委员热议资本市场改革，打通科技资本融合“任督二脉”,Wind
471,2021-03-02,电力电气设备行业：硅料硅片价格齐涨 光伏需求持续旺盛,新浪
472,2021-03-02,新能源与电力设备行业周报2021年3月第1周：电动车中游景气度强 建议关注自动化与电力设备,新浪
473,2021-03-01,中国电研：股东正泰电器已减持约116.6万股，减持计划尚未实施完毕,每日经济新闻
474,2021-03-01,中国电研(688128.SH)：正泰电器减持期过半 累计减持116.64万股 减持股份,格隆汇
475,2021-03-01,中国电研：正泰电器通过集中竞价方式累计减持0.29%股份 减持股份,Wind
476,2021-03-01,正泰电器入选省级供应链创新与应用试点企业,工业电器网
477,2021-02-28,电力设备新能源周观察：行业景气持续向上 坚持基本面绩优标的,新浪
478,2021-02-26,上机数控(603185)：非公开发行顺利实施 硅单晶再扩10GW,国联证券
479,2021-02-25,研究 | 浙江新能：突击置入19家子公司增厚资产 子公司收购价格上演罗生门,中金在线
480,2021-02-24,电力电气设备、公用事业行业：清洁电气化助力绿色低碳循环发展经济体系,新浪
481,2021-02-22,电力设备及新能源行业周报：硅料持续供不应求 价格延续强势表现,新浪
482,2021-02-22,安信证券--电力设备行业：电动车开年延续高增，碳中和部署如火如荼【行业研究】,金融界股吧
483,2021-02-20,正泰电器入选浙江省级供应链创新与应用试点企业,新浪
484,2021-02-19,光伏ETF市场火热，户用光伏龙头正泰电器引关注,新浪
485,2021-02-08,电力设备及新能源行业周报：关注顺周期“Α＊Β” 硅料硅片价格强势,新浪
486,2021-02-07,【方正电新丨周观点】欧洲新能车增势不减，光伏龙头上调硅片报价,申建国电新团队
487,2021-02-05,电力电气设备行业：光伏硅片涨价启动 或显示下游需求旺盛 行业成长属性提升,新浪
488,2021-02-01,正泰电器：为4家全资子公司6.76亿元借款提供担保 大额借贷担保,乐居财经
489,2021-02-01,电气设备行业周报：从电动车海外财报 看景气趋势,新浪
490,2021-02-01,周报(2021.2.1)：仍看好中游，圆柱电池、六氟、光伏硅料均涨价,电新产业研究
491,2021-02-01,电力设备行业：特斯拉产能加速扩建 光伏平价时代方兴未艾,新浪
492,2021-01-30,2020年最赚钱的光伏企业是哪家？隆基股份净利润居首 这家公司亏损超26亿元 亏损,21世纪经济报道
493,2021-01-29,赛道上育新机！正泰智能制造装备赋能产业链协同创新,新浪
494,2021-01-29,中泰证券--电力设备新能源周观察：硅料价格持续上涨，关注大众MEB供应链【行业研究】,金融界股吧
495,2021-01-28,A股收盘综述：上证指数跌近2%，险守3500点,Wind
496,2021-01-28,中银证券--电力设备与新能源行业1月第4周周报：2020年全国新增风、光装机71.67GW、48.20GW【行业研究】,金融界股吧
497,2021-01-28,A股午盘综述：上证指数跌1.48%，创业板指跌2.72%,Wind
498,2021-01-27,正泰电器预计2020年度净利同比增70.46%-86.40%,北极星电力
499,2021-01-25,电力设备及新能源行业周报：风光装机超预期 储能补贴始出台,新浪
500,2021-01-25,深度*行业*电力设备与新能源行业1月第4周周报：2020年全国新增风、光装机71.67GW、48.20GW,新浪
501,2021-01-25,电力设备新能源行业周观察：硅料价格持续上涨 关注大众MEB供应链,新浪
502,2021-01-25,安信证券：电新板块欣欣向荣青眼有加龙头,金融界
503,2021-01-25,周报（2021.1.25）-六氟磷酸锂价格再涨，光伏硅料回暖,电新产业研究
504,2021-01-22,【焦点复盘】资金重回抱团！连板空间进一步压缩，科技股集体杀跌 连续下跌,财联社
505,2021-01-21,正泰电器：2020年净利同比预增70.46%-86.4%,北极星电力
506,2021-01-21,电力电气设备、公用事业行业：2020年风电新增装机超预期 电网对新能源接纳态度改善,新浪
507,2021-01-21,正泰电器(601877)：2020年归母净利润或同比增长70.5%-80.4% 户用市场展望乐观,新浪
508,2021-01-21,A股早报2021年1月21日星期四,Wind
509,2021-01-21,正泰电器：全资子公司签订约40.59亿元单晶硅片采购合同,资本邦
510,2021-01-20,晚间重要公告2021年1月20日星期三,Wind
511,2021-01-20,正泰电器2020年净利预增70%至86%,上证报
512,2021-01-20,正泰电器：预计2020年净利61.12亿至70.12亿元，同比增长70.46%到86.4%,上游新闻
513,2021-01-20,正泰电器(601877.SH)签订总价值40.59亿元的单晶硅片采购合同,智通财经
514,2021-01-20,正泰电器(601877.SH)预计2020年度归母净利润同比增长70.46%到86.40%,智通财经
515,2021-01-20,正泰电器：预计2020年净利润64.12亿元到70.12亿元，同比增加70.46%到86.40%,Wind
516,2021-01-20,正泰电器(601877.SH)：子公司与弘元新材签订单晶硅片采购合同预估合同总额为40.59亿元,格隆汇
517,2021-01-18,电力设备及新能源行业周报：上海目标2025年碳达峰 现代在粤设燃电生产基地,新浪
518,2021-01-15,A股第四家千亿市值光伏公司诞生背后：机构“抱团” 泡沫几何？,Wind
519,2021-01-13,新能源与电力设周报：电动车中游趋势不改，其余方向机会均衡（2021年1月第3周）,电新产业研究
520,2021-01-12,正泰电器：智能电气解决方案集大成者,申建国电新团队
521,2021-01-11,电力设备及新能源行业周报：12月风光装机超预期 国际巨头加速布局氢能,新浪
522,2021-01-11,电力设备新能源周观察：欧洲电动车销量超预期 光伏行业高景气,新浪
523,2021-01-11,新能源行业周度点评报告：碳排放管理办法出台 能源转型势在必行,华安证券
524,2021-01-08,今日能源看点：国网公示2021年首批可再生能源发电补贴项目清单！江苏发布“十四五”可再生能源规划征求意见稿！,国际能源网
525,2021-01-07,正泰电器：加码国际业务，提速创新裂变,新浪
526,2021-01-06,正泰电器转让研发中心100%股权予正泰集团 资产异常,乐居财经
527,2021-01-04,正泰电器(601877.SH)：拟开展商品期货套期保值业务,格隆汇
528,2020-12-31,电力电气设备、公用事业行业：发电行业碳配额最终方案无修改落地 短期火电盈利影响有限,新浪
529,2020-12-31,正泰电器拟参与国网浙江综合能源服务有限公司20%股权项目竞拍,北极星电力
530,2020-12-28,华云电力、正泰电器正式签约！国网浙江综合能源服务公司完成混改,北极星电力
531,2020-12-27,电力设备行业动态分析：行业需求有望10%+ 龙头企业加速国产替代,新浪
532,2020-12-24,正泰电器(601877.SH)：控股股东完成可交债质押专户剩余股份解除质押,格隆汇
533,2020-12-24,正泰电器：加码国际业务 提速创新裂变,中证网
534,2020-12-24,高科技、轻资产、强服务、平台化正泰电器如何蓄势再出发？ 南存辉给出12字战略密钥,上证报
535,2020-12-23,12月23日晚间重要行业研究汇总,天然橡胶网
536,2020-12-23,2021年电力设备及工业控制行业投资策略：电气设备迎来数字化、智能化时代,新浪
537,2020-12-23,20亿资金猛攻光伏ETF，正向强化板块再创新高,Wind
538,2020-12-21,正泰电器成立一智能公司，经营范围含半导体照明器件等,企查查
539,2020-12-21,技术赋能企业未来，正泰与辽泰电气达成战略合作,工业电器网
540,2020-12-17,正泰电器喜获中国机械工业科学技术奖,工业电器网
541,2020-12-17,盘前情报丨新冠疫苗大批量生产在即，华为鸿蒙2.0传来重磅消息，这些概念股值得关注,21世纪经济报道
542,2020-12-16,中控技术上市以来市值突破520亿,21世纪经济报道
543,2020-12-15,2021年度工控&电网策略报告：国产化进程加速 聚焦高成长个股,新浪
544,2020-12-14,【安信电新】低压电器：行业需求有望超10%，龙头企业加速国产替代,电新邓永康团队
545,2020-12-14,正泰电器全产业链优势凸显净利五连增 上市10年现金分红17次累计派利104亿,长江商报
