,2021-12-31,地产板块午后拉升，皇庭国际涨停，招商积余等走高,证券时报网
268,2021-10-28,新城控股：2021年第三季度净利润约15.78亿元，同比增长3.01%,每日经济新闻
269,2021-10-28,新城控股：前三季度净利58.84亿元 同比增长24.24%,财联社
270,2021-10-28,新城控股：前三季度净利润同比增长24.24%,Wind
271,2021-10-28,A股快报 | 地产板块下跌1.23% 新城控股领跌3.31%,观点地产网
272,2021-10-27,A股快报 | 地产板块下跌0.47% 新城控股现跌2.89%,观点地产网
273,2021-10-26,20 家房企商业地产大比拼：资产模式由重转轻，考验运营能力,ZAKER
274,2021-10-26,房地产行业研究周报：房产税试点落地 政策空间灵活,新浪
275,2021-10-26,行业寒冬中的锚定者,和讯
276,2021-10-25,新能源引爆A股，房地产却绿了！发生了什么？,Wind
277,2021-10-25,地产行业周报：房地产税试点渐行渐近 地方楼市政策微调,新浪
278,2021-10-25,A股午盘综述：碳中和扛旗引领市场方向，宁德时代、比亚迪均创新高,Wind
279,2021-10-25,上证指数低开0.23%，创业板指涨0.56%,Wind
280,2021-10-25,房地产板块两连阳，机构称行业信贷压力有望缓解,Wind
281,2021-10-24,【华西地产】行业周报20211023：房地产税改革试点，授权国务院开展期限五年,地产由我说
282,2021-10-23,房地产行业研究：房地产税试点靴子落地 短期利空出尽,国金证券股份有限公司
283,2021-10-23,银行股地产股轮番发力，低估值板块资金关注度提升,Wind
284,2021-10-22,聚焦品质运营，新城控股持续升级幸福体验标准,搜狐
285,2021-10-22,新城控股吾悦广场降价触红线 多城联动推行的特价房活动被叫停,中国经济网
286,2021-10-22,新城控股：“18新控05”付息日10月29日,Wind
287,2021-10-22,年内41只次新股跌破发行价，3只跌超30%,Wind
288,2021-10-22,中一签亏6000，新股一上市就破发！煤炭又崩了,Wind
289,2021-10-22,解盘：百亿资金流入，光刻胶、半导体、磷化工领涨,Wind
290,2021-10-22,A股午盘综述：半导体产业链、地产、家电复苏，煤炭、钢铁板块调整,Wind
291,2021-10-22,新城控股股价涨9.7% 现报40.20元,乐居财经
292,2021-10-22,快讯：新城控股涨停 报于40.32元,金融界
293,2021-10-22,新城控股股价涨停 现报40.32元,乐居财经
294,2021-10-22,A股快报 | 地产板块上涨4.52% 新城控股领涨10.01%,观点地产网
295,2021-10-22,快讯：房地产板块开盘走强，新城控股涨10％,乐居财经
296,2021-10-22,新城控股首板，券商称四季度是地产行业较好布局时机,Wind
297,2021-10-22,地产板块连续拉升，新城控股、世联行涨停,Wind
298,2021-10-22,银河证券：看好港股优质物业管理公司,Wind
299,2021-10-22,地产股拉升：津滨发展连续第二日涨停，新城控股逼近涨停,格隆汇
300,2021-10-22,快讯：房地产板块开盘走强 新城控股涨超8%,新浪
301,2021-10-22,地产板块急速拉升，津滨发展两连板、新城控股冲击涨停,Wind
302,2021-10-22,A股10月22日地产股开盘：新城控股涨4.75%,乐居财经
303,2021-10-22,【行情】房地产板块开盘走强，新城控股涨超8%，金科股份、津滨发展、保利发展、万科A跟涨,金十数据
304,2021-10-21,"新城控股现3笔大宗交易 共成交1,110.00万元",新浪
305,2021-10-21,新城控股今日大宗交易成交30万股，成交价37.0元溢价0.95%,Wind
306,2021-10-21,A股快报 | 地产板块收涨2.68% 新城控股收盘领涨6.23%,观点地产网
307,2021-10-21,房地产板块盘中拉升，保利发展、新城控股涨超5%,乐居财经
308,2021-10-21,A股快报 | 地产板块上涨1.44% 新城控股领涨4.64%,观点地产网
309,2021-10-21,被美元债吓破了胆，是不是该关注被拖累、错杀的地产股？,和讯
310,2021-10-20,朝闻国盛：外资配置型资金小幅撤离,新浪
311,2021-10-20,房地产行业统计局数据月度跟踪报告(2021年9月)：地产投资单月同比转负 居民按揭降幅持续收窄,光大证券
312,2021-10-20,国盛证券：给予新城控股买入评级,证券之星
