268,2021-05-12,开源证券--汽车行业周报：多家公司4月销量数据出炉，比亚迪实现销量同环比双位数上涨【行业研究】,金融界股吧
269,2021-05-12,【行业点评】4月整体批发同比+10.5%，新能源渗透率持续提升,东吴汽车黄细里团队
270,2021-05-12,汽车行业周报：景气度向上 Q2配置时点,新浪
271,2021-05-11,【国信汽车|年报一季报总结】：行业复苏，集中度提升，智能电动加速升级,微信
272,2021-05-11,【山证汽车】行业周报 ：销量增速趋缓，中汽协预估4月同比增长5% （20210503-20210509）,山西证券研究所
273,2021-05-10,星宇股份(601799)2020年年报及2021年一季报点评：业绩高速增长 经营再上台阶,新浪
274,2021-05-10,星宇股份(601799)：业绩符合预期 毛利率持续改善,新浪
275,2021-05-10,山西证券--汽车行业周报：销量增速趋缓，中汽协预估4月同比增长5％【行业研究】,金融界股吧
276,2021-05-10,汽车行业：悲观预期在加速反映,新浪
277,2021-05-10,新能源汽车行业周报：北上广等六城市成智能网联汽车第一批试点城市,渤海证券
278,2021-05-10,晨会聚焦210510重点关注通信、计算机、保险、钢铁、汽车汽配、社会服务、纺织服装、证券、医药、家电,国信研究
279,2021-05-10,汽车周报：上海新能源车新政促消费结构上移 行业终端需求稳健折扣持续收拢,新浪
280,2021-05-09,汽车行业2020&2021Q1财报总结：行业走出深幅调整期 盈利能力修复,新浪
281,2021-05-08,【长城汽车|孙志东团队】2021Q1汽车板块基金持仓点评：Q1汽车板块维持低配，机构增持重汽，北上增持科博达、星宇、宇通,东观车市
282,2021-05-08,【山证汽车】星宇股份（601799.SH）：利润端整体改善，业绩符合预期,山西证券研究所
283,2021-05-08,主力砸盘多只大白马，卖出资金超6亿，释放什么信号,Wind
284,2021-05-07,东方证券维持星宇股份买入评级：业绩符合预期，产能扩张及新订单将保障盈利增长，目标价204.8元,每日经济新闻
285,2021-05-07,众车企4月销售数据亮眼，机构建议围绕“优中选优”思路选股,第一财经
286,2021-05-07,汽车专题报告：景气复苏 业绩回暖,新浪
287,2021-05-07,中小盘周报：360入局“造车” 新增推荐早餐龙头巴比食品,新浪
288,2021-05-06,6城首批试点智能网联汽车协同发展，钛白粉再迎涨价潮丨明日主题前瞻,第一财经
289,2021-05-06,汽车行业2020年年报总结：疫情带来短期扰动 行业展现较强韧性,新浪
290,2021-05-06,东方证券维持星宇股份买入评级：业绩符合预期，毛利率持续改善，目标价204.8元,每日经济新闻
291,2021-05-06,5月6日晚间重要行业研究汇总(附股),中金在线
292,2021-05-06,东方证券：星宇股份（601799.SH）业绩符合预期，维持“买入”评级,智通财经
293,2021-05-06,汽车行业周报：持续鼓励汽车下乡与新能源车消费,新浪
294,2021-04-30,山西证券维持星宇股份增持评级：利润端整体改善，业绩符合预期,每日经济新闻
295,2021-04-29,自动驾驶来了！重磅文件将发布，商业化加速落地,Wind
296,2021-04-29,国信证券给予星宇股份买入评级，2020年报暨2021一季报点评：目标均价涨幅43.71%，近期获3份券商研报关注,每日经济新闻
