,2021-12-31,中国交建：截至目前公司与福田汽车没有具体的业务合作,每日经济新闻
2339,2019-12-26,中国交通建设拟发行20亿元公司债券！分两个品种发行！主承销商为中信证券？,乐居财经
2340,2019-12-26,中字头板块异动，中国建筑、中国交建、中国铁建短线拉升,Wind
2341,2019-12-25,解密主力资金出逃股连续5日净流出571股,证券时报网
2342,2019-12-25,325只股破净3股股价不足每股净资产一半,证券时报网
2343,2019-12-25,"中国交建(601800.SH)""19交建Y3""票面利率为3.88%",格隆汇
2344,2019-12-25,【中交建可续期小公募】不超20亿/3+N年（3.5%-4.5%）、5+N年（3.8%-4.8%）/AAA/今日簿记,中信建投固定收益部
2345,2019-12-25,国网河北电力电动汽车充电量同比翻一番,国家电网
2346,2019-12-24,解密主力资金出逃股连续5日净流出575股,证券时报网
2347,2019-12-24,两市破净股数量达322只（附股）,证券时报网
2348,2019-12-24,近日我司公司债券推介,中信建投固定收益部
2349,2019-12-23,接力价值投资 “挖坑”后大基建将迎来“升”机,红周刊
2350,2019-12-23,33只AH股溢价超100%,证券时报网
2351,2019-12-23,2019年我国建筑行业发展现状及竞争格局分析 特、一级资质企业对行业发展的贡献明显【组图】,前瞻研究院
2352,2019-12-23,《中央企业海外社会责任蓝皮书（2019）》发布,一带一路高参
2353,2019-12-21,2020年投资A股怎么赢,红周刊
2354,2019-12-20,中国铁建抛出首单“A拆A”预案 机构推演央企“分拆概念”清单,21世纪经济报道
2355,2019-12-19,央企打响分拆A股上市一枪 机构看好更多基建股分拆上市,第一财经
2356,2019-12-19,宋海良出席2019中国品牌论坛，公司入围“中国品牌发展（企业）指数100榜单”,中国交建
2357,2019-12-19,从冲刺跑到耐力赛，2019这一年环保企业都在做什么？,环保在线
2358,2019-12-19,央企打响分拆A股上市一枪！概念股走热，这些基建巨头要看紧了,e公司
2359,2019-12-18,中国交建联合体中标渝湘复线、武隆至道真高速公路PPP项目,中国交建
2360,2019-12-18,近日我司公司债券推介,中信建投固定收益部
2361,2019-12-17,A股中国交建天津一子公司因违规遭监管部门通报批评 其他违规处罚,中华网
2362,2019-12-17,中国中铁：8000亿营收大关完成在际，股价为何跌跌不休？,财华社
2363,2019-12-16,【申万宏源建筑】中央经济工作会议定调稳增长利好基建，金融数据超预期保障落地,申万宏源建筑行业研究
