235,2021-07-30,利好政策接连出台 上海临港紧抓发展机遇未来可期,发布易
236,2021-07-30,上海临港拟发行10亿元248天超短期融资券，用于偿债,乐居财经
237,2021-07-30,上海临港拟发行10亿元超短期融资券，期限为248天,乐居财经
238,2021-07-29,集成电路企业讲述“技术之道”，破题资本未来三年投资逻辑,第一财经
239,2021-07-28,上海临港(600848.SH)：完成兑付本息10.10亿元超短期融资券,格隆汇
240,2021-07-28,上海临港(600848.SH)2021年度第二期超短期融资券兑付完成,智通财经
241,2021-07-28,上海临港参股成立数字产业发展公司，注册资本10亿元,搜狐
242,2021-07-27,芯源微(688037)：上半年业绩高增长 涂胶显影设备龙头加速受益,新浪
243,2021-07-26,注册资本2亿元，宁德时代上海临港成立智能科技公司,盖世汽车
244,2021-07-26,深度*行业*半导体新股系列4-拓荆科技：主导PECVD、SACVD、ALD等薄膜沉积设备国产化,新浪
245,2021-07-25,上海临港滴水湖最大风力12级，浦东共转移安置93070人,澎湃新闻
246,2021-07-21,上海临港：完成发行10亿元超短期融资券，票面利率2.62%,乐居财经
247,2021-07-21,上海临港：持续开展“智造焕新”建设行动全面推进重点行业数字化、智能化升级,财联社
248,2021-07-20,环境影响报告书公众意见征求的登报公示,浦东时报
249,2021-07-19,房地产行业跟踪报告：打造社会主义现代化建设引领区 浦东园区受益,新浪
250,2021-07-19,上海临港(600848.SH)：完成发行10亿元超短期融资券,格隆汇
251,2021-07-19,A股收盘综述：沪指震荡，网络安全、中药题材花开两朵,Wind
252,2021-07-19,A股午盘综述：三大股指午前均有抬头迹象,Wind
253,2021-07-16,中信证券解读浦东新政：掘金4条主线，点睛5大金股,Wind
254,2021-07-16,A股异动：上海本地股由涨转跌，上海临港跌近7%、陆家嘴跌4%,证券之星
255,2021-07-16,重磅文件支持浦东新区发展，上海本地股拉升走高，关注四投资主线,证券时报网
256,2021-07-15,上海临港参股成立航空产业发展公司，注册资本5亿元,贝壳财经
257,2021-07-15,上海临港联合光明食品注资5亿元成立航空产业发展公司,乐居财经
