,2021-12-31,中国神华与辽宁能源集团签署战略合作框架协议,e公司
199,2021-10-28,中国神华：产煤年度长协价格采用“基准价+浮动价”的定价模式，动力煤5500大卡下水基准价格为535元/吨,每日经济新闻
200,2021-10-28,中国神华：公司参与金融衍生交易非常少,每日经济新闻
201,2021-10-28,中国神华：公司自产煤年度长协价格，根据国家发改委的指导意见，采用“基准价+浮动价”的定价模式,每日经济新闻
202,2021-10-28,中国神华：目前公司运营的发电资产主要是火电和少量的水电,每日经济新闻
203,2021-10-28,中国神华：公司规划“十四五”期间每年增加新能源装机容量不低于60万千瓦（主要是风电和光伏发电）,每日经济新闻
204,2021-10-28,【异动股】中国神华(01088.HK)跌3.01%,财华社
205,2021-10-27,中泰证券给予中国神华买入评级：煤炭业务量价齐升，前三季度业绩增长稳健,每日经济新闻
206,2021-10-27,ATFX港股：动力煤及焦煤涨价预期消失，中国神华或深幅回调,金融界
207,2021-10-27,南向资金净卖出22.18亿港元，腾讯控股遭净卖出4.69亿港元居首,Wind
208,2021-10-27,煤炭板块大幅下挫，兖州煤业跌近9%，中国神华等走低,证券时报网
209,2021-10-27,【异动股】中国神华(01088.HK)跌3.43%,财华社
210,2021-10-27,中国神华成立热电公司，注册资本28.91亿,贝壳财经
211,2021-10-27,动力煤7个交易日价格近腰斩，煤≠美,智通财经
212,2021-10-27,快讯：煤炭股集体下跌 兖州煤业跌超6%中国神华跌近3%,新浪
213,2021-10-27,港股盘前必读：小鹏P5因毫米雷达供货短缺影响部分车型交付,Wind
214,2021-10-27,煤企电企三季报冰火两重天，电价市场化有望推动火电企业价值重估,Wind
215,2021-10-26,煤企电企三季报冰火两重天，电价市场化有望推动火电企业价值重估,21世纪经济报道
216,2021-10-26,能源材料行业跟踪,新浪
217,2021-10-26,前瞻性研究行业月报：绿色能源与前瞻性产业月报(2021年10月报),新浪
218,2021-10-26,金融街下午茶2021年10月26日星期二,Wind
219,2021-10-26,恒指收跌0.36%，内房股走弱,Wind
220,2021-10-26,发改委明确电网企业代理购电工作有关事项，建立健全电网企业市场化购电方式,Wind
221,2021-10-26,港股异动 | 兖州煤业股份(01171)跌超5%领跌煤炭股 小摩称煤炭短缺最坏情况已过 下调两只煤炭股评级 投资评级恶化,智通财经
222,2021-10-26,解盘：百亿资金流入，锂电池、大基建、稀土、特斯拉领涨,Wind
223,2021-10-26,【异动股】中国神华(01088.HK)跌3%,财华社
224,2021-10-26,华金证券：给予中国神华增持评级,证券之星
225,2021-10-26,华金证券维持中国神华增持评级：煤炭板块带动业绩释放，归母净利创同期历史新高,每日经济新闻
226,2021-10-26,*瑞信升中国神华(01088)目标价5.9%至21.5港元 维持“跑赢大市”评级,和讯
227,2021-10-26,【动力煤】日报-2021-10-25-“有效市场与有为政府”下动力煤开始快速回调,英大期货
228,2021-10-26,煤企和电企三季报业绩现“冰火两重天”,Wind
229,2021-10-26,刘格菘、黄兴亮、邹曦、陈一峰等知名基金经理三季报持仓大曝光！,Wind
230,2021-10-25,中国神华：国能低碳基金已在中国证券投资基金业协会完成备案手续,Wind
231,2021-10-25,三季报火热披露！4张图看清600家公司业绩和偿债能力,Wind
232,2021-10-25,A股收盘综述：碳中和主宰市场，宁德时代、比亚迪、国电南瑞齐创新高,Wind
233,2021-10-25,国盛证券维持中国神华买入评级：长协销售保障业绩稳健，电价上浮有望打开成长空间,每日经济新闻
234,2021-10-25,解盘：资金持续流入，锂电材料、储能、电源设备、新能源领涨,Wind
