,2021-12-31,消息称立讯精密将成苹果顶级供应商：逐步取代富士康,快科技
3662,2018-07-20,富士康将推“区块链”智能手机：不仅仅是挖矿,中关村在线
3663,2018-07-19,278只次新股披露中报预告 三成宣告“变脸”,金融投资报
3664,2018-07-18,"制造巨无霸实力强大,品牌转型是富士康的关键",维库电子市场
3665,2018-07-18,夏普手机官方微博突然清空 疑似退出中国？,TechWeb
3666,2018-07-17,花旗给予工业富联买进初始评级，看好其销售和盈利展望,金融界
3667,2018-07-17,“全球代工之王”谁来接班?他说，被我骂最凶的人,搜狐
3668,2018-07-16,谁是富士康接班人？郭台铭：被我骂的越凶，越有可能是接班人,搜狐
3669,2018-07-16,富士康接班人爆料！郭台铭：被我骂得最凶的最有机会,搜狐
3670,2018-07-16,富士康8月或与印度马哈拉托特拉邦签署建厂协议,新浪
3671,2018-07-16,富士康与印度马哈拉施特拉邦接近达成投资协议,金融界
3672,2018-07-13,不走寻常路，富士康在硅谷成立人工智能公司,维库电子市场
3673,2018-07-12,信心堪比黄金，A股量价齐升成交额破4000亿元，增量资金入场？,Wind
3674,2018-07-12,收评：中兴通讯强势涨停 A股人气回暖收涨2.16%,央视
3675,2018-07-12,巨丰资金流向：市场强势反弹一扫贸易阴霾 电子元件板块成今日吸金王,巨丰财经
3676,2018-07-12,独角兽板块集体大涨，宁德时代强势涨停,Wind
3677,2018-07-12,独角兽概念股集体大涨 工业富联午后逼近涨停,腾讯网
3678,2018-07-12,快讯：两市维持高位 工业富联一度冲击涨停,第一财经
3679,2018-07-12,工业富联午后逼近涨停，宁德时代大涨7%，药明康德大涨5%,每日经济新闻
3680,2018-07-12,工业富联：贸易战未对公司产生较大影响，有充分应对能力及对策,Wind
3681,2018-07-12,纬创并未被淘汰出局：今年可能代工6.1英寸LCD版iPhone,TechWeb
3682,2018-07-12,工业富联：资产负债率进一步下降,中证网
3683,2018-07-12,沃特股份：为工业富联、海信、联想等的材料供应商,中证网
3684,2018-07-12,快讯：富士康概念股早盘走强 春秋电子意华股份涨停,新浪
3685,2018-07-12,[互动]工业富联：已在大量使用工业机器人,全景网
3686,2018-07-12,[互动]工业富联：工业互联网对外服务板块将成利润增长点,全景网
3687,2018-07-11,郭台铭: 中国可以做出自己的芯片和操作系统,元器件交易网
3688,2018-07-11,[中性评级]证券行业7月投资策略：龙头优势继续演绎 估值修复可期,中财网
3689,2018-07-11,富士康成立人工智能公司 开发实现工厂生产自动化的AI技术,维库电子市场
3690,2018-07-11,富士康已在硅谷成立AI公司 计划招募100名专业人员,TechWeb
3691,2018-07-10,打新基金名存实亡:收益成鸡肋 国投瑞银新价值遭清盘,中金在线
3692,2018-07-09,新股网下申购收益成“鸡肋” 打新基金已名存实亡,第一财经
3693,2018-07-08,沪市公司上半年投资价值凸显 增持回购彰显信心,上交所
3694,2018-07-07,富士康一年裁员37万？富士康：谣言,Wind
3695,2018-07-07,富士康一年裁员37万？富士康：谣言,21世纪经济报道
3696,2018-07-06,数据王：科技股成为主力交易主要标的 3只个股吸金超13亿元,巨丰财经
3697,2018-07-06,桂浩明：小米估值下降？“独角兽”有望回归理性,搜狐
3698,2018-07-06,富士康投资美国，华为搬迁东莞，谁之过？,搜狐
3699,2018-07-06,富邦证券：今秋新iPhone大部分由富士康代工 没有纬创资通,TechWeb
3700,2018-07-06,[推荐评级]工业富联(601138)调研纪要：工业互联网市场前景广阔 公司技术积累雄厚,中财网
3701,2018-07-06,险资打新热情不减 半年浮盈1.69亿元,证券日报
3702,2018-07-05,"中小盘IPO专题:IPO发行速度减缓叠加底仓亏损,网下打新账户数量下滑超千只",正点财经
3703,2018-07-05,宁德时代、药明康德、工业富联盘中拉升,e公司
3704,2018-07-05,中金公司：首次给予工业富联推荐评级 目标价21.7元,新浪
3705,2018-07-05,工业富联：全球领先的通信网络设备制造商,中金公司
3706,2018-07-05,因品质管理问题 纬创无缘新iPhone手机代工,TechWeb
3707,2018-07-05,从智能家居的几经沉浮，看优点科技如何解锁时代大门,搜狐
3708,2018-07-05,巨丰早评：短线提防创业板破位创新低,巨丰财经
3709,2018-07-05,万科半年“期中考”放榜 收金3047亿元与宝万残影,观点地产网
3710,2018-07-05,“独角兽”IPO抬高打新收益 券商半年打新浮盈3000万,证券日报
3711,2018-07-05,解码上半年新股之最,北京商报
3712,2018-07-04,准时达亮相美国威州工业展，颠覆当地企业对供应链的认知,仓储自动化网
3713,2018-07-04,巨丰微策略：强势股为何补跌？,巨丰财经
3714,2018-07-04,巨丰收评：创业板补跌打破市场预期,巨丰财经
3715,2018-07-03,A股上半年IPO融资额同比下降26%，下半年或将继续从严,澎湃新闻
3716,2018-07-03,528亿资金争夺20股：主力资金重点出击10股(名单),新浪
3717,2018-07-03,谁能圆梦互联网造车？成为汽车行业的“富士康”,第一电动网
3718,2018-07-03,A股再创新低 阿里CDR项目后延,21世纪经济报道
3719,2018-07-02,富士康年底推出九摄像头手机，这个造型雷死人,搜狐
3720,2018-07-02,IPO募资少收了三五斗,深圳商报
3721,2018-07-02,[推荐评级]智能制造系列深度报告之六：装备制造业视角的工业互联网发展机会,中财网
3722,2018-07-02,宋清辉：工业富联想象空间不如药明康德大,搜狐
3723,2018-07-01,Light获富士康投资：将在年底发布9颗摄像头的手机,驱动之家
3724,2018-07-01,18天，我赚了1万2！,融360
3725,2018-06-30,特朗普赞富士康新工厂是“世界第8大奇迹”，补贴达40亿美元,搜狐
3726,2018-06-30,孙金钜：CDR对流动性影响与战略配售基金收益测算探讨,金融界
3727,2018-06-30,富士康投百亿美国建厂，留给这些城市的时间不多了,和讯
3728,2018-06-30,机构大笔抛售！5天市值蒸发近1500亿！这家上市公司跌惨了,和讯
3729,2018-06-30,巨丰访谈：月底暴力反弹揭示重大信号 7月将开启真正长牛的契机？,巨丰财经
3730,2018-06-30,三只独角兽折射不同投资方向,金融投资报
3731,2018-06-30,特朗普再发推夸富士康在美工厂“不可思议”,汇通网
3732,2018-06-30,富士康美国面板厂正式营运前 还需两项许可,元器件交易网
3733,2018-06-30,IPO上半年融资不到千亿 从严审核下“堰塞湖”快速泄洪,21世纪经济报道
3734,2018-06-29,深圳城中村改造之困,中国经营网
3735,2018-06-29,万科股东会:不知宝能接盘方 万科10年后不是地产公司,中证网
