212,2021-06-25,3200亿元资金次第入场，次新基金建仓助推A股行情,Wind
213,2021-06-24,次新基金快速建仓！超3200亿元资金蓄势待发,Wind
214,2021-06-24,券业一哥欲设资管子公司，未来还要发力公募，影响有多大,Wind
215,2021-06-24,“期货一哥”永安期货上市之路突遭变故,新浪
216,2021-06-23,57家券商聘任CIO已成券业“标配”，券商IT投入秀肌肉，东财与平安连续两年占比前二，中泰华泰跃升,证券之星
217,2021-06-23,52家券商聘任CIO已成券业“标配”，券商IT投入秀肌肉，东财与平安连续两年占比前二，中泰华泰跃升,财联社
218,2021-06-23,59家券商聘任CIO已成券业“标配”，券商IT投入秀肌肉，东财与平安连续两年占比前二，中泰华泰跃升,财联社
219,2021-06-23,高管出走，“期货一哥”永安期货IPO之路又遇障碍？ 董监高成员变化,证券之星
220,2021-06-22,21深度丨规避分拆细则致控股股东“消失”，“期货一哥”永安上市之路蒙尘,21世纪经济报道
221,2021-06-21,永安期货IPO新进展：已收到证监会反馈意见，需对51个问题补充披露,和讯
222,2021-06-17,中小券商排兵布阵进行时：年内10家上市券商高管团队迎新,第一财经
223,2021-06-16,上半年上市券商逾40名高管变更！中小券商人才流动更频繁 董监高成员变化,中证报
224,2021-06-15,财通证券(601108.SH)独立董事汪炜任职期满继续履职,智通财经
225,2021-06-15,A股午盘综述：上证指数下跌0.9%；金融、资源股全线走低,Wind
226,2021-06-11,财通证券：浙江金控和浙江财开累计出售财通转债380万张,每日经济新闻
227,2021-06-11,财通证券控股股东及其一致行动人合计减持可转债380万张 可转债减持,和讯
228,2021-06-11,财通证券(601108.SH)：控股股东方面累计减持财通转债380万张 减持股份,格隆汇
229,2021-06-11,财通证券(601108.SH)控股股东及一致行动人减持380万张财通转债 减持股份,智通财经
230,2021-06-11,财通证券：控股股东及其一致行动人减持10%可转债 可转债减持,Wind
231,2021-06-08,财通证券(601108.SH)：“财通转债”自6月16日起可转股 转股价为13.13元/股,智通财经
232,2021-06-08,财通证券：“财通转债”6月16日起开始转股,Wind
233,2021-06-07,DataPipeline实时数据融合平台V3.0里程碑版发布！澎湃新动能,砍柴网
234,2021-06-04,财通证券(601108.SH)完成发行25亿元短期融资券,智通财经
235,2021-06-04,财通证券(601108.SH)：成功发行25亿元超短融,格隆汇
236,2021-06-04,九牧王2020年度分红“缩水”超两成：报告期内营收净利双双下滑、五家子公司接连两年亏损 亏损,和讯
237,2021-06-03,医美脱发概念走红，振东制药“爽约”反获机构追捧,Wind
238,2021-06-01,“财通转债”转股价格由13.33元/股调整为13.13元/股,Wind
239,2021-06-01,财融汇·日间资讯,财通证券融资融券部
240,2021-05-31,财通证券(601108.SH)：2020年度拟10派2元 6月4日股权登记,格隆汇
241,2021-05-31,财通证券(601108.SH)于6月7日每股派发现金红利0.2元,智通财经
242,2021-05-28,财通证券配股方案获浙江省财政厅同意,证券日报网
243,2021-05-28,财通证券(601108.SH)拟以配股实施再融资获浙江省财政厅同意,智通财经
244,2021-05-27,"财通证券现1笔大宗交易 共成交7,616.75万元",新浪
245,2021-05-27,财通证券今日大宗交易成交751.90万股，成交价10.13元折价10.35%,Wind
246,2021-05-26,20cm大号涨停！炒错了？公司：我没参加鸿蒙系统建设,Wind
247,2021-05-23,财通证券董事长陆建强：全速推进“数智财通”建设，引领行业数字化改革新浪潮,证券时报网
248,2021-05-19,财通证券召开股东大会 谋定数字化发展主线,证券时报网
249,2021-05-19,财通证券推进公司数字化转型,上证报
250,2021-05-17,财通证券(601108.SH)：控股股东承诺全额认购可配售股份,格隆汇
251,2021-05-15,【中原非银】财通证券(601108)2020年年报点评：经纪、投行、信用驱动公司业绩持续改善,中原证券研究所
252,2021-05-12,非银金融行业周报：收入普增 业绩驱动因素分化,新浪
253,2021-05-10,财通蝶变：金融为本 品牌为翼,证券时报网
254,2021-05-09,券商业绩大分化！自营业务拉开业绩差距,Wind
255,2021-05-07,券商行业周报：一季报业绩显着提升 头部券商表现亮眼,新浪
256,2021-05-07,财通证券：业务扩张致经营净现金流为负 风险覆盖率跌幅较大,面包财经
257,2021-04-29,财通证券两大业务均增逾200% 80亿元配股预案继续加码,每日经济新闻
258,2021-04-29,牛市旗手彻底爆发！啥情况？3家券商首季营收超百亿,Wind
259,2021-04-29,张坤、刘彦春还爱吗？茅台罕见失速，1日跌600亿,Wind
260,2021-04-29,财通证券去年人均薪酬福利63万元 拟配股募资80亿,中国经济网
261,2021-04-29,财通证券2020年净利润近23亿元同比增长22.34%,和讯
262,2021-04-29,财通证券抛不超80亿元配股预案,证券日报网
263,2021-04-29,成绩单！财通证券：2020年度净利润约22.92亿元，同比增加22.34%,每日经济新闻
264,2021-04-28,财通证券：公司及控股子公司累计对外担保金额为14亿元 大额借贷担保,每日经济新闻
265,2021-04-28,财通证券：2021年第一季度净利润约4.47亿元，同比增长130.69%,每日经济新闻
266,2021-04-28,又一券商营收、净利创下五年新高，财通证券自营增超2.5倍亮眼，资管主动规模占比超九成,财联社
267,2021-04-28,财通证券2020年两大业务收入暴增逾200%，最新80亿配股预案重金布局！,每日经济新闻
268,2021-04-28,财通证券：一季度净利润同比增长130.69%,Wind
269,2021-04-28,财通证券(601108.SH)拟配股募资不超80亿元,智通财经
270,2021-04-28,财通证券：2020年实现净利润22.92亿元 同比增长22.34%,中证网
271,2021-04-28,财通证券：2020年净利润同比增长22.34%,Wind
272,2021-04-28,财通证券(601108.SH)一季度归母净利同比增长131%至4.47亿元,智通财经
273,2021-04-28,财通证券(601108.SH)年度归母净利同比增长22%至22.92亿元 拟10派2元,智通财经
274,2021-04-28,财通证券：一季度实现净利润4.47亿元 同比增长130.69%,中证网
275,2021-04-28,财通证券(601108.SH)一季度净利润升130.69%至4.47亿元,格隆汇
276,2021-04-28,财通证券(601108.SH)2020年度净利润升22.34%至22.92亿元 拟10派2元,格隆汇
277,2021-04-28,财通证券股份有限公司 2021年第一季度报告正文,证券日报
