269,2021-11-11,北向资金杀回马枪超86亿资金回流A股，东方财富获大幅净买入超18亿,Wind
270,2021-11-11,恩捷股份踏上宁德时代的“战车”，两巨头携手扩产锂电隔膜,金融界
271,2021-11-11,资本动态 | 锂电池隔膜或成新“缺口”，宁德时代拟与恩捷股份80亿元布局隔膜产能,财经网
272,2021-11-11,宁德时代联手恩捷股份 李闻捷:产业链上下游协作 有助于技术创新实现双赢,第一财经
273,2021-11-11,光大证券：给予恩捷股份增持评级,证券之星
274,2021-11-11,恩捷股份将与宁德时代成立平台公司,中国能源网china5e
275,2021-11-11,A股异动丨恩捷股份(002812.SZ)涨逾5% 与宁德时代80亿合建干法及湿法隔离膜项目,格隆汇
276,2021-11-11,犀牛财经早讯：高盛三季度持仓公布 汇绿生态股票将重新上市,GPLP犀牛财经
277,2021-11-11,上证早知道│公共充电桩数量10月同比增长近六成；科改示范企业将扩围；宁德时代牵手恩捷股份,上证报
278,2021-11-11,重磅突发！狂砸80亿，万亿“宁王”联手2000亿“隔膜茅”干大事,中证报
279,2021-11-11,布局锂电上游材料再出手 宁德时代牵手恩捷股份,上证报
280,2021-11-11,"股民沸腾了！狂砸80亿，万亿“宁王""联手2300亿“隔膜茅”放大招！",Wind
281,2021-11-10,恩捷股份将与宁德时代成立平台公司 投资80亿元建设36亿平干湿法隔膜项目,e公司
282,2021-11-10,每日财报|恩捷股份牵手宁德时代 中国平安继续回购,每日财报
283,2021-11-10,【金财富早知道】2021-11-11,赢家之星
284,2021-11-10,晚间要闻2021年11月10日星期三,Wind
285,2021-11-10,恩捷股份：与宁德时代开展合作 投资隔离膜项目,中证网
286,2021-11-10,[公司]恩捷股份勃发向未来 联手“宁王”共拓隔膜新征程,全景网
287,2021-11-10,【热点零距离】拟定增募资128亿元！隔膜龙头恩捷股份积极扩产锂电隔膜项目,财华社
288,2021-11-10,【晚间公告抢先看】亿纬锂能称磷酸铁锂电池现已实现量产的产能、中伟股份拟在欧洲开展电池回收等合作,金融界
289,2021-11-10,科创板晚报|10月新能源车销量同比增超一倍 孚能科技股东拟减持不超3%股份,财联社
290,2021-11-10,恩捷股份(002812.SZ)拟携宁德时代斥80亿元从事投资干法及湿法隔离膜项目,智通财经
291,2021-11-10,恩捷股份(002812.SZ)：与宁德时代开展合作设平台公司 主投干法隔离膜及湿法隔离膜项目,格隆汇
292,2021-11-10,恩捷股份：与宁德时代投资设立平台公司 总投资额为80亿元,新浪
293,2021-11-10,恩捷股份：与宁德时代投设平台公司 总投资额为80亿元,e公司
294,2021-11-10,恩捷股份：与宁德时代投设平台公司，总投资额为80亿元,Wind
