206,2021-09-08,北向资金结束连续12日净买入，中国平安、歌尔股份净卖出均超6亿元,Wind
207,2021-09-08,方正证券股东洗牌，中国信达受让7.10亿股股权进阶第三大股东,资本邦
208,2021-09-08,解盘：资源股强势，网络游戏、纯碱、盐湖提锂、火电领涨,Wind
209,2021-09-08,【行情】券商股异动拉升，天风证券涨超7%，东方财富、方正证券、华泰证券、招商证券等跟涨,金十数据
210,2021-09-08,【中证盘前】王府井换股吸并首商股份16日起均停牌；中国信达成方正证券主要股东；攀钢钒钛拟46亿元收购西昌钒制品,中证报
211,2021-09-08,刚刚，1.6万亿巨头成方正证券三股东，手握2张券商牌照！二股东90亿股权等着卖,券商中国
212,2021-09-07,中国信达成方正证券主要股东获核准，10.9亿股三拍会否加速落地？“问题股东”状况或将迎刃而解,财联社
213,2021-09-07,方正证券：获准变更主要股东,每日经济新闻
214,2021-09-07,方正证券主要股东变更获批，中国信达跻身其前五大股东之列 控制人变化,新京报
215,2021-09-07,晚间公告｜9月7日这些公告有看头,第一财经
216,2021-09-07,北向资金追平年内最长净买入纪录累计加仓超550亿，美的集团净买入超11亿元,Wind
217,2021-09-07,方正证券上半年营收增两成 员工薪酬福利总额增8.6%,中国经济网
218,2021-09-07,一次进5位首席！又有券商发力卖方研究，今年分析师流动多而频,Wind
219,2021-09-06,北向资金连续11日净买入累计扫货近500亿，宁德时代大幅净买入超15亿元,Wind
220,2021-09-03,方正证券：拟于9月22日召开2021年第二次临时股东大会,发布易
221,2021-09-03,协鑫能科：长江证券、方正证券等23家机构于9月2日调研我司,证券之星
222,2021-09-02,力合微：银华基金、方正证券等5家机构于8月31日调研我司,证券之星
223,2021-09-02,关于核准方正证券股份有限公司变更主要股东的批复,证监会
224,2021-09-01,洁特生物：汇添富基金、方正证券等2家机构于8月24日调研我司,证券之星
225,2021-09-01,晶瑞电材：华安证券、方正证券等126家机构于8月27日调研我司,证券之星
226,2021-08-31,逾700家上市公司上半年炒493只A股：哪些亏损，哪些赚钱？,第一财经
227,2021-08-31,股东重整、股权拍卖扰动频出，方正证券上半年净利13亿超去年全年,21世纪经济报道
228,2021-08-31,控股股东重整展业难度加大，方正证券上半年净利翻倍，经纪业务“基本盘”仍是亮点,财联社
229,2021-08-31,方正富邦基金上半年实现净利润-579.5万元 方正证券有66.7％股权,金融界
230,2021-08-31,【行情】证券板块异动拉升，国投资本涨超6%，方正证券、中信证券、锦龙股份、中金公司等跟涨,金十数据
231,2021-08-31,方正证券半年赚13亿 股权重整仍在进行中,全景网
232,2021-08-30,方正证券：上半年净利润同比增长102.7%,Wind
233,2021-08-30,方正证券上半年净利润13.01亿元 超去年全年,凤凰网
234,2021-08-30,方正证券(601901.SH)半年度归母净利同比增长102.70%至13.01亿元,智通财经
235,2021-08-30,鸿利智汇：方正证券、拾贝投资等6家机构于8月28日调研我司,证券之星
236,2021-08-30,方正证券半年报：上半年净利润13亿元 同比增102.7%,财联社
237,2021-08-30,方正证券(601901.SH)半年度净利润13.01亿元 同比增长102.7%,格隆汇
238,2021-08-28,晶晨股份：富达投资、方正证券股份有限公司等129家机构于8月1日调研我司,证券之星
239,2021-08-27,券商首席抱团跳槽 方正证券遇多事之秋,第一财经
240,2021-08-26,方正证券研究所人事地震：六首席“组团”跳槽，多位有新财富光环,Wind
241,2021-08-26,罕见一幕！6位券商首席集体跳槽,Wind
242,2021-08-23,方正证券：产业资本入局，苏宁易购整合升级进入全新时代,搜狐
243,2021-08-23,方正证券给予苏宁易购推荐评级：走出底部，新苏宁易购启航,和讯
244,2021-08-22,方正证券：万亿量能常态化？盘双底将完成,金融界
245,2021-08-19,方正证券(601901.SH)于8月27日每股派发现金红利0.01元,智通财经
246,2021-08-13,激光雷达纪要,半导体风向标
247,2021-08-09,【方正电子&科技】AIoT芯片研究框架,新浪
248,2021-08-05,方正证券：新方正集团尚未设立,每日经济新闻
249,2021-08-03,方正证券(601901.SH)：政泉控股所持约10.9亿股的第二次司法拍卖已流拍 司法拍卖,格隆汇
250,2021-08-03,二次流拍！方正证券10.9亿股股票拍卖“无人问津”，上半年净利同比翻番,中证报
251,2021-08-02,方正证券10.9亿股份遭遇二次流拍 司法拍卖,北京商报
252,2021-08-02,陆家嘴财经早餐2021年8月2日星期一,Wind
253,2021-08-02,打折卖都没人要！方正证券10.9亿股再度流拍，股权变动何时才能落定？ 司法拍卖,券商中国
254,2021-08-01,"现实版纸上谈兵？证券分析师 "" 怒怼 "" 中芯国际技术大拿：你算老几？",ZAKER
255,2021-08-01,10.9亿股方正证券股票二拍流拍，价值89亿相较首拍已打九四折,Wind
256,2021-08-01,电报|10.9亿股方正证券股票二拍流拍 价值89亿相较首拍已打九四折 司法拍卖,财联社
257,2021-07-31,疯传！分析师“怒怼”中芯国际大咖：你算老几？还有人喊话张坤“要多反省”，发生了什么？,21世纪经济报道
258,2021-07-31,芯片研究员开始集体膨胀了！公开diss张坤要多反思反省 骂中芯国际技术大拿算老几,新浪
259,2021-07-31,让张坤“反省”、质问光刻胶专家“算老几”……消费股溃败之下，电子研究员们的“集体狂躁”,21世纪经济报道
260,2021-07-31,"周末刷屏！比行情还火爆，讨论半导体太激动？分析师""怒怼""中芯国际技术大拿：你算老几？",券商中国
261,2021-07-29,财华洞察|大哥还是大哥，中信证券的中期业绩有何启示？,财华社
