222,2021-11-25,北向资金今日净买入近12亿元，伊利股份连续两日净卖出居首,第一财经
223,2021-11-25,北上资金净买入茅台3.37亿元，净卖出伊利股份4.36亿元,格隆汇
224,2021-11-25,北上资金今日净买入贵州茅台3.37亿元、赣锋锂业2.81亿元，净卖出伊利股份4.36亿元、北方稀土3.05亿元。,财联社
225,2021-11-25,北向资金连续5日净买入成交额创5个月新低，再度净买入贵州茅台超3亿元,Wind
226,2021-11-25,福建前首富出手放大招！重仓一只股就赚上百亿,Wind
227,2021-11-25,北上资金11月24日净买入23.7亿元，贵州茅台（600519.SH）成交额居首,智通财经
228,2021-11-25,北向资金动向盘点：贵州茅台、宁德时代“分道扬镳”,Wind
229,2021-11-25,“喝酒行情”再现，北向资金近38亿增持酿酒板块，大幅抛售这只食品饮料股（名单）,21世纪经济报道
230,2021-11-24,陆股通净买入23.70亿元，连续4日净买入,证券时报网
231,2021-11-24,北上资金今日净买入五粮液12.61亿元、贵州茅台10.16亿元，净卖出伊利股份5.97亿元、药明康德2.95亿元。,财联社
232,2021-11-24,北向资金连续4日净买入累计加仓超170亿，批量扫货白酒股,Wind
233,2021-11-24,商业热评|伊利战略入股澳优，奶粉产业两强格局初现,钢企网
234,2021-11-24,北向资金动向盘点：重手净买非银,Wind
235,2021-11-24,北向资金再加仓52亿元！买入券商信托，抛售食品饮料，这些个股受青睐（名单）,21世纪经济报道
236,2021-11-24,北向资金再加仓52亿元！买入券商信托，抛售食品饮料，这些个股受青睐（名单）,21经济网
237,2021-11-23,陆股通净买入52.23亿元，连续3日净买入,证券时报网
238,2021-11-23,北向资金连续3日加仓累计扫货近150亿，宁德时代11月累计净买入超百亿,Wind
239,2021-11-23,板块强势反弹，看好白酒估值切换行情，大众品恢复在途,金融界
240,2021-11-23,消费市场渐恢复，食品饮料公司迎“价量”大考,Wind
241,2021-11-22,冰川模型和大树模型，学习知识必备,深水财经社
242,2021-11-22,伊利股份受沪股通青睐 连续3日净买入,证券时报网
243,2021-11-22,食品饮料行业周报：白酒估值进入合理区间 静待大众品提价后业绩修复,新浪
244,2021-11-22,率先实现“双碳”，促进员工合作伙伴共同富裕！潘刚官宣“社会价值领先”目标,华夏时报
245,2021-11-22,100股主力资金净流入超亿元,证券时报网
246,2021-11-22,伊利股份：公司已在新西兰、印度尼西亚和泰国等RCEP国家有所布局,Wind
247,2021-11-22,伊利股份：本次临时会议已审议并通过了相关议案,每日经济新闻
248,2021-11-22,伊利股份：公司会主要通过产品结构优化和理性的促销，来缓解原奶成本上涨带来的压力,每日经济新闻
249,2021-11-22,周谈｜Weekly Talk：寻找行业趋势与公司业绩双确定，啤酒及餐饮产业链,食品饮料光头阳线
250,2021-11-22,A股资金流向：赛道股爆发重回主线，风格切换苗头显露,Wind
251,2021-11-22,“后千亿时代” 伊利的增长逻辑是什么？,GPLP犀牛财经
252,2021-11-22,食品饮料行业2022年度投资策略：把握低估值 布局高成长,新浪
253,2021-11-22,腾讯首届“企鹅吉市”超级狂欢节GMV达2.7亿,联商网
254,2021-11-22,潘刚：让伊利成为“品质”代名词 数字化重塑中国乳业发展格局,财经网
255,2021-11-22,食品饮料行业策略会反馈：经营策略得当 来年可期,新浪
256,2021-11-22,乳制品投资逻辑：伊利十年涨十倍，还有谁能做到？,深水财经社
257,2021-11-22,“两超多强”格局下，如何看待乳制品市场的投资机会？,深水财经社
258,2021-11-22,中信建投食品饮料行业2022年投资策略报告：今朝逆风前进，来日乘风破浪,Wind
259,2021-11-21,【开源食饮】10月电商数据分析：线上较为平淡，龙头略承压——行业点评报告,宇光看食饮
260,2021-11-21,伊利的“全面价值领先”如何抢跑行业？,搜狐
261,2021-11-21,伊利发布“社会价值领先”目标 全力打造社会型企业,正北方网
262,2021-11-21,伊利2021领导力峰会：坚守品质初心，创造东方乳业奇迹,投资家
263,2021-11-21,进入“后千亿时代”，伊利发布“全面价值领先”新目标,凤凰网
264,2021-11-21,后千亿时代，伊利如何迎变新十年？,搜狐
265,2021-11-21,潘刚：2030年全球乳业第一，2026年净利润率达到全球领先水平！,和讯
266,2021-11-21,食品饮料行业周报：白酒情绪回暖 关注板块跨年行情,新浪
267,2021-11-19,伊利股份今日大宗交易成交361.46万股，成交价41.2元溢价0.86%,Wind
268,2021-11-19,伊利股份(600887.SH)2021年度第二十九期超短期融资券兑付完成,智通财经
269,2021-11-18,食品饮料2022年投资策略报告：今朝逆风前进 来日乘风破浪,新浪
270,2021-11-18,专业人做专业事，“老乳业人”黄黎明19个月后回归操盘光明乳业,搜狐
271,2021-11-18,食品饮料年度策略：守望长期价值 布局三重改善,新浪
272,2021-11-18,伊利双11私域试水：新增会员70万+ GMV环比增长317%,亿邦动力
273,2021-11-18,“数据会说话”之2021年10月数据解读：10月社零数据符合预期 看好中国消费韧性,新浪
274,2021-11-17,食品饮料行业周报：提价仍为主要催化优选格局行稳致远,渤海证券
275,2021-11-16,中信农业产业基金乔百君：伊利是承接澳优控股权最合适的产业资本,新京报
276,2021-11-16,深度*行业*食品饮料类社零数据点评：10月餐饮收入小幅增长 烟酒增速较快,新浪
277,2021-11-16,北向资金再度加仓近42亿连续4日净买入，批量扫货白酒医药股,Wind
278,2021-11-16,兴证策略：北上资金转为流出 成交热度继续回落,新浪
279,2021-11-16,成本趋缓叠加提价预期，乳制品板块“奶源”为王？,智通财经
280,2021-11-16,食品饮料行业周报：双11战报出炉 乳品、零食龙头领跑,新浪
281,2021-11-16,消费新品牌横冲直撞，老品牌关灯吃面，公募私募上餐桌,融资中国
282,2021-11-16,低温奶市场成乳企必争之地，伊利、蒙牛“跑马圈地”抢市场,搜狐
283,2021-11-16,北向资金动向盘点：底部净买医药,Wind
284,2021-11-16,中国酸奶大战,36氪
285,2021-11-15,市场监管总局：互联网企业大举进军社区团购，挤压小摊主就业空间,Wind
286,2021-11-15,食品饮料行业2021年三季报综述大众品篇：边际呈现复苏 提价逐步落地,新浪
287,2021-11-15,北向资金连续3日净买入累计加仓近160亿，中国中免获净买入超6亿元,Wind
288,2021-11-15,食品提价接二连三，A股市场“涨”声响应,Wind
289,2021-11-15,【万联大消费|食品饮料行业专题】10月阿里平台线上销售数据分析报告:酒类量价齐跌，大众品集中度提升,陈雯消费深度研究
290,2021-11-15,“榨菜茅”提价开盘涨停！北向资金爆买伊利44亿元！天风量化：关注食品反弹契机！,资本邦
291,2021-11-15,伊利股份依托全生命周期绿色制造助力生物多样性保护,钢企网
292,2021-11-15,伊利张轶鹏：引领消费新发展、新潮流、新体验,中国经营报
293,2021-11-15,【方正食饮211115】白酒股权激励梳理：行业向上趋势叠加管理优化，增长加速,虎哥的研究
294,2021-11-15,陆家嘴财经早餐2021年11月15日星期一,Wind
295,2021-11-14,招商策略：风格悄然变化原因和年底布局思路,Wind
296,2021-11-14,淘宝直播蓄力助国货扬帆 看伊利优酸乳“新”变化,北国网
297,2021-11-14,2700亿大白马火了！外资最新加仓股名单来了,中国基金报
298,2021-11-14,2700亿大白马火了！外资最新加仓股名单来了,Wind
299,2021-11-14,四周连续净流入中止！北向资金一周净流出26亿，锂茅、券茅获大手笔增持，22股加仓幅度超1%（附名单）,证券时报网
300,2021-11-13,北向资金本周净卖出约27亿元，抛售医药制造、酿酒行业，大幅加仓“宁王”和这只券商股,21世纪经济报道
301,2021-11-13,“双11”成绩单出炉 伊利再创夺目战绩,广州日报
302,2021-11-12,京东七鲜超市11.11与伊利等数十知名大牌合作 销售增长85% 多品类增速超一倍,金融界
