3948,2018-08-03,午评：沪指探底回升涨0.08% 煤炭、猪肉板块大涨,e公司
3949,2018-08-03,安防板块走势疲弱 大华股份海康威视领跌,证券时报网
3950,2018-08-03,安防龙头海康威视早盘放量大跌8% 大华股份大跌超9%,腾讯网
3951,2018-08-03,海康威视、大华股份同步走低 盘中跌超9%,e公司
3952,2018-08-02,8月2日中小板高活跃度个股一览,中证网
3953,2018-08-02,体验零跑S01：IT人造出的双门小跑车实力如何？,新浪
3954,2018-08-02,2018年中国电子信息百强发布,中国电子报
3955,2018-08-02,各路资本跨界造车将考验整合力,通信信息报
3956,2018-08-02,89股获券商买入评级，宏发股份目标涨幅达83.75%,Wind
3957,2018-08-02,机构7月调研318家公司偏爱电子、化工等行业,顶尖财经网
3958,2018-08-02,市况低迷时迭创新高什么样的股票能穿越熊途一路走牛,金融界
3959,2018-08-01,VIP资讯分享：A.机构近7月调研288家公司。,首席投顾说
3960,2018-08-01,大华股份人工智能技术在目标检测国际竞赛中斩获第一,中电网
3961,2018-08-01,2018年电子信息百强新鲜出炉（附全名单）！,中国电子报
3962,2018-08-01,行业基本面向好凸显价值 11只人工智能绩优股吸进千万,证券日报
3963,2018-07-31,卖一辆20万元电动小跑车，零跑却说自己是个“技术直男”,虎嗅网
3964,2018-07-31,[强烈推荐评级]大华股份(002236)中期业绩快报：营收持续高增长 下半年业绩有望提速,中财网
3965,2018-07-31,半年度业绩符合预期，下半年增长提速可期,招商证券
3966,2018-07-31,广证恒生-融资融券日报-沪指下跌，两融下降-20180731,广证恒生策略研究
3967,2018-07-31,31日早间上市公司最新动态梳理,证券时报网
3968,2018-07-30,【安信电子孙远峰每日观点&资讯】（2018-07-31）,远峰电子
3969,2018-07-30,太平洋电子|每日公告20180730,刘翔电子研究
3970,2018-07-30,A股头条之上市公司公告精选（7.31）,金融界
3971,2018-07-30,【国金电子】每日资讯&行情（2018-07-30）,国金电子研究
3972,2018-07-30,7月30日中小板高活跃度个股一览,中证网
3973,2018-07-30,大华股份：上半年净利润同比增10.06%（快报）,Wind
3974,2018-07-30,大华股份：上半年净利10.82亿 同比增长10.06%,金融界
3975,2018-07-30,大豪科技拟10转4.5 多家公司公布业绩,中金在线
3976,2018-07-30,安防板块下挫 大华股份跌6%,中财网
3977,2018-07-30,市场竞争再加剧 自主品牌如何确保不掉队,凤凰网
3978,2018-07-30,电驱总成超越宝马i3？零跑汽车的“三电”处于怎样的水平？,车云
3979,2018-07-30,零跑汽车：电驱总成自研，电池包自研，自动驾驶自研,Ofweek
3980,2018-07-30,零跑汽车自主研发核心技术 想做电动汽车界的“华为”,DoNews
3981,2018-07-29,要成为车界“华为” 这家车企有何秘密武器？,搜狐
3982,2018-07-28,再提“汽车界的华为”，零跑底气何在？,盖世汽车
3983,2018-07-28,自研三电系统 零跑汽车S01初步体验,TechWeb
3984,2018-07-27,大华股份：与乐清市公安局签署警企战略合作协议,e公司
3985,2018-07-27,反弹中机构重点调研40家公司 关注绩优、股价低位股,大众证券报
3986,2018-07-27,近八成公司中报业绩预喜 六股尤为受到机构关注,证券日报
3987,2018-07-26,月内机构走访272家公司 近八成公司中报业绩预喜,金融界
3988,2018-07-26,券商7月份“扎堆”调研大华股份等三公司,Wind
3989,2018-07-26,券商7月份“扎堆”调研大华股份等三公司,证券日报
3990,2018-07-26,回顾A股三大阶段热门股 以史为鉴调整策略把握先机,金融界
3991,2018-07-25,7月共有236家获机构调研 TMT概念获关注,股城网
3992,2018-07-25,公私募七月调研聚焦TMT,Wind
3993,2018-07-25,"计算机行业:新规细则显示监管趋缓,有望提升市场风险偏好",国联证券
3994,2018-07-24,1亿主力资金近三日大量撤出中小创,证券时报
3995,2018-07-24,大华股份：关于控股股东、实际控制人股份减持计划的进展公告,亿邦动力
3996,2018-07-23,[买入评级]电子行业动态点评：台积电Q3营收展望乐观 下半年中高端智能机需求持续景气,中财网
3997,2018-07-23,海康威视半年报：创新业务抢镜 新赛道涌现,Ofweek
3998,2018-07-23,93亿主力资金近三日大量撤出中小创,证券时报网
3999,2018-07-23,电子行业周报—下游应用景气带动信息感知需求，传感器领域企业有望受益20180712,宏信视角
4000,2018-07-23,快讯：人脸识别板块走强 航天信息涨停,新浪
4001,2018-07-23,持股集中度回升，创业板持仓占比连续2个季度提升——18Q2基金持仓结构分析（中泰策略）,修炼投资的水晶球
4002,2018-07-22,【华泰策略】弱市中喝酒吃药， 创业板延续加仓——2018 年二季度基金中报分析,微信
4003,2018-07-21,基金二季度斥资近百亿元增持61只电子股39只中报业绩预喜股或迎“升”机,证券日报
4004,2018-07-20,兴业策略：基金仓位大幅下降 成长板块超配比例仍低,新浪
4005,2018-07-20,零跑汽车赵刚：正与大华股份联合研发AI自动驾驶芯片,每日经济新闻
4006,2018-07-19,中证数据：两市资金净流入前20股（7月19日）,中证网
4007,2018-07-19,签下大道用车采购单，零跑汽车也开始定制生产智能共享汽车了？,盖世汽车
4008,2018-07-19,零跑汽车：拥有全球安防领域排行第二的“爸爸”是一种怎样的体验？,第一电动网
4009,2018-07-19,长三角加快大数据开放共享 大数据概念股龙头一览,证券日报
4010,2018-07-18,财融汇·日间资讯,财通证券融资融券部
4011,2018-07-18,大华股份与兴安盟公安局签署战略合作协议,e公司
