925,2021-04-19,并购2.0时代来临 头部企业优先受益,中国基金报
926,2021-04-18,苹果终止订单 欧菲光全年业绩“变脸”亏损18.5亿元 亏损,财联社
927,2021-04-17,深夜爆雷！昔日白马股业绩突然变脸：预盈9亿突变巨亏超18亿！发生了什么？36万股民懵了 盈利能力下降,证券之星
928,2021-04-17,欧菲光修正业绩 境外客户订单终止致巨亏 业绩更正,上证报
929,2021-04-16,苹果终止订单，欧菲光全年业绩“变脸”亏损18.5亿元 亏损,澎湃新闻
930,2021-04-16,晚间公告热点追踪：欧菲光业绩变脸 从预盈逾8亿到预亏超18亿,新浪
931,2021-04-16,欧菲光大“变脸”！2020年盈转亏18.5亿 特定客户“踢单” 亏损,中新经纬
932,2021-04-16,因遭特定客户终止合作 欧菲光(002456.SZ)年度业绩预盈修正为预亏18.5亿元 业绩更正,智通财经
933,2021-04-16,欧菲光下修业绩快报：2020年亏损18.5亿元 亏损,Wind
934,2021-04-16,三大指数盘中均翻绿 创业板指跳水跌逾1.5%,网易
935,2021-04-15,【机会挖掘】机构预计半导体产业已出现结构性转变 行业景气有望持续,同壁财经
936,2021-04-15,太平洋--电子设备、仪器和元件行业周报：全球芯片供需缺口持续扩大，关注一季报催生的板块投资情况回暖【行业研究】,金融界股吧
937,2021-04-15,以三星电子为代表的韩国半导体产业崛起，对我国芯片产业有哪些启示？,瞭望
938,2021-04-14,游资上演胜利大逃亡，8万股东抓狂！这类产品创21年最快增速,Wind
939,2021-04-14,格力集团携手闻泰科技打造光电智能制造产业园,中证网
940,2021-04-13,格力集团携手闻泰科技打造光电智能制造产业园,中证网
941,2021-04-13,万联证券--电子行业周观点：TCL投建t9项目，闻泰科技新建芯片厂【行业研究】,金融界股吧
942,2021-04-13,意欲打入“果链”，闻泰科技拟携手格力创投共同收购欧菲光相关资产,资本邦
943,2021-04-13,华安证券--电子行业周报：关注一季报确定的面板、半导体板块【行业研究】,金融界股吧
944,2021-04-13,A股早报2021年4月13日星期二,Wind
945,2021-04-12,闻泰科技(600745.SH)拟携格力创投设合资公司作为收购广州得尔塔等资产的主体,智通财经
946,2021-04-12,晚间重要公告2021年4月12日星期一,Wind
947,2021-04-12,闻泰科技：拟与格力创投共同出资30亿元设立合资公司收购欧菲光相关资产,36氪
948,2021-04-12,2021年第一季度化合物半导体主要项目汇总,LED在线
949,2021-04-12,通信行业周报：天翼推动5G工业物联发展 模组厂商机遇广阔,新浪
950,2021-04-11,2021闻泰科技股票最新消息！,云掌财经
951,2021-04-09,闻泰科技今日大宗交易成交76万股，成交价89.96元折价7.64%,Wind
952,2021-04-09,闻泰科技将投资120亿元在上海建立一家电动汽车半导体工厂,Wind
953,2021-04-08,湖北区域股市周报：总市值涨2.44% 五方光电涨22.84%排第一,每日经济新闻
954,2021-04-07,中国银河维持闻泰科技推荐评级：拟收购摄像模组业务 平台化战略再下一城,每日经济新闻
955,2021-04-07,汽车“缺芯”或持续一年以上，国内细分龙头替代空间巨大（附股）,第一财经
956,2021-04-07,电子行业深度：中国半导体 牛角峥嵘,新浪
957,2021-04-06,电子元器件周报：3月下旬面板价格环比涨幅扩大 半导体行业景气度持续高涨,新浪
958,2021-04-06,半导体动态：芯片股集体新高！韦尔股份净利增102%，新洁能增199%,新浪
959,2021-04-06,电子设备、仪器和元件行业周报：走出风险释放低谷 静观一季报行业提振可能,新浪
960,2021-04-06,【大宗交易日报】4月2日38只个股发生大宗交易总成交额10.00亿,云掌财经
961,2021-04-06,A股早报2021年4月6日星期二,Wind
962,2021-04-05,清明档票房超8亿，出游爆发景区股成长性确定丨明日主题前瞻,第一财经
963,2021-04-05,板块拾金| 半导体芯片大涨，一季报行情来袭，节后机会这么把握！,第一财经
964,2021-04-05,还是想上苹果的车，闻泰科技将接盘欧菲光的苹果业务,Ofweek
965,2021-04-03,【银河周知】顺应科技自立自强国家战略主题 把握科技股投资机会,中国银河证券研究
