778,2020-12-03,绿地控股拟发行30亿元公司债，票息较此前均有所下调,金融界
779,2020-12-02,A股收盘综述：上证指数震荡跌0.07%，盘中触及3465点创近34个月新高,Wind
780,2020-12-01,清流|绿地控股惊现“贸易黑洞”：大额应付、预付款背后或无真实货物交易,网易
781,2020-11-30,绿地控股：100亿元公司债将开始兑付,乐居财经
782,2020-11-30,A股午盘综述：上证指数半日涨超1%，金融股推升大盘,Wind
783,2020-11-26,境内债市融资规模收缩明显，房企资金压力难减,Wind
784,2020-11-25,绿地控股斥526万元增持旗下宁波北城置业,乐居财经
785,2020-11-25,张玉良划了3个金融“生态圈”,乐居财经
786,2020-11-24,山水比德深嵌房地产链条 行业凛冬之下或遇生存危机,中金在线
787,2020-11-23,景观设计商山水比德IPO明日上会 踩雷泰禾、绿地或遭损失,每日经济新闻
788,2020-11-23,绿地控股成立金融科技平台绿地数科，注册资本5000万元,澎湃新闻
789,2020-11-23,绿地净负债率降至183% 拟出售231亿项目优化资产结构 偿债能力下降,长江商报
790,2020-11-22,高端酒店，富力绿地们的“第四道红线”,钛媒体
791,2020-11-19,绿地控股：股权转让有望春节后完成，拟用自有资金偿债,澎湃新闻
792,2020-11-19,外媒：绿地拟引入投资者或包括金融背景央企 有望春节后完成,观点地产网
793,2020-11-19,缺钱！绿地控股等46家房企现金短债比不足1倍 融资前景如何？,投资时报
794,2020-11-19,绿地控股股权转让有望春节后完成，将启用自由资金偿付12月到期债权,格隆汇
795,2020-11-19,绿地控股部分美元债券继续下跌 部分跌幅创纪录,乐居财经
796,2020-11-19,高端酒店，如何从地产巨头的“门面”变成“红线”？,环球旅讯
797,2020-11-19,绿地“甩包袱” 拟231亿出售上海、江苏14个项目27个物业 资产异常,乐居财经
798,2020-11-18,绿地回应“出售230亿项目回血”：不是资产变卖 也非集团层面所为 资产异常,新浪
799,2020-11-18,绿地控股2023年4月到期的美元债券创出纪录最大跌幅,格隆汇
800,2020-11-18,绿地控股卖资产回血 “地产+基建”模式存隐忧 资产异常,新浪
801,2020-11-18,[克而瑞]“地产+建筑”双业务协同，房企能否承其之重？,克而瑞地产研究
802,2020-11-17,绿地“甩包袱” 出售231亿商办资产包背后的红线 资产异常,观点地产网
803,2020-11-17,负面新闻不断，“三道红线”压顶，绿地集团解困任重道远,搜狐
804,2020-11-17,绿地的“提款机” | 进深,乐居财经
805,2020-11-16,绿地出售项目回血，231亿元资产包上架,Wind
806,2020-11-16,绿地的“提款机” 格林兰的钱从哪里来？,新浪
807,2020-11-13,绿地控股：绿地集团向格林兰借款1.9亿元 年利率5.7%,中国网
808,2020-11-13,绿地控股(600606.SH)：子公司向格林兰借款1.9亿元,格隆汇
809,2020-11-13,重磅 | 2020年度中国商业地产TOP100暨商业表现奖正式揭晓,每经网
810,2020-11-13,绿地控股集团积极创新贸易模式 助力中国市场向国际发展,凤凰网
811,2020-11-13,高管出轨、拖款停工、债务压顶！这家房企招牌砸了？ 偿债能力下降,中金在线
812,2020-11-12,华夏幸福中国铁建10月销售额降幅最大 偿债高峰将来去化压力仍存 盈利能力下降,新浪
813,2020-11-11,采购34个国家12亿美元商品 绿地控股全方位参与第三届进博会溢出效应再放大,证券日报网
814,2020-11-11,2020三季报房地产行业综述：行业整体去杠杆 龙头业绩储备及盈利能力依然稳健,新浪
815,2020-11-10,业主喊话绿地：辛苦攒钱买房，承诺的学校呢？,中国经济网
816,2020-11-10,绿地控股与34国签约采购12亿美元商品，进博同款全国上架,澎湃新闻
817,2020-11-10,首尾相差257个百分点！千亿资产房企净负债率分化 “招保万金”1降3升 偿债能力下降,投资时报
818,2020-11-10,千亿资产房企净负债率分化 首尾相差257个百分点 偿债能力下降,投资时报
819,2020-11-10,挥别深深房，恒大寻求分拆上市降负债,21世纪经济报道
820,2020-11-10,尤安设计大客户身陷债务泥潭 轻资产运营为何斥巨资大兴土木？,中金在线
821,2020-11-09,绿地与中车联手在吴江建智能制造产业园，总投资260亿元,澎湃新闻
822,2020-11-09,绿地控股10月斥资约85.48亿元新购七宗地块，4宗拥有100%权益,资本邦
823,2020-11-06,绿地控股月内新增7个地产项目 权益地价78.2亿,乐居财经
824,2020-11-06,绿地控股(600606.SH)10月新增房地产项目7个,格隆汇
825,2020-11-06,房企三季度如何降杠杆：增回款、少拿地、卖股权,Wind
826,2020-11-05,快讯：绿地控股新增投资西安启胜置业,乐居财经
827,2020-11-05,惠誉：确认绿地控股评级确认为“BB-”，展望稳定,Wind
