244,2021-05-22,【民生周末重点推荐】首席看电子：业绩增长强劲，电子行业景气延续——电子行业2020年报和2021一季报总结,MS研究
245,2021-05-20,76只芯片股腰斩 “芯片博士”净值大回撤！机构关注度较高的芯片概念股出炉,证券之星
246,2021-05-18,犀牛财经晚报：优然牧业通过港交所聆讯叶飞回应曝光事件,GPLP犀牛财经
247,2021-05-18,晚间公告｜5月18日这些公告有看头,第一财经
248,2021-05-18,汇顶科技：董事拟减持公司股份 拟减持股份,e公司
249,2021-05-18,汇顶科技：董事龙华拟减持公司不超17.3万股 拟减持股份,格隆汇
250,2021-05-18,汇顶科技(603160.SH)：董事龙华拟减持不超17.3万股 拟减持股份,格隆汇
251,2021-05-18,汇顶科技：高管龙华计划减持不超0.05%股份 拟减持股份,Wind
252,2021-05-18,国家大基金拟再次减持芯片龙头超12亿,Wind
253,2021-05-16,【民生研究】周观点汇总：疫情和就业数据只是扰动，发达国家经济复苏趋势没有改变,新浪
254,2021-05-14,汇顶科技涨2.62% 股价创近1个月新高,中新经纬
255,2021-05-14,汇顶科技涨2.6% 股价创近1个月新高,中新经纬
256,2021-05-13,电子行业2020年报和2021一季报总结：业绩增长强劲 电子行业景气延续,新浪
257,2021-05-13,汇顶科技涨3.36% 创近1个月新高,中新经纬
258,2021-05-12,汇顶科技(603160.SH)：汇发国际近日减持1.18%股份 减持股份,格隆汇
259,2021-05-12,汇顶科技(603160.SH)持股8.19%的股东累计减持1.18%股份 减持股份,智通财经
260,2021-05-12,汇顶科技：公司股东汇发国际减持约540万股，占比1.18% 减持股份,每日经济新闻
261,2021-05-12,汇顶科技：股东汇发国际持有公司股份比例从8.19%减少至7.00%,Wind
262,2021-05-11,半导体日报：国科微遭股东减持，士兰微拟20亿元投建扩产新项目，汇顶科技首次回购，南大光电自研光刻胶上市,新浪
263,2021-05-11,汇顶科技(603160.SH)首次回购13.53万股 耗资1611.16万元,智通财经
264,2021-05-11,汇顶科技：首次回购约14万股,每日经济新闻
265,2021-05-11,汇顶科技(603160.SH)：本轮回购累计耗资1611.16万元回购13.53万股,格隆汇
266,2021-05-10,2021年年中主要宽基指数样本股调整预测：金山办公等5只科创板个股有望纳入沪深300,新浪
267,2021-05-10,上证50跌幅扩大至1%,Wind
268,2021-05-10,一个曾经成功的公司为什么会失败,YY港股圈
269,2021-05-10,芯片股持续疲软，沪硅产业跌逾5%,Wind
270,2021-05-08,汇顶科技(603160)：持续加大研发 新品布局广泛,新浪
271,2021-05-08,5月机会：赚钱效应逐渐回升三大行业被集体看好！,金融投资报
272,2021-05-07,机会来了！这些公司有望调入沪深300、上证50指数,Wind
273,2021-05-07,【半导体投资日报】历史级别景气继续演绎，缺货大背景下，关注4大受益方向,新浪
274,2021-05-07,筹资总额不超2.5亿元！汇顶科技拟推2021年第一期员工持股计划,搜狐
275,2021-05-07,中金：医药、新能源多只股票或将纳入沪深300指数,Wind
276,2021-05-07,中金公司：医药、新能源行业多只股票或将纳入沪深300指数,Wind
277,2021-05-06,汇顶科技(603160.SH)拟推2021年第一期员工持股计划筹资总额不超2.5亿元,格隆汇
278,2021-05-06,5月6日晚间上市公司十大重磅公告,巨丰财经
279,2021-05-06,东方证券维持汇顶科技买入评级：持续加大研发，新品布局广泛,每日经济新闻
280,2021-05-06,汇顶科技(603160.SH)拟推2021年第一期股票期权激励计划,格隆汇
281,2021-05-06,汇顶科技(603160.SH)截至4月末尚未实施回购,格隆汇
282,2021-05-06,东方证券：汇顶科技（603160.SH）净利下滑，维持“买入”评级 盈利能力下降,智通财经
283,2021-05-06,半导体指数二次抬升，国科微涨超10%,Wind
284,2021-05-02,半导体一季报哪家强？同环比双增长名单来了 还有这些公司被扎堆调研,科创板日报
285,2021-04-30,国产芯片第一梯队业绩分化：单品类强≠业绩恒强,21世纪经济报道
286,2021-04-29,国产芯片第一梯队业绩分化：技术与产品的“平衡术” 盈利能力下降,21世纪经济报道
287,2021-04-29,自动驾驶来了！重磅文件将发布，商业化加速落地,Wind
288,2021-04-29,【异动股】汽车芯片板块拉升，北京君正(300223-CN)涨19.99%,财华社
289,2021-04-29,LED芯片市场价格上升，乾照光电Q1净利同比大增190％！,Ofweek
290,2021-04-29,汇顶科技大涨5.09%，报114.78元,中新经纬
291,2021-04-28,迈进“果链”牵手iPhone13？500亿光学指纹龙头突然涨停，公司发声,中证报
292,2021-04-28,要进果链？芯片巨头汇顶科技迎来意外涨停,上证报
293,2021-04-28,传iPhone13将会使用屏下指纹技术，汇顶科技或成最大赢家？,环球老虎财经
